POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly
2000,32,2800,625,2225
2007,30,2500,500,1805
2008,28,2600,525,1746
2009,37,2800,580,2422
2010,36,2900,550,2297
2011,39,2500,490,2041
2015,34,2770,558,2607
2016,36,2811,500,2145
2017,32,2600,575,2104
2018,34,2500,520,2017
2019,36,2773,550,2363
2020,30,2600,600,2254
2021,37,3850,595,2823
2022,36,3467,660,2484
2023,39,3900,650,3315
2024,38,3900,655,3197
2025,42,4000,670,3013
2026,34,3400,680,2896
2027,46,3500,750,3027
2028,39,3000,720,3077
2029,40,3250,630,2539
2030,42,4329,715,3481
2031,36,3163,580,2514
2032,35,3000,450,1746
2033,32,2760,500,2118
2034,36,3400,615,2796
2035,40,3000,540,2151
2036,39,2760,520,2050
2037,36,3000,495,2011
2038,38,3467,570,2683
2039,40,3500,650,3196
2040,38,3467,580,2727
2041,43,4000,640,3147
2042,34,3000,540,2328
2043,34,2800,620,3020
2044,36,2900,630,2619
2045,46,3674,530,2761
2046,42,3014,570,2393
2047,42,3200,600,2776
2048,36,3000,490,2395
2049,35,2850,480,2284
2050,33,2817,570,2331
2060,38,3000,580,2463
2061,44,3000,600,2475
2062,40,3033,580,2870
2063,44,4649,740,3874
2064,37,2772,525,2420
2065,37,3000,580,2743
2066,38,3000,520,2754
2067,38,3000,580,2185
2068,42,3900,640,3232
2069,41,3800,633,3310
2070,41,3500,630,2970
2071,42,3467,650,2839
2072,39,3033,577,2460
2073,41,3500,650,3414
2074,44,3500,617,3004
2075,43,3500,700,2965
2076,43,3250,600,2923
2077,38,2350,460,2108
2079,40,2544,525,2505
2080,42,2648,568,2428
2081,41,2600,575,2698
2082,42,2500,580,2449
2083,51,2290,429,1950
2084,47,3200,600,2882
2085,46,3335,900,2770
2086,40,3467,800,3107
2087,43,3400,720,2794
2088,45,3870,590,2892
2089,38,2903,562,2469
2090,41,3153,600,2537
2092,42,4333,875,4184
2093,40,3467,600,2954
2094,39,3467,720,3251
2095,38,3467,725,3164
2096,37,3207,620,2901
2097,41,3033,623,2702
2099,38,2700,550,2187
2100,40,3142,600,2719
2101,43,3000,600,2231
2102,41,3077,750,2598
2103,46,3033,650,2296
2104,58,3691,850,1885
2105,52,3000,595,2601
2106,46,3000,600,2479
2107,47,3297,750,2627
2108,58,3742,850,2702
2110,46,4333,540,3368
2111,40,3000,460,2315
2112,37,2600,472,2094
2113,34,2600,480,2156
2114,37,2480,430,2089
2115,37,2600,420,1993
2116,37,2500,430,1871
2117,39,2600,417,1861
2118,38,2500,500,2084
2119,44,3467,600,3070
2120,42,2817,520,2643
2121,37,2612,500,2304
2122,39,2500,460,1944
2125,43,3033,641,3078
2126,43,3000,695,2924
2127,33,2300,510,2084
2128,35,2167,450,1875
2130,36,2708,460,2260
2131,36,2210,440,1888
2132,42,2700,480,2157
2133,41,2522,410,1843
2134,32,2449,500,1671
2135,32,2765,480,2262
2136,39,2375,460,1943
2137,41,3000,560,2377
2138,34,2573,550,2248
2140,31,2119,450,2042
2141,34,2253,468,1801
2142,31,2000,400,1547
2143,35,2167,400,1561
2144,31,2000,410,1533
2145,35,2239,425,2090
2146,36,2167,425,2116
2147,38,2209,390,1925
2148,35,2142,400,1800
2150,32,2002,425,2055
2151,38,2376,420,1957
2152,39,2300,420,1924
2153,39,2759,540,2496
2154,42,3000,560,2551
2155,35,3000,600,3042
2156,46,3200,600,2756
2157,42,3000,525,2493
2158,45,3074,600,2548
2159,46,2817,480,2400
2160,33,2051,400,1455
2161,32,2152,380,1347
2162,34,2167,400,1404
2163,36,1920,250,993
2164,38,2167,420,1401
2165,38,1950,400,1225
2166,39,1733,350,1325
2167,36,2167,420,2070
2168,35,2000,350,1387
2170,35,2165,395,1566
2171,33,2383,530,2379
2172,38,2708,369,3185
