merchant_abn,consumer_fraud,average_monthly_transactions,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly,name,category_label,merchant_fraud,cwgr,bnpl_revenue
10023283211.0,0.0,155.28571428571428,18.36770140428677,1544.7172949002218,297.54028085735405,1598.090539541759,Felis Limited,Furniture and Home Furnishing,0,0.0267429571474235,39.01257513146944
10142254217.0,0.0,144.57142857142858,18.285770440251575,1566.6670597484276,299.01297169811323,1609.0365566037735,Arcu Ac Orci Corporation,Media and Technology,0,0.0511240360582381,159.16152248927577
10165489824.0,0.0,0.45454545454545453,14.5,1735.25,332.5,1855.25,Nunc Sed Company,Retail Goods,0,0.0,49438.81699418688
10187291046.0,0.0,16.8,18.83904109589041,1563.3561643835617,294.11986301369865,1595.914383561644,Ultricies Dignissim Lacus Foundation,Retail Goods,0,0.0001672657982541,393.24055464424845
10192359162.0,0.0,19.25,18.287925696594428,1595.092879256966,309.24458204334366,1657.421052631579,Enim Condimentum PC,Retail Goods,0,0.0079058722876383,2926.5454185972776
10206519221.0,0.0,458.14285714285717,18.463477619281846,1536.650516478111,297.43162813576,1596.2504918839154,Fusce Company,Retail Goods,0,0.0325751806952832,230.57366612555717
10255988167.0,0.0,41.6,18.905660377358494,1542.4687953555879,292.01451378809867,1585.6182873730043,Aliquam Enim Incorporated,"Media and Technology, Furniture and Home Furnishing",0,-0.000681647431149,1668.330229949794
10264435225.0,0.0,239.33333333333334,18.46474511672225,1559.4609337779896,300.4930919485469,1605.0721772272511,Ipsum Primis Ltd,Retail Goods,0,0.0206217273903983,280.56419625593105
10279061213.0,0.0,27.75,18.163793103448278,1578.4181034482758,304.0625,1625.0129310344828,Pede Ultrices Industries,Media and Technology,0,0.0104834659380068,1710.3545692556868
10323485998.0,0.0,492.14285714285717,18.379801018047203,1564.2770708005553,300.69250347061546,1609.9737390097177,Nunc Inc.,Furniture and Home Furnishing,0,0.0247155562942718,849.580961157145
10342410215.0,0.0,40.80952380952381,18.599156118143462,1578.2362869198312,305.08579465541493,1598.2489451476793,Facilisis Facilisis Corp.,"Media and Technology, Furniture and Home Furnishing",0,0.0209621946555143,2501.645758377739
10346855916.0,0.0,0.5294117647058824,19.125,1623.75,300.625,1666.25,Odio Institute,Furniture and Home Furnishing,0,-0.0244319058812558,7409.881076999648
10364012396.0,0.0,2.1052631578947367,18.029411764705884,1912.9705882352941,383.0882352941176,1925.0882352941176,Rutrum Justo Ltd,Retail Goods,0,0.0063694982748057,1504.8289080821623
10385011947.0,0.0,1.4444444444444444,19.80952380952381,1358.0,285.5238095238095,1513.095238095238,Tellus Foundation,Services,0,-0.0015936186379249,2066.844164232738
10385163239.0,0.0,3.8947368421052633,16.78125,1815.6875,323.125,1742.140625,Sed Et Company,"Retail Goods, Furniture and Home Furnishing",0,-0.0019530980409676,2304.4156664651114
10385250025.0,0.0,31.761904761904763,18.364285714285714,1569.05,305.29285714285714,1597.7928571428572,Id Ltd,"Media and Technology, Furniture and Home Furnishing",0,0.0181351514573315,2722.881113617644
10404542215.0,0.0,1.0,17.0,773.0,170.0,1412.0,Consequat Foundation,Retail Goods,0,0.0,157823.64869264173
10430380319.0,0.0,7.8,18.251851851851853,1485.9703703703703,293.73333333333335,1525.1185185185186,Sit Amet Nulla Corp.,Automotives,0,0.0017245680007542,1738.3825638703777
10441711491.0,0.0,0.25,14.333333333333336,1673.0,300.0,1558.6666666666667,Massa Vestibulum Foundation,Automotives,0,-0.0412745947024123,34384.706389481034
10462560289.0,0.0,78.57142857142857,18.49337260677467,1558.178203240059,301.8475699558174,1602.6693667157585,Ut Consulting,Retail Goods,0,0.0399857151144389,104.23643088839619
10463252268.0,0.0,3.75,18.96875,1398.984375,266.859375,1504.546875,Id Mollis Corporation,Services,0,-0.0053912384505526,4016.636920652664
10487253336.0,0.0,119.57142857142857,18.463795551348795,1554.7113109323236,300.30761949834357,1595.8471367723616,Laoreet Lectus Associates,Services,0,0.0241473381139754,1763.9757569590581
10530696903.0,0.0,32.142857142857146,18.61896243291592,1542.6422182468693,298.4042933810376,1588.021466905188,Ut Semper Industries,"Retail Goods, Furniture and Home Furnishing",0,0.012431046434745,2777.978644749824
10545955006.0,0.0,21.95,17.96694214876033,1569.5785123966941,307.94765840220384,1641.6501377410468,Lacus Vestibulum Inc.,"Retail Goods, Furniture and Home Furnishing",0,0.0010396125994671,2791.897574363353
10553813474.0,0.0,41.45,19.01878612716763,1520.757225433526,292.6387283236994,1567.4985549132948,Commodo Hendrerit Donec Corporation,Services,0,0.0098177067075677,1281.077771096134
10596295795.0,0.0,5.1,18.5,1453.0595238095239,274.85714285714283,1538.142857142857,Egestas A Associates,Retail Goods,0,-0.0029369416805344,83862.49551620228
10618089367.0,0.0,162.47619047619048,18.249298737727912,1571.7699859747545,304.01122019635346,1614.6690042075736,Enim Consequat Institute,Retail Goods,0,0.040407973662629,1467.9854180149348
10648956813.0,0.0,1046.7142857142858,18.504290320817617,1558.1464720992512,300.21435207957586,1603.2877520905067,Proin Nisl Institute,"Media and Technology, Furniture and Home Furnishing",0,0.0249142891040423,431.8378645793606
10651113986.0,0.0,3.6,18.36206896551724,1433.4827586206898,284.4310344827586,1514.2241379310344,Sed Et Libero PC,Furniture and Home Furnishing,0,0.0108011505230887,2112.382252741411
10702078694.0,0.0,20.9,18.4056338028169,1580.887323943662,304.4169014084507,1623.8281690140846,Fermentum Risus Foundation,Retail Goods,0,0.016572275479098,550.362533456417
10714068705.0,0.0,164.38095238095238,18.529675638371288,1580.0645272601794,302.2443064182195,1623.4458247066943,Sollicitudin Commodo Ipsum Industries,Furniture and Home Furnishing,0,0.0340612156840918,314.2895723395239
10739268011.0,0.0,0.42105263157894735,17.6,1458.8,287.8,1391.0,Libero Proin Mi Incorporated,Retail Goods,0,-0.0155964950445417,26551.32226894674
10746056613.0,0.0,11.85,18.358490566037737,1571.504716981132,304.6320754716981,1646.5,Risus Associates,Retail Goods,0,0.0016961573625076,527.5859628553139
10848766800.0,0.0,84.52380952380952,18.13273727647868,1554.9621733149932,301.7909215955984,1627.118294360385,Ut Dolor Dapibus LLP,Retail Goods,0,0.0200821005708387,254.16046501497792
10854978569.0,0.0,4.9,19.901234567901234,1555.567901234568,296.1358024691358,1508.8395061728395,Dui Cras Pellentesque Limited,"Media and Technology, Furniture and Home Furnishing",0,0.0233860811636055,1270.1628250182296
10860706939.0,0.0,18.2,18.0,1569.9745222929937,302.62420382165607,1623.4713375796177,Vitae Aliquet Nec Associates,Furniture and Home Furnishing,0,0.0110219647274711,275.201902957648
10881038707.0,0.0,0.3125,18.6,1947.4,363.0,1792.6,Sed Facilisis Vitae Incorporated,Retail Goods,0,0.0,72963.3810702302
10901349044.0,0.0,61.04761904761905,18.603969754253306,1526.1890359168242,291.92533081285444,1569.7400756143668,Per Inceptos Company,Retail Goods,0,0.0205791775172046,624.5237282808185
10922217544.0,0.0,3.3333333333333335,18.01639344262295,1544.72131147541,284.7704918032787,1695.377049180328,Justo Associates,Retail Goods,0,-0.000168353247731,272.6378188904101
10930486968.0,0.0,21.19047619047619,17.97808219178082,1564.7342465753425,301.14246575342463,1605.1068493150685,Metus Vitae Velit LLP,Retail Goods,0,0.02278724289942,621.2312690489981
10945019164.0,0.0,63.76190476190475,18.72784810126582,1521.7857142857142,297.1392405063291,1577.0949367088608,Nam Associates,"Retail Goods, Media and Technology",0,0.0238049039386105,516.9335475771754
10955677986.0,0.0,37.7,18.570107858243453,1577.0600924499229,298.75346687211095,1588.1571648690292,Arcu Iaculis Corporation,Retail Goods,0,0.0040408570854533,1318.3208706697924
10959028715.0,0.0,238.14285714285714,18.385170919595573,1543.7794896485316,298.4236880115551,1595.8921521425132,Ante Maecenas Ltd,Furniture and Home Furnishing,0,0.0255052092166312,808.5015455823874
10995883576.0,0.0,18.45,18.748344370860927,1532.5860927152319,303.02317880794703,1600.771523178808,Non Feugiat Incorporated,Retail Goods,0,0.0035589564108802,562.8087339597768
11017796471.0,0.0,367.9047619047619,18.295560384973612,1558.3857497671531,299.6997826761875,1607.8567215150574,Sodales Mauris Consulting,Services,0,0.0272043570139837,179.9165156726844
11024352823.0,0.0,22.35,18.387596899224803,1546.9276485788114,300.0594315245478,1568.8139534883721,Aliquet Metus Urna LLP,Retail Goods,0,0.0094606345277343,558.298665182657
11076688542.0,0.0,2.6,18.347826086956523,1667.3260869565217,309.8695652173913,1683.3260869565217,Amet Diam Industries,Retail Goods,0,-0.0051958453657285,1729.875024692325
11089768124.0,0.0,15.4,18.592307692307692,1614.9346153846154,309.2769230769231,1630.7076923076922,Rutrum Corp.,Media and Technology,0,0.0118209355108545,280.46909031461655
11093673306.0,0.0,71.19047619047619,18.45743834526651,1554.8416865552904,297.2545743834527,1598.8575974542562,Ac Mi Corp.,Retail Goods,0,0.0340434340919864,783.1803343863547
11121775571.0,0.0,932.8571428571429,18.49984701058687,1562.711951532954,300.86273789853743,1607.2475980662139,Egestas Nunc Associates,"Retail Goods, Media and Technology",0,0.0249959464659903,341.19057584218444
11134994590.0,0.0,3.5,18.622950819672134,1655.7868852459017,315.39344262295083,1645.655737704918,Quis Massa Mauris Ltd,Retail Goods,0,-0.0055369072537004,15986.925496824095
11149063370.0,56.43761254995139,3.2,19.462962962962962,1569.0555555555557,291.22222222222223,1544.6666666666667,Et Arcu Limited,Retail Goods,1,-0.0103903253929672,94468.01861981566
11149063370.0,56.43761254995139,3.2,19.462962962962962,1569.0555555555557,291.22222222222223,1544.6666666666667,Et Arcu Limited,Retail Goods,1,-0.0103903253929672,94468.01861981566
11149063370.0,56.43761254995139,3.2,19.462962962962962,1569.0555555555557,291.22222222222223,1544.6666666666667,Et Arcu Limited,Retail Goods,1,-0.0103903253929672,94468.01861981566
11173270682.0,0.0,165.23809523809524,18.454048513836696,1559.1752647762214,300.6484455073454,1599.584215920738,Feugiat Tellus LLP,Media and Technology,0,0.0422042069239549,242.7597219806269
11199348915.0,0.0,102.85714285714286,17.989508558807287,1568.7194919933738,300.54334621755936,1626.3616786305909,Orci Luctus PC,Furniture and Home Furnishing,0,0.0429741903179756,2315.6478074021366
11208869091.0,0.0,4.55,17.4390243902439,1497.939024390244,276.5121951219512,1619.3536585365853,Cursus Et Eros LLP,Retail Goods,0,-0.0015769435687473,6707.892919707606
11215815177.0,0.0,74.85714285714286,18.191616766467064,1557.5404191616767,298.94161676646706,1594.570359281437,Scelerisque Scelerisque Ltd,Furniture and Home Furnishing,0,0.0148891039130154,4258.086355866935
11237511112.0,0.0,986.7142857142857,18.35823743711328,1563.837101717458,300.37356155669926,1611.9298560111029,Magna Institute,Services,0,0.02820189118927,455.7558996843435
11243046390.0,0.0,22.95,18.13846153846154,1486.1948717948717,290.62051282051283,1550.9692307692308,Ornare Placerat Foundation,"Retail Goods, Furniture and Home Furnishing",0,0.0205068113018993,473.17320047065454
11285988014.0,0.0,317.9047619047619,18.471367215461704,1559.0046528274875,300.8435934144596,1602.871868289191,Tincidunt Pede Company,"Retail Goods, Media and Technology",0,0.02218614682405,538.9767309643006
