POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
101021007,17,27,0,4,48,742,534,64,34,1373
101021008,4,6,0,0,13,647,302,27,14,986
101021009,5,20,0,0,26,3406,1850,247,75,5582
101021010,5,14,0,0,22,2189,810,109,53,3159
101021012,0,6,0,0,8,1747,742,91,30,2608
101021610,0,0,0,0,0,355,208,26,12,600
101021611,23,41,0,0,64,1999,1022,142,51,3207
101031013,9,16,0,4,29,673,338,39,26,1080
101031014,16,17,6,4,37,2503,1370,184,66,4126
101031015,37,18,0,0,54,484,236,31,13,759
101031016,16,21,7,6,53,2596,2451,192,88,5327
101041017,9,12,3,4,28,2575,1845,277,103,4801
101041018,7,7,3,0,19,636,638,67,36,1379
101041019,13,20,4,5,38,3004,2146,304,120,5573
101041020,27,23,8,3,65,845,695,74,44,1667
101041021,0,4,0,0,4,423,465,49,18,953
101041022,0,0,0,0,0,0,0,0,0,0
101041023,6,12,0,0,20,717,552,83,37,1385
101041024,4,13,0,0,22,423,352,55,26,851
101041025,16,31,0,0,49,1905,1914,185,71,4075
101041026,5,9,0,8,22,1999,1557,203,74,3830
101041027,4,22,4,4,42,1314,1386,141,92,2933
101051539,19,33,0,11,64,6583,3763,535,204,11081
101051540,70,74,10,4,158,2505,1283,166,79,4037
101061541,0,18,0,0,19,1336,981,123,46,2487
101061542,55,70,10,0,131,1495,1052,122,36,2698
101061543,19,28,0,7,52,2794,1642,207,112,4755
101061544,47,35,4,7,93,1537,765,98,60,2461
102011028,0,9,0,0,16,488,610,175,15,1293
102011029,9,17,0,0,35,689,697,197,22,1601
102011030,20,25,5,3,54,4446,1355,406,117,6329
102011031,9,36,4,8,52,3987,4308,1476,159,9930
102011032,24,64,15,9,110,11137,7346,1845,307,20629
102011033,0,4,0,0,4,716,535,120,13,1384
102011034,0,14,0,0,13,966,1214,217,43,2445
102011035,0,3,0,0,10,413,402,77,15,900
102011036,0,6,0,3,5,1725,1182,247,48,3209
102011037,3,14,0,0,15,452,454,86,13,998
102011038,0,0,0,0,6,366,335,125,0,825
102011039,0,23,0,0,30,1264,1412,576,50,3303
102011040,10,24,4,0,45,1503,1844,588,79,4012
102011041,0,9,0,0,9,814,840,208,24,1880
102011042,3,16,0,0,22,1709,1936,431,64,4138
102011043,4,15,0,0,21,953,1288,231,37,2505
102021044,0,10,3,0,15,1766,2196,529,66,4555
102021045,0,4,0,0,4,543,535,212,22,1308
102021046,3,8,0,0,6,377,505,161,15,1065
102021047,5,13,0,0,22,3022,1766,532,90,5412
102021048,7,3,4,0,20,1638,2054,657,73,4421
102021049,6,7,0,3,16,427,335,130,21,912
102021050,4,6,0,0,14,972,694,181,26,1873
102021051,5,7,0,3,14,1210,664,169,34,2078
102021052,0,0,0,0,4,288,266,71,9,633
102021053,8,13,15,0,33,1323,1391,530,65,3313
102021054,0,5,0,0,15,931,934,350,46,2261
102021055,10,16,0,0,26,5144,3333,1419,164,10063
102021056,4,16,0,0,23,4174,2565,706,133,7577
102021057,5,20,8,6,28,3350,1914,531,121,5926
103011059,6,13,0,0,28,2628,1150,175,57,4014
103011060,25,35,10,0,70,735,444,58,28,1262
103011061,18,31,0,7,55,1519,535,97,59,2206
103011612,11,36,4,3,55,6394,4287,537,176,11397
103011613,0,12,0,0,14,1913,904,127,42,2975
103021062,35,34,4,8,75,1663,783,94,57,2602
103021063,10,32,3,10,51,2277,1449,184,77,3983
103021064,40,30,8,5,77,1066,581,57,37,1739
103021065,29,47,4,3,82,2629,1328,147,96,4195
103021066,15,25,0,0,44,710,415,55,17,1198
103021067,14,16,3,0,35,2632,1448,179,59,4315
103021068,25,20,0,3,42,1138,323,50,36,1552
103021069,17,29,6,7,55,1753,756,112,67,2688
103031070,17,17,0,3,42,2851,1893,297,92,5138
103031071,16,32,0,0,50,1755,681,172,51,2661
103031072,18,24,7,4,58,3363,2369,322,119,6173
103031073,16,23,0,0,44,477,387,31,21,908
103031074,31,35,3,6,82,3081,952,232,119,4378
103031075,0,0,0,0,0,0,0,0,0,0
103041076,29,23,3,4,59,2081,771,127,55,3032
103041077,21,54,3,7,91,11069,5586,820,250,17722
103041078,6,18,0,3,27,2702,1324,149,81,4255
103041079,51,83,5,6,140,2230,1094,135,63,3515
104011080,18,39,4,4,68,5501,3604,459,210,9775
104011081,34,27,4,4,74,1676,1016,108,60,2853
104011082,14,20,4,8,42,2735,2443,253,123,5548
104021083,18,26,0,0,44,842,1021,96,35,1993
104021084,11,26,0,4,36,3344,2972,321,123,6758
104021085,17,34,7,8,71,8565,5620,700,268,15155
104021086,5,0,0,0,11,395,356,31,23,813
104021087,14,22,0,6,32,505,433,33,33,999
