POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
101021007,28,0,0,86,70,17,36,3,0,126,75,30,38,10,0,150,85,24,21,27,0,150,80,22,46,28,0,179,30,10,33,21,3,96,13,9,20,23,3,58,7,4,18,22,3,48,791,138,273,159,17,1373
101021008,8,0,0,87,68,16,11,0,0,95,64,13,19,0,0,100,61,12,16,0,5,89,45,10,11,0,0,57,21,9,0,0,0,25,3,6,0,0,0,11,0,0,0,0,0,13,783,105,93,9,3,986
101021009,34,4,0,571,480,39,23,3,3,548,491,36,16,3,3,550,389,30,37,0,3,457,297,27,26,3,6,354,152,26,14,0,0,185,41,8,7,0,0,57,12,3,5,3,0,26,4993,299,232,33,23,5582
101021010,10,0,0,306,200,32,18,3,0,253,251,39,11,0,3,303,181,49,14,6,5,254,141,16,12,0,0,179,63,16,14,4,0,102,22,11,8,0,3,37,7,11,5,6,0,22,2678,293,143,19,24,3159
101021012,24,0,0,247,181,59,29,3,0,270,172,50,24,3,3,255,119,44,27,5,0,196,92,35,23,9,0,153,41,9,19,0,0,72,10,5,8,6,0,20,3,3,0,0,0,8,2039,332,203,34,11,2608
101021610,9,0,0,59,30,9,9,0,0,46,22,10,4,5,0,43,25,4,0,0,0,31,12,4,0,0,0,12,12,5,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,452,70,61,9,0,600
101021611,38,8,0,326,245,58,27,6,0,337,236,60,54,18,3,374,178,62,60,12,0,312,107,43,52,30,3,236,58,35,39,27,3,162,26,18,26,25,0,95,3,16,24,22,4,64,2172,438,403,165,31,3207
101031013,9,0,0,86,73,10,9,0,0,92,81,3,15,3,3,109,107,14,22,4,3,145,78,12,13,9,5,120,15,10,25,8,6,57,11,4,16,16,0,47,3,0,10,8,6,29,786,76,137,66,21,1080
101031014,18,3,6,362,361,24,31,0,8,422,403,35,30,5,4,477,378,31,26,5,8,448,306,34,27,5,0,374,125,7,26,8,0,165,41,11,10,5,0,72,16,4,4,9,3,37,3587,213,241,53,38,4126
101031015,10,3,0,37,34,9,23,8,0,76,34,16,24,4,0,86,48,12,30,11,0,102,32,18,21,10,0,79,17,6,29,14,6,61,8,7,13,11,0,35,0,3,21,23,0,54,358,87,195,110,6,759
101031016,38,9,5,391,309,58,70,13,6,444,260,67,66,8,4,407,262,65,57,12,4,402,194,62,62,15,3,337,74,30,30,13,0,154,37,8,13,7,7,80,10,12,19,12,0,53,4302,419,449,111,53,5327
101041017,39,10,6,474,401,36,58,7,3,508,418,42,46,8,10,526,428,35,58,9,8,530,362,37,45,11,11,457,168,13,25,9,5,217,48,15,16,6,0,86,13,5,6,0,6,28,3999,289,371,64,69,4801
101041018,22,0,0,120,88,22,32,5,4,150,100,11,32,0,0,149,128,18,36,4,0,184,106,17,31,3,5,161,49,10,17,7,0,86,8,10,5,0,0,30,0,15,4,0,0,19,961,134,235,28,22,1379
101041019,37,5,4,498,510,32,53,6,5,610,589,35,54,4,9,690,594,42,55,3,7,699,487,38,51,9,6,592,187,20,24,8,4,248,34,12,13,5,3,68,13,10,3,10,0,38,4820,281,375,49,54,5573
101041020,35,5,5,116,57,32,39,14,4,145,72,22,63,16,5,181,93,33,60,25,9,216,91,27,70,31,6,226,25,18,67,32,5,143,12,11,42,36,3,99,0,0,29,28,5,65,751,185,467,204,52,1667
101041021,4,0,0,83,84,18,13,0,0,116,77,10,15,5,3,110,106,10,16,0,0,132,73,9,21,0,0,106,18,5,5,0,0,27,3,3,3,0,0,15,4,0,0,0,0,4,741,67,113,15,12,953
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,10,3,0,125,130,11,12,4,4,161,121,13,19,5,0,155,130,19,16,4,10,177,133,19,16,0,0,168,60,18,12,0,0,90,12,0,4,5,0,28,3,4,7,5,0,20,1105,112,120,25,24,1385
101041024,14,9,0,75,51,3,19,8,3,90,64,13,19,9,4,104,62,18,26,10,0,114,59,3,21,5,0,95,18,18,28,11,0,72,9,7,12,9,0,30,0,0,13,9,0,22,520,86,175,56,12,851
101041025,47,9,3,363,283,58,63,10,4,429,338,50,65,10,3,463,317,48,69,10,9,450,276,58,69,10,8,422,116,24,36,9,0,189,30,28,18,11,0,88,16,7,15,3,0,49,3065,393,489,82,53,4075
101041026,34,3,4,330,347,23,47,0,9,432,376,40,44,0,7,468,350,33,64,14,8,463,319,30,46,6,11,416,144,19,28,8,5,206,34,8,13,11,3,68,6,3,3,0,4,22,3122,221,362,47,70,3830
101041027,36,8,7,248,188,35,53,7,0,283,225,39,53,3,11,332,233,29,55,11,9,335,231,28,95,10,13,374,110,35,48,12,4,213,21,15,30,7,8,78,13,5,13,6,3,42,2063,240,480,77,68,2933
101051539,58,7,5,994,950,64,64,6,8,1103,966,67,63,6,7,1103,1018,73,86,19,8,1193,734,73,62,10,8,884,326,32,37,10,0,401,88,22,23,3,4,141,22,3,15,15,4,64,9764,538,595,94,90,11081
101051540,68,15,7,353,225,48,65,27,15,382,248,43,84,22,15,412,258,59,77,49,9,452,181,48,99,86,9,420,83,31,77,65,6,261,36,15,70,72,6,198,16,13,62,61,4,158,2415,375,724,444,76,4037
101061541,26,5,0,239,189,24,28,3,5,245,185,23,28,3,5,241,189,18,25,4,5,234,151,16,26,5,0,193,58,13,16,8,5,96,19,0,14,3,0,36,9,0,6,0,3,19,2036,159,226,42,26,2487
101061542,28,6,0,197,117,51,59,18,4,248,138,55,43,27,3,263,106,53,67,30,0,257,98,30,72,61,0,257,49,34,57,57,6,199,23,15,52,54,9,149,11,20,41,58,7,131,1424,358,557,334,31,2698
101061543,45,10,0,473,374,38,50,3,3,468,385,42,52,9,3,489,370,53,53,6,7,489,293,27,47,18,11,397,109,24,36,9,7,181,30,18,17,14,10,85,12,13,6,18,5,52,3845,322,421,109,62,4755
101061544,34,5,0,193,135,30,41,16,5,224,154,32,54,18,9,265,170,35,59,33,3,298,128,25,60,36,4,253,63,22,65,31,3,187,23,13,28,25,8,97,10,13,29,37,3,93,1491,243,450,235,43,2461
102011028,30,5,0,124,68,34,34,0,0,145,68,46,49,3,0,167,65,35,35,6,0,148,31,20,23,9,7,87,14,14,15,3,0,45,3,8,10,0,0,28,6,6,5,0,0,16,725,232,272,44,9,1293
102011029,33,8,0,176,95,54,44,10,0,202,96,36,50,7,0,186,78,39,35,6,3,160,80,32,45,8,0,165,28,23,18,5,0,79,10,18,5,5,0,42,3,17,5,3,0,35,890,307,323,72,10,1601
102011030,31,10,0,684,580,57,40,17,6,695,640,58,56,7,4,766,549,70,49,17,6,697,358,59,40,10,6,471,129,31,30,14,3,213,25,10,16,7,0,65,10,13,12,19,3,54,5361,459,340,114,56,6329
102011031,66,15,7,956,766,108,75,16,5,963,758,123,75,17,11,982,722,107,61,9,5,896,569,60,54,9,6,692,223,38,29,8,3,295,54,22,20,16,4,119,11,9,13,6,6,52,8503,699,552,108,60,9930
102011032,92,14,8,2112,2084,152,127,23,11,2404,2017,138,93,19,13,2284,1828,142,111,14,12,2106,1345,102,110,20,3,1584,546,68,61,18,7,699,127,40,36,11,5,223,56,18,17,7,10,110,18433,1048,891,159,97,20629
102011033,17,5,0,157,143,19,15,0,0,173,156,19,8,0,0,183,134,12,9,3,0,151,94,9,10,4,0,118,44,7,6,0,6,52,8,3,3,0,0,17,0,0,3,0,0,4,1165,92,101,18,8,1384
102011034,28,0,0,201,176,31,38,0,4,241,195,29,27,5,7,253,192,19,24,5,0,244,139,16,25,3,3,193,75,4,10,0,0,89,20,7,8,0,0,33,0,0,0,4,0,13,1997,180,225,27,22,2445
102011035,12,5,0,91,69,13,13,0,0,97,66,14,17,0,5,105,82,16,11,0,0,106,54,8,17,3,0,81,34,5,9,0,0,39,6,0,4,4,0,17,0,0,5,0,0,10,666,95,122,21,7,900
102011036,22,9,0,287,274,24,28,8,0,341,265,33,29,4,0,336,293,16,39,3,0,355,199,24,19,3,0,248,69,7,6,0,0,88,12,7,5,3,0,30,3,0,0,5,0,5,2756,178,227,44,12,3209
102011037,25,0,0,109,81,24,26,0,0,130,84,16,17,0,0,116,84,7,20,0,0,115,61,16,14,0,0,95,24,16,12,0,0,50,13,3,6,0,0,21,8,3,0,6,0,15,703,115,155,21,3,998
102011038,18,3,0,88,42,17,26,3,0,87,47,26,15,5,0,96,43,28,22,9,0,96,33,11,25,3,0,64,19,4,11,0,0,36,6,7,3,0,0,15,0,3,0,0,0,6,452,137,193,31,5,825
102011039,50,5,3,335,211,77,60,17,0,369,204,72,67,7,0,348,162,67,46,3,0,281,112,47,34,5,0,194,54,22,31,8,0,114,9,17,9,0,0,41,7,10,4,3,0,30,2315,452,440,67,27,3303
102011040,77,15,3,421,244,53,84,6,0,383,265,40,88,10,6,413,250,53,73,7,5,390,219,36,53,8,11,333,95,30,41,7,0,169,28,17,19,0,0,64,10,15,14,9,0,45,2884,389,602,90,48,4012
102011041,35,6,0,186,115,58,50,10,0,227,105,42,54,8,0,203,94,42,24,8,3,175,81,21,36,12,0,144,26,7,14,5,0,52,9,12,9,0,0,26,8,0,4,7,0,9,1211,287,314,58,7,1880
102011042,44,4,3,366,335,30,42,6,3,417,356,40,46,6,7,453,337,29,31,7,3,415,309,29,42,4,6,390,92,15,23,7,0,142,27,5,9,3,0,39,6,3,9,0,3,22,3475,220,337,55,41,4138
102011043,27,4,0,207,199,14,32,3,0,244,183,20,30,3,0,239,196,20,28,5,0,248,148,19,26,0,0,190,72,14,18,7,0,109,17,12,8,8,0,42,8,0,4,7,0,21,2054,160,241,29,16,2505
102021044,63,3,7,374,309,52,48,3,7,416,359,32,66,3,3,461,348,32,49,3,4,437,299,33,32,10,5,372,128,23,36,8,0,194,36,9,16,3,0,56,13,0,3,0,0,15,3659,323,463,71,39,4555
102021045,12,3,0,143,102,10,27,5,0,149,99,19,23,3,0,141,75,7,19,4,0,107,63,0,12,0,0,77,31,0,4,0,0,34,9,3,4,0,0,15,0,0,4,0,0,4,1036,79,157,30,3,1308
102021046,18,0,0,103,60,8,18,0,0,94,64,14,24,4,0,102,61,9,22,4,0,98,34,12,17,4,0,73,15,9,14,0,0,33,7,0,5,0,0,16,3,0,5,0,0,6,741,112,182,22,8,1065
102021047,60,5,3,554,466,60,54,8,0,592,483,70,65,10,8,630,451,58,45,6,0,567,324,53,39,6,5,429,118,17,13,4,0,155,24,12,10,0,0,54,6,5,0,3,0,22,4441,439,442,65,34,5412
102021048,39,3,0,364,292,44,48,3,4,389,305,24,45,9,3,384,303,26,46,6,3,381,232,17,26,0,0,277,103,12,25,3,0,137,19,7,5,0,0,26,7,7,3,0,3,20,3781,236,340,42,21,4421
102021049,16,4,0,77,52,19,13,4,0,87,49,16,19,3,0,88,40,13,18,7,0,77,43,14,12,5,0,77,17,6,8,6,0,37,3,9,4,4,0,27,4,11,4,4,0,16,610,130,123,38,7,912
