POW_SA2_CODE_2021,Emp_15_19_HW_0,Emp_15_19_HW_1_19,Emp_15_19_HW_20_29,Emp_15_19_HW_30_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40_44,Emp_15_19_HW_45_49,Emp_15_19_HW_50mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_19,Emp_20_24_HW_20_29,Emp_20_24_HW_30_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40_44,Emp_20_24_HW_45_49,Emp_20_24_HW_50mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_19,Emp_25_29_HW_20_29,Emp_25_29_HW_30_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40_44,Emp_25_29_HW_45_49,Emp_25_29_HW_50mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_19,Emp_30_34_HW_20_29,Emp_30_34_HW_30_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40_44,Emp_30_34_HW_45_49,Emp_30_34_HW_50mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_19,Emp_35_39_HW_20_29,Emp_35_39_HW_30_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40_44,Emp_35_39_HW_45_49,Emp_35_39_HW_50mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_19,Emp_40_44_HW_20_29,Emp_40_44_HW_30_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40_44,Emp_40_44_HW_45_49,Emp_40_44_HW_50mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_19,Emp_45_49_HW_20_29,Emp_45_49_HW_30_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40_44,Emp_45_49_HW_45_49,Emp_45_49_HW_50mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_19,Emp_50_54_HW_20_29,Emp_50_54_HW_30_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40_44,Emp_50_54_HW_45_49,Emp_50_54_HW_50mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_19,Emp_55_59_HW_20_29,Emp_55_59_HW_30_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40_44,Emp_55_59_HW_45_49,Emp_55_59_HW_50mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_19,Emp_60_64_HW_20_29,Emp_60_64_HW_30_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40_44,Emp_60_64_HW_45_49,Emp_60_64_HW_50mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_19,Emp_65_69_HW_20_29,Emp_65_69_HW_30_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40_44,Emp_65_69_HW_45_49,Emp_65_69_HW_50mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_19,Emp_70_74_HW_20_29,Emp_70_74_HW_30_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40_44,Emp_70_74_HW_45_49,Emp_70_74_HW_50mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_19,Emp_75ov_HW_20_29,Emp_75ov_HW_30_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40_44,Emp_75ov_HW_45_49,Emp_75ov_HW_50mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_19,Emp_Tot_HW_20_29,Emp_Tot_HW_30_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40_44,Emp_Tot_HW_45_49,Emp_Tot_HW_50mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_19,OM_IEs_15_19_HW_20_29,OM_IEs_15_19_HW_30_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40_44,OM_IEs_15_19_HW_45_49,OM_IEs_15_19_HW_50mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_19,OM_IEs_20_24_HW_20_29,OM_IEs_20_24_HW_30_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40_44,OM_IEs_20_24_HW_45_49,OM_IEs_20_24_HW_50mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_19,OM_IEs_25_29_HW_20_29,OM_IEs_25_29_HW_30_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40_44,OM_IEs_25_29_HW_45_49,OM_IEs_25_29_HW_50mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_19,OM_IEs_30_34_HW_20_29,OM_IEs_30_34_HW_30_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40_44,OM_IEs_30_34_HW_45_49,OM_IEs_30_34_HW_50mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_19,OM_IEs_35_39_HW_20_29,OM_IEs_35_39_HW_30_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40_44,OM_IEs_35_39_HW_45_49,OM_IEs_35_39_HW_50mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_19,OM_IEs_40_44_HW_20_29,OM_IEs_40_44_HW_30_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40_44,OM_IEs_40_44_HW_45_49,OM_IEs_40_44_HW_50mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
101021007,0,33,0,5,10,7,7,3,0,64,7,18,3,6,5,8,10,6,3,61,5,7,5,10,16,15,7,20,0,85,6,8,12,3,7,15,7,22,0,82,3,9,8,8,8,10,9,23,0,90,4,3,3,3,8,9,4,8,6,50,0,7,8,7,11,17,3,12,6,70,3,6,5,3,16,10,7,18,0,75,7,16,14,10,6,16,7,8,0,85,6,18,21,10,8,7,4,15,5,80,0,10,14,0,0,0,0,0,0,30,0,3,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,7,39,147,93,77,91,124,50,145,18,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,3,0,5,0,9
101021008,0,30,9,3,0,12,0,0,0,59,3,11,8,6,24,26,4,3,0,97,5,7,12,3,25,25,12,9,0,95,9,7,3,4,30,37,7,16,8,120,4,10,4,3,19,25,8,20,0,77,0,10,0,6,14,18,4,11,0,62,0,7,3,6,19,11,5,15,0,68,3,7,4,4,15,17,9,10,0,64,6,8,9,14,9,17,3,5,0,61,0,15,4,9,6,10,3,7,0,45,0,7,5,0,6,3,0,6,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,113,66,57,163,195,52,104,10,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,8,0,0,3,0,0,0,0,4,0,11,0,0,4,0,3,4,0,4,0,17,0,0,0,0,3,3,0,3,0,11
101021009,13,207,60,6,23,29,9,3,4,361,20,91,81,40,131,97,33,28,6,524,23,49,75,27,190,111,57,44,12,583,36,45,96,57,189,127,32,55,9,640,21,45,79,41,163,97,26,52,10,536,12,34,50,45,162,113,32,45,7,490,21,29,41,47,141,96,40,60,6,480,17,37,41,43,132,122,30,51,3,491,25,35,33,24,127,81,29,30,4,389,27,40,41,34,70,42,9,28,0,297,16,24,23,9,29,21,4,21,4,152,0,15,5,0,6,3,0,4,0,41,0,4,4,0,0,0,0,0,0,12,233,651,637,377,1360,940,305,425,61,4993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,14,0,4,3,0,4,6,3,13,0,34,0,0,6,0,12,13,0,15,0,47,0,0,3,0,0,11,3,13,3,40
101021010,10,123,31,12,26,30,8,11,3,246,13,36,34,18,69,82,33,30,4,316,12,21,33,14,70,106,30,64,6,353,15,19,23,8,78,96,24,61,8,335,17,22,24,11,67,71,34,43,3,303,12,17,25,17,56,61,22,49,3,255,3,6,13,18,35,51,23,41,0,200,5,6,23,14,69,66,29,38,4,251,6,13,9,12,42,57,11,25,0,181,7,7,17,14,31,39,8,17,3,141,0,6,15,0,17,16,8,7,0,63,0,9,0,3,3,0,3,0,0,22,0,5,0,0,0,0,0,0,0,7,94,293,238,148,559,683,237,395,35,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,5,0,3,0,20,0,0,0,0,0,0,3,14,0,26,0,3,6,0,4,5,7,17,0,38,0,6,0,0,6,4,4,16,0,34
101021012,16,137,32,9,15,27,4,13,0,256,5,39,33,18,44,92,15,14,9,268,4,13,27,13,63,81,19,55,4,276,3,9,19,15,47,74,31,34,0,233,10,10,15,11,39,62,22,27,0,204,7,14,11,14,34,54,15,37,0,192,9,10,14,13,49,40,14,32,0,181,3,4,16,15,28,55,15,23,4,172,7,9,12,10,20,33,13,20,4,119,3,9,10,11,16,17,7,19,0,92,5,6,4,5,4,9,0,8,0,41,0,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,84,259,197,126,366,555,152,278,24,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,5,0,4,0,16,0,0,0,0,0,7,4,8,0,23,0,4,0,3,8,3,4,17,0,40,0,0,5,0,6,10,0,11,0,31
101021610,0,40,5,5,3,9,0,0,0,64,0,14,10,0,15,12,9,3,0,69,5,3,10,4,17,21,0,5,5,67,3,0,7,0,13,16,4,7,0,56,3,0,10,3,13,15,4,6,0,54,3,5,9,4,7,7,0,4,0,37,0,0,0,4,8,9,4,4,0,30,0,0,0,4,5,10,6,4,0,22,0,0,0,0,12,0,0,5,0,25,0,0,0,0,5,4,4,0,0,12,0,3,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,75,52,27,101,103,37,33,4,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,6,0,3,4,0,8,0,12,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,5,5,3,0,12
101021611,15,119,16,8,15,10,7,5,0,196,3,36,29,15,28,56,15,25,0,211,13,9,20,8,52,64,21,27,6,225,15,16,15,11,34,75,32,45,6,234,9,18,8,12,35,64,26,60,0,228,4,15,13,10,38,74,31,44,0,230,13,14,18,7,29,63,36,54,3,245,15,22,15,5,38,54,40,51,0,236,13,19,10,15,38,35,11,33,4,178,9,23,9,9,15,23,5,10,0,107,5,23,8,3,9,3,0,9,0,58,0,8,0,6,0,4,0,0,0,26,0,4,0,0,0,0,0,0,0,3,105,326,168,106,335,523,223,360,33,2172,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,7,0,14,4,4,0,0,0,4,0,4,0,23,0,3,9,0,8,13,0,16,0,53,0,7,3,4,4,16,3,18,0,47
101031013,0,27,0,4,5,8,3,4,0,52,3,8,7,8,10,11,3,6,0,60,3,3,4,9,17,16,5,14,3,81,0,6,4,4,16,7,5,14,0,69,5,7,14,8,19,19,4,18,7,88,6,6,8,8,15,15,6,9,0,68,4,3,12,4,15,21,9,15,0,73,5,3,12,7,13,18,8,15,0,81,6,13,11,13,18,23,7,14,0,107,6,11,14,9,17,13,3,10,0,78,0,6,5,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,3,31,97,96,69,146,157,51,120,20,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,11,0,0,0,0,0,0,6,0,0,6
101031014,8,128,31,7,39,25,5,5,10,274,10,49,41,30,86,54,21,24,6,324,23,26,37,25,85,59,11,65,4,343,26,31,46,26,78,84,21,47,6,373,12,32,42,22,84,67,16,59,5,335,4,20,31,35,79,64,20,58,0,316,7,25,37,33,104,62,24,70,3,361,21,30,46,35,111,82,16,63,6,403,24,36,34,41,90,82,17,59,6,378,29,47,34,26,64,48,18,41,4,306,6,29,32,9,17,16,3,11,0,125,6,20,9,0,5,5,0,4,0,41,5,5,3,0,0,0,0,0,0,16,169,478,422,297,845,635,171,508,51,3587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,12,0,5,0,3,0,5,0,3,0,16,0,0,4,0,4,0,5,19,0,30
101031015,4,14,6,0,3,0,3,0,0,30,0,3,0,3,0,7,0,4,0,21,0,6,0,3,3,10,0,15,0,39,0,5,0,5,0,11,0,15,0,42,0,0,0,0,4,9,6,20,0,36,0,4,0,0,5,3,0,7,0,20,0,5,5,0,7,7,7,5,0,34,0,6,3,0,3,5,3,11,0,34,0,3,3,3,11,6,4,3,0,48,4,11,4,3,4,4,0,6,0,32,0,5,0,0,0,5,0,3,0,17,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,19,58,34,20,38,62,29,91,4,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,3,0,0,0,0
