POW_SA2_CODE_2021,OM_IEs_45_49_HW_0,OM_IEs_45_49_HW_1_19,OM_IEs_45_49_HW_20_29,OM_IEs_45_49_HW_30_34,OM_IEs_45_49_HW_35_39,OM_IEs_45_49_HW_40_44,OM_IEs_45_49_HW_45_49,OM_IEs_45_49_HW_50mor,OM_IEs_45_49_HW_NS,OM_IEs_45_49_Tot,OM_IEs_50_54_HW_0,OM_IEs_50_54_HW_1_19,OM_IEs_50_54_HW_20_29,OM_IEs_50_54_HW_30_34,OM_IEs_50_54_HW_35_39,OM_IEs_50_54_HW_40_44,OM_IEs_50_54_HW_45_49,OM_IEs_50_54_HW_50mor,OM_IEs_50_54_HW_NS,OM_IEs_50_54_Tot,OM_IEs_55_59_HW_0,OM_IEs_55_59_HW_1_19,OM_IEs_55_59_HW_20_29,OM_IEs_55_59_HW_30_34,OM_IEs_55_59_HW_35_39,OM_IEs_55_59_HW_40_44,OM_IEs_55_59_HW_45_49,OM_IEs_55_59_HW_50mor,OM_IEs_55_59_HW_NS,OM_IEs_55_59_Tot,OM_IEs_60_64_HW_0,OM_IEs_60_64_HW_1_19,OM_IEs_60_64_HW_20_29,OM_IEs_60_64_HW_30_34,OM_IEs_60_64_HW_35_39,OM_IEs_60_64_HW_40_44,OM_IEs_60_64_HW_45_49,OM_IEs_60_64_HW_50mor,OM_IEs_60_64_HW_NS,OM_IEs_60_64_Tot,OM_IEs_65_69_HW_0,OM_IEs_65_69_HW_1_19,OM_IEs_65_69_HW_20_29,OM_IEs_65_69_HW_30_34,OM_IEs_65_69_HW_35_39,OM_IEs_65_69_HW_40_44,OM_IEs_65_69_HW_45_49,OM_IEs_65_69_HW_50mor,OM_IEs_65_69_HW_NS,OM_IEs_65_69_Tot,OM_IEs_70_74_HW_0,OM_IEs_70_74_HW_1_19,OM_IEs_70_74_HW_20_29,OM_IEs_70_74_HW_30_34,OM_IEs_70_74_HW_35_39,OM_IEs_70_74_HW_40_44,OM_IEs_70_74_HW_45_49,OM_IEs_70_74_HW_50mor,OM_IEs_70_74_HW_NS,OM_IEs_70_74_Tot,OM_IEs_75ov_HW_0,OM_IEs_75ov_HW_1_19,OM_IEs_75ov_HW_20_29,OM_IEs_75ov_HW_30_34,OM_IEs_75ov_HW_35_39,OM_IEs_75ov_HW_40_44,OM_IEs_75ov_HW_45_49,OM_IEs_75ov_HW_50mor,OM_IEs_75ov_HW_NS,OM_IEs_75ov_Tot,OM_IEs_Tot_HW_0,OM_IEs_Tot_HW_1_19,OM_IEs_Tot_HW_20_29,OM_IEs_Tot_HW_30_34,OM_IEs_Tot_HW_35_39,OM_IEs_Tot_HW_40_44,OM_IEs_Tot_HW_45_49,OM_IEs_Tot_HW_50mor,OM_IEs_Tot_HW_NS,OM_IEs_Tot_Tot,OM_UIE_15_19_HW_0,OM_UIE_15_19_HW_1_19,OM_UIE_15_19_HW_20_29,OM_UIE_15_19_HW_30_34,OM_UIE_15_19_HW_35_39,OM_UIE_15_19_HW_40_44,OM_UIE_15_19_HW_45_49,OM_UIE_15_19_HW_50mor,OM_UIE_15_19_HW_NS,OM_UIE_15_19_Tot,OM_UIE_20_24_HW_0,OM_UIE_20_24_HW_1_19,OM_UIE_20_24_HW_20_29,OM_UIE_20_24_HW_30_34,OM_UIE_20_24_HW_35_39,OM_UIE_20_24_HW_40_44,OM_UIE_20_24_HW_45_49,OM_UIE_20_24_HW_50mor,OM_UIE_20_24_HW_NS,OM_UIE_20_24_Tot,OM_UIE_25_29_HW_0,OM_UIE_25_29_HW_1_19,OM_UIE_25_29_HW_20_29,OM_UIE_25_29_HW_30_34,OM_UIE_25_29_HW_35_39,OM_UIE_25_29_HW_40_44,OM_UIE_25_29_HW_45_49,OM_UIE_25_29_HW_50mor,OM_UIE_25_29_HW_NS,OM_UIE_25_29_Tot,OM_UIE_30_34_HW_0,OM_UIE_30_34_HW_1_19,OM_UIE_30_34_HW_20_29,OM_UIE_30_34_HW_30_34,OM_UIE_30_34_HW_35_39,OM_UIE_30_34_HW_40_44,OM_UIE_30_34_HW_45_49,OM_UIE_30_34_HW_50mor,OM_UIE_30_34_HW_NS,OM_UIE_30_34_Tot,OM_UIE_35_39_HW_0,OM_UIE_35_39_HW_1_19,OM_UIE_35_39_HW_20_29,OM_UIE_35_39_HW_30_34,OM_UIE_35_39_HW_35_39,OM_UIE_35_39_HW_40_44,OM_UIE_35_39_HW_45_49,OM_UIE_35_39_HW_50mor,OM_UIE_35_39_HW_NS,OM_UIE_35_39_Tot,OM_UIE_40_44_HW_0,OM_UIE_40_44_HW_1_19,OM_UIE_40_44_HW_20_29,OM_UIE_40_44_HW_30_34,OM_UIE_40_44_HW_35_39,OM_UIE_40_44_HW_40_44,OM_UIE_40_44_HW_45_49,OM_UIE_40_44_HW_50mor,OM_UIE_40_44_HW_NS,OM_UIE_40_44_Tot,OM_UIE_45_49_HW_0,OM_UIE_45_49_HW_1_19,OM_UIE_45_49_HW_20_29,OM_UIE_45_49_HW_30_34,OM_UIE_45_49_HW_35_39,OM_UIE_45_49_HW_40_44,OM_UIE_45_49_HW_45_49,OM_UIE_45_49_HW_50mor,OM_UIE_45_49_HW_NS,OM_UIE_45_49_Tot,OM_UIE_50_54_HW_0,OM_UIE_50_54_HW_1_19,OM_UIE_50_54_HW_20_29,OM_UIE_50_54_HW_30_34,OM_UIE_50_54_HW_35_39,OM_UIE_50_54_HW_40_44,OM_UIE_50_54_HW_45_49,OM_UIE_50_54_HW_50mor,OM_UIE_50_54_HW_NS,OM_UIE_50_54_Tot,OM_UIE_55_59_HW_0,OM_UIE_55_59_HW_1_19,OM_UIE_55_59_HW_20_29,OM_UIE_55_59_HW_30_34,OM_UIE_55_59_HW_35_39,OM_UIE_55_59_HW_40_44,OM_UIE_55_59_HW_45_49,OM_UIE_55_59_HW_50mor,OM_UIE_55_59_HW_NS,OM_UIE_55_59_Tot,OM_UIE_60_64_HW_0,OM_UIE_60_64_HW_1_19,OM_UIE_60_64_HW_20_29,OM_UIE_60_64_HW_30_34,OM_UIE_60_64_HW_35_39,OM_UIE_60_64_HW_40_44,OM_UIE_60_64_HW_45_49,OM_UIE_60_64_HW_50mor,OM_UIE_60_64_HW_NS,OM_UIE_60_64_Tot,OM_UIE_65_69_HW_0,OM_UIE_65_69_HW_1_19,OM_UIE_65_69_HW_20_29,OM_UIE_65_69_HW_30_34,OM_UIE_65_69_HW_35_39,OM_UIE_65_69_HW_40_44,OM_UIE_65_69_HW_45_49,OM_UIE_65_69_HW_50mor,OM_UIE_65_69_HW_NS,OM_UIE_65_69_Tot,OM_UIE_70_74_HW_0,OM_UIE_70_74_HW_1_19,OM_UIE_70_74_HW_20_29,OM_UIE_70_74_HW_30_34,OM_UIE_70_74_HW_35_39,OM_UIE_70_74_HW_40_44,OM_UIE_70_74_HW_45_49,OM_UIE_70_74_HW_50mor,OM_UIE_70_74_HW_NS,OM_UIE_70_74_Tot
101021007,0,0,0,0,3,3,0,5,0,17,0,0,0,3,4,6,4,9,0,30,0,0,0,4,0,4,0,3,0,24,0,0,0,5,0,0,5,9,0,22,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,14,8,17,14,22,14,41,4,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,8,0,0,0,15,0,3,0,0,0,3,0,5,0,26,0,0,3,0,3,4,0,8,0,28,0,3,9,0,5,6,0,4,0,36,0,9,3,3,0,12,0,12,0,38,0,5,3,0,0,5,0,6,0,21,0,6,12,0,0,9,3,11,3,46,0,4,5,4,0,9,0,10,0,33,0,3,0,3,0,0,3,4,0,20
101021008,0,0,5,0,5,0,0,6,0,16,0,0,0,0,5,3,0,8,0,13,0,0,0,0,3,0,0,4,0,12,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,7,11,5,18,19,5,29,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,3,0,0,0,0,0,3,0,8,0,0,0,0,4,0,0,4,0,11,0,5,0,4,0,0,3,4,0,19,0,4,0,0,0,0,0,0,0,16,0,7,3,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,5,0,5,5,13,0,4,0,39,4,0,0,0,0,9,0,21,0,36,0,7,0,6,9,8,0,8,0,30,0,8,0,0,3,9,3,6,0,27,0,0,5,0,3,4,5,3,0,26,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,8,28,21,15,40,76,16,90,5,299,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,6,3,0,0,4,0,0,0,16,0,9,4,0,3,4,0,0,0,20,0,5,5,4,6,4,0,5,0,30,0,0,3,6,6,9,3,4,0,34,0,0,4,4,0,9,3,5,0,23,3,0,3,0,0,3,0,4,0,16,0,4,0,0,0,11,8,10,0,37,0,10,6,0,4,3,0,5,0,26,0,3,4,0,0,0,0,3,0,14,0,6,3,0,0,0,0,0,0,7
101021010,0,0,0,3,0,11,3,18,0,32,0,5,3,0,3,8,5,13,0,39,0,0,0,4,6,16,5,17,0,49,0,0,0,0,0,6,0,4,0,16,0,0,3,0,0,4,0,0,0,16,0,0,3,0,0,0,3,4,0,11,0,3,0,5,0,0,0,0,0,11,4,22,15,13,27,68,25,116,4,293,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,4,5,3,4,0,3,0,19,0,0,0,0,0,3,0,3,0,19,0,3,3,4,0,0,0,4,0,10,0,5,4,4,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,11,0,0,0,0,4,3,0,4,0,14,0,5,3,0,0,0,0,0,0,12,0,3,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8
101021012,0,0,8,3,3,10,4,20,0,59,0,0,0,4,4,8,3,31,0,50,0,4,3,0,3,9,5,18,0,44,0,4,4,0,6,5,0,14,0,35,0,4,0,0,0,6,0,0,0,9,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,3,4,22,19,23,24,71,31,128,0,332,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,0,0,14,0,3,3,5,0,0,0,3,0,15,0,4,3,3,0,8,0,3,0,22,0,4,0,0,5,8,6,3,0,24,0,5,0,6,0,5,5,7,0,29,0,8,0,5,5,5,4,6,0,24,0,0,0,3,3,6,4,7,0,27,0,0,0,4,0,3,0,8,0,23,0,7,5,0,0,5,0,6,0,19,0,5,0,0,0,0,0,0,0,8
101021610,0,0,0,0,4,0,0,4,0,9,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,11,11,11,27,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,3,0,0,4,0,3,0,13,0,4,0,0,0,4,0,5,0,9,0,4,6,0,0,0,6,0,0,9,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,0,0,7,3,6,15,5,16,0,58,0,3,5,8,0,17,3,17,0,60,0,5,10,0,12,15,8,10,0,62,0,3,6,9,0,9,0,6,0,43,3,9,4,3,0,8,3,5,0,35,6,0,0,0,0,7,0,4,0,18,0,0,3,0,0,0,0,3,0,16,9,48,44,36,44,110,29,110,7,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,5,4,0,4,0,23,0,4,9,0,5,3,3,10,0,34,0,3,0,3,0,3,0,4,0,21,0,12,3,0,3,0,0,12,0,38,0,5,6,4,0,5,0,5,0,27,0,11,6,7,9,15,4,7,0,54,0,10,12,8,4,12,0,13,0,60,0,11,0,7,8,8,0,6,0,52,0,12,8,4,0,3,0,8,0,39,0,8,3,3,5,10,0,0,0,26
101031013,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,6,0,3,0,0,0,0,4,4,3,0,0,14,0,0,3,0,0,0,5,3,0,12,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,8,0,9,11,10,27,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,9,0,0,0,0,3,0,0,4,0,9,0,0,0,0,0,0,0,7,0,15,0,0,0,0,5,9,0,7,0,22,0,0,0,0,0,3,0,7,0,13,0,3,0,0,0,5,3,12,0,25,0,0,5,0,0,0,0,3,0,16
101031014,0,5,0,0,0,6,0,13,0,24,0,0,0,0,0,10,5,16,0,35,0,0,0,4,3,3,7,12,0,31,0,0,4,4,0,9,14,6,0,34,0,0,0,4,0,0,0,0,0,7,0,3,0,0,0,5,0,3,0,11,0,0,0,0,0,4,0,0,0,4,0,10,14,17,21,45,25,76,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0,3,0,0,0,0,0,0,5,0,5,3,8,0,10,0,7,0,24,0,3,0,0,4,9,0,4,0,15,0,5,0,7,0,5,0,0,0,18,0,6,3,4,3,4,0,13,0,31,0,3,7,3,4,5,0,6,0,30,0,4,5,0,0,5,0,9,0,26,0,6,5,0,0,0,0,9,0,27,0,5,7,3,0,6,0,5,6,26,0,3,3,0,3,0,0,0,0,10
101031015,0,0,0,0,0,0,0,4,0,9,0,0,0,0,3,4,3,5,0,16,0,0,0,0,0,3,0,12,0,12,0,4,0,0,0,3,0,9,0,18,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,9,0,3,6,19,3,33,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,8,0,0,5,0,0,6,0,3,0,10,0,4,0,0,0,0,0,13,0,23,0,4,6,0,0,7,8,11,0,24,3,0,4,4,0,5,0,11,0,30,0,5,4,3,0,4,0,7,0,21,4,3,0,0,0,4,0,4,0,29,0,0,3,0,0,5,0,8,0,13
