POW_SA2_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
101021007,0,0,0,24,14,0,4,0,0,15,12,5,3,0,0,17,10,0,9,0,0,23,20,9,4,0,0,33,26,7,9,0,0,35,18,7,0,9,0,31,11,3,10,11,0,25,3,0,3,3,0,15,0,0,3,4,0,5,0,0,0,3,0,4,142,29,40,33,3,252,23,0,0,0,0,27,16,0,6,0,0,17,14,0,4,0,0,20,18,0,0,0,0,19,22,0,3,4,0,31,15,0,4,0,0,21,22,0,5,0,0,32,22,5,13,3,0,42,36,3,5,5,0,48,37,5,9,5,0,55,15,0,7,5,0,22,6,0,5,3,0,18,0,0,4,5,0,10,239,16,60,35,3,354,28,0,9,0,0,44,5,0,0,0,0,14,414,45,117,77,7,657,21,0,0,0,0,21,26,0,4,0,0,27,60,4,3,0,0,71,51,6,8,6,0,67,51,10,12,0
101021008,0,0,0,22,28,0,0,0,0,36,20,0,3,0,0,22,15,0,0,0,0,15,15,3,3,0,0,24,19,0,6,0,0,26,16,0,4,0,0,16,12,0,4,0,0,16,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,168,9,23,0,0,201,25,0,0,0,0,25,13,0,0,0,0,13,14,0,4,0,0,9,13,0,0,0,0,15,10,0,0,0,0,17,17,0,3,0,0,18,10,5,7,0,0,19,10,0,6,0,0,16,21,0,7,0,0,27,14,3,6,0,0,23,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,155,15,17,5,0,194,11,0,0,0,0,15,8,0,0,0,0,8,343,29,43,5,0,414,17,0,0,0,0,17,59,0,0,0,0,65,77,3,0,0,0,85,91,10,5,0,0,104,67,9,7,0
101021009,4,0,0,228,193,10,0,0,0,200,168,13,6,0,0,192,187,8,7,0,0,202,198,6,3,0,0,204,174,6,0,3,0,182,141,6,14,0,0,157,88,8,0,0,0,104,34,4,0,0,0,36,5,0,0,0,0,5,0,0,0,0,0,0,1568,53,44,11,4,1671,157,0,0,0,0,157,117,0,0,0,0,121,90,0,3,0,0,95,136,0,3,0,0,142,123,3,7,6,0,138,97,5,7,3,0,106,86,0,0,0,0,93,96,4,4,0,0,107,78,5,0,0,0,80,89,7,7,0,0,102,47,3,3,0,0,52,14,0,0,0,0,14,0,0,0,0,0,3,1127,34,46,11,0,1220,152,3,4,0,0,158,32,0,0,0,0,33,2881,93,89,19,5,3091,73,0,0,0,0,68,292,0,3,0,0,297,405,10,10,0,0,424,404,28,10,0,0,441,339,37,15,4
101021010,0,0,0,62,45,0,3,0,0,49,43,3,3,0,0,51,39,0,0,0,0,38,31,4,0,0,0,33,42,4,0,0,0,53,28,5,5,0,0,39,11,4,0,0,0,16,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,370,38,10,0,0,422,85,0,0,0,0,87,33,0,4,0,0,33,30,3,0,0,0,30,30,7,4,0,0,36,36,0,0,0,0,41,31,7,3,0,0,40,12,0,4,0,0,20,24,4,3,0,0,32,19,0,0,5,0,27,13,4,3,0,0,19,6,3,0,0,0,9,0,0,0,0,0,3,5,0,0,0,0,6,334,28,27,5,3,391,49,0,0,0,0,49,10,0,0,0,0,11,756,61,40,7,9,876,71,0,0,0,0,71,214,3,4,0,0,220,276,14,3,0,0,286,264,26,9,0,0,297,223,31,9,3
101021012,0,0,0,46,25,0,0,0,0,23,36,4,3,0,0,43,33,7,3,0,0,45,39,7,5,3,0,59,31,15,9,0,0,50,25,4,9,3,0,38,15,0,4,0,0,21,9,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,300,41,38,7,0,388,79,0,0,0,0,84,34,0,4,0,0,39,23,0,0,0,0,23,29,5,3,0,0,36,23,4,7,0,0,37,32,3,3,0,0,45,22,6,4,0,0,33,26,0,3,0,0,36,21,0,6,0,0,33,14,5,5,3,0,26,9,0,3,0,0,13,0,0,5,6,0,11,0,0,0,0,0,0,312,31,46,13,0,407,35,0,0,0,0,43,4,0,0,0,0,9,661,72,91,21,0,841,57,0,0,0,0,57,169,6,0,0,0,175,216,12,7,0,0,238,183,21,6,0,0,210,153,35,16,0
101021610,0,0,0,18,10,0,3,0,0,18,23,0,3,0,0,28,9,4,6,0,0,17,11,4,3,0,0,21,7,0,0,0,0,10,10,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,104,8,16,0,0,132,23,0,0,0,0,23,10,0,0,0,0,13,10,0,4,0,0,15,7,0,5,0,0,24,9,0,4,0,0,16,18,0,3,0,0,13,3,0,5,0,0,4,7,5,0,0,0,9,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,21,8,3,132,13,0,0,0,0,16,3,0,0,0,0,6,209,22,32,8,3,272,11,0,0,0,0,11,41,0,0,0,0,45,43,9,0,0,0,57,41,16,4,0,0,61,40,4,7,0
101021611,5,0,0,66,52,6,11,0,0,64,46,10,0,0,0,55,51,6,5,0,0,62,52,6,7,3,0,70,54,10,13,11,0,82,35,12,3,0,0,57,16,4,15,0,0,29,5,3,7,5,0,18,0,0,4,4,0,15,0,0,0,0,0,0,423,67,64,26,4,580,88,0,0,4,0,91,44,4,0,0,0,47,25,0,8,0,0,32,22,0,6,3,0,37,32,8,11,5,0,58,20,5,13,0,0,40,34,8,6,0,0,51,28,9,14,3,0,56,30,12,14,10,0,63,31,12,7,13,0,69,17,11,4,5,0,42,5,0,4,5,0,17,4,0,7,9,0,18,372,74,101,55,4,607,41,4,9,4,5,59,13,0,0,0,0,20,853,145,173,84,12,1268,36,0,0,0,0,36,126,3,3,0,0,133,162,15,15,0,0,192,175,17,21,0,0,217,180,39,6,0
101031013,0,0,0,17,14,0,0,0,0,14,21,0,0,0,0,29,18,0,0,0,0,21,19,0,0,0,0,24,18,0,5,4,0,29,23,3,7,0,0,33,15,0,3,0,0,23,0,0,3,0,0,5,0,0,5,4,0,14,0,0,3,0,0,3,168,17,28,10,0,223,24,0,0,0,0,22,15,0,0,0,0,13,9,0,0,0,0,9,18,0,0,3,0,19,24,0,0,3,0,28,15,0,4,0,0,19,14,0,0,0,0,14,24,0,0,0,0,28,27,0,0,0,0,32,26,7,0,0,0,30,3,0,3,0,0,10,3,0,0,8,0,10,0,0,0,0,0,0,196,6,14,16,4,239,18,0,0,4,0,24,10,0,0,0,0,8,390,27,42,33,10,496,17,0,0,0,0,17,36,0,0,0,0,40,54,0,3,0,0,66,48,0,0,4,0,52,50,9,4,0
101031014,0,0,0,98,81,0,4,0,0,87,96,0,7,0,0,102,90,10,3,0,0,102,120,9,12,0,0,142,127,9,7,0,4,144,110,9,3,3,0,126,80,4,3,0,0,88,14,0,4,0,0,19,6,0,0,0,0,5,0,0,0,4,0,3,937,51,46,10,4,1051,96,0,0,0,0,98,59,0,0,0,0,59,59,0,0,0,0,59,82,0,5,0,0,88,77,0,0,0,0,83,75,5,6,0,0,87,65,3,6,0,0,76,81,0,4,0,0,94,89,4,8,3,0,101,79,5,7,5,0,93,38,5,3,0,0,48,16,3,3,0,0,22,5,0,0,0,0,3,819,31,47,12,4,913,107,0,0,4,0,118,22,0,0,0,6,30,1882,78,96,26,18,2101,78,0,0,0,3,79,188,0,6,0,0,196,224,0,4,0,0,227,237,9,16,0,0,260,221,9,10,3
101031015,4,0,0,10,3,0,0,0,0,3,6,0,0,0,0,11,4,0,0,0,0,5,3,5,5,0,0,16,9,0,3,0,0,17,9,3,5,3,0,28,3,3,0,4,0,10,0,0,5,4,0,10,0,0,5,0,0,4,0,0,6,8,0,12,51,18,40,27,0,131,12,0,0,0,0,12,3,0,0,0,0,7,7,0,0,0,0,15,3,0,0,0,0,10,0,0,0,4,0,10,4,0,0,0,0,5,9,0,0,7,0,16,5,3,3,0,0,16,6,0,0,3,0,14,12,4,5,3,0,18,0,0,3,6,0,11,0,0,0,3,0,9,0,0,4,3,0,4,72,12,29,26,0,141,10,0,3,0,0,10,4,0,4,0,0,6,127,34,71,53,0,287,7,0,0,0,0,7,12,0,0,0,0,16,26,0,4,0,0,31,33,0,0,4,0,36,28,6,6,0
