POW_SA2_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101021007,0,73,29,9,14,0,0,51,43,18,19,3,0,78,50,24,21,3,0,101,41,8,12,17,0,85,30,8,19,24,0,79,8,3,16,13,0,40,0,6,10,14,0,28,0,0,6,6,0,17,412,93,147,86,8,742,38,0,0,7,0,48,26,0,6,0,0,27,27,0,4,0,0,28,24,8,0,0,0,38,29,0,12,3,0,44,17,0,10,0,0,22,21,0,15,0,0,44,22,5,13,3,0,43,41,9,5,10,0,65,46,13,19,8,0,82,22,0,11,11,3,43,10,0,10,9,0,29,6,0,10,10,4,27,319,40,110,60,7,534,39,0,10,6,0,64,18,4,4,4,0,34,791,138,273,159,17,1373
101021008,0,77,48,7,8,0,0,60,51,7,10,0,0,69,45,12,14,0,0,73,33,9,3,0,0,49,22,4,4,0,0,27,9,3,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,4,517,71,51,3,0,647,46,0,0,0,0,46,28,0,0,0,0,28,21,0,0,0,0,22,18,3,0,0,0,21,13,4,5,0,0,23,18,0,3,0,0,20,19,4,4,0,0,22,14,7,5,0,0,29,26,4,3,0,0,38,19,3,10,0,0,29,9,0,0,0,0,12,3,4,0,0,0,5,0,0,0,0,0,6,235,26,38,5,0,302,19,6,0,0,0,27,10,0,0,0,4,14,783,105,93,9,3,986
101021009,0,399,347,28,25,0,0,402,337,30,17,0,0,384,339,30,7,3,3,376,266,19,26,0,0,312,148,19,11,0,5,188,75,13,3,0,0,92,12,0,0,0,0,19,0,0,4,0,0,5,3033,221,133,17,12,3406,275,0,0,0,0,278,213,0,3,0,0,213,144,0,6,0,0,158,197,11,11,4,0,223,166,7,16,3,0,193,125,8,12,3,6,143,112,4,6,0,0,132,126,5,4,0,0,139,93,6,4,0,4,107,118,6,12,4,0,144,64,6,6,0,0,72,24,4,4,0,0,32,11,0,0,3,0,20,1662,67,96,22,7,1850,233,8,7,0,0,247,61,5,0,0,5,75,4993,299,232,33,23,5582
101021010,0,272,184,25,4,0,0,218,153,30,5,3,0,192,193,36,10,0,0,233,142,41,11,0,3,198,96,10,4,0,0,116,40,10,5,0,0,59,13,6,0,0,0,21,0,3,0,0,0,5,1872,238,63,4,14,2189,162,0,0,0,0,167,89,0,3,0,0,88,66,3,0,0,0,71,49,7,11,0,0,66,61,4,5,0,0,68,55,11,7,0,0,73,35,3,7,0,0,47,48,7,4,0,0,59,31,6,0,6,0,43,37,4,7,0,0,49,21,4,7,0,0,39,14,3,4,0,0,17,7,0,3,6,0,14,679,46,63,14,3,810,94,4,4,0,0,109,35,4,3,0,7,53,2678,293,143,19,24,3159
101021012,0,203,143,29,15,0,0,186,137,48,14,3,0,201,124,47,15,0,3,195,82,36,18,3,0,138,64,24,14,0,0,99,21,4,6,0,0,36,3,0,0,0,0,3,0,0,0,0,0,0,1354,257,119,14,4,1747,183,0,3,0,0,191,86,0,3,0,0,95,52,0,0,0,0,59,42,8,10,0,0,51,33,7,9,0,0,55,38,7,3,0,0,48,32,16,11,5,0,59,38,7,8,0,0,51,31,9,8,0,0,46,25,7,9,3,0,42,14,8,8,0,0,33,3,5,8,6,0,18,0,3,0,0,0,6,580,67,81,17,3,742,84,4,0,0,0,91,24,0,5,0,0,30,2039,332,203,34,11,2608
101021610,0,48,21,12,3,0,0,34,20,9,3,0,0,38,16,6,0,0,0,30,21,4,0,0,0,25,7,4,0,0,0,13,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,268,53,30,0,0,355,48,0,0,0,0,48,29,0,6,0,0,29,15,0,4,0,0,19,18,6,8,0,0,29,15,0,4,0,0,21,17,0,6,0,0,26,3,0,4,0,0,9,7,4,0,0,0,14,3,0,0,0,0,8,0,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,151,13,33,9,3,208,19,3,0,0,0,26,4,3,0,0,0,12,452,70,61,9,0,600
101021611,0,227,187,38,16,0,0,247,187,45,11,3,0,249,185,37,29,14,0,266,115,43,28,3,4,191,57,18,22,4,4,107,19,16,14,10,0,65,8,11,11,16,0,42,0,11,9,3,0,23,1441,284,190,59,16,1999,141,0,0,7,0,148,82,3,3,0,0,90,44,3,4,0,0,55,38,4,6,3,0,57,41,11,14,6,0,72,30,9,14,6,0,59,38,14,12,0,0,64,45,15,25,7,0,85,47,16,28,9,0,108,42,25,21,22,0,110,34,15,25,11,0,87,14,4,14,14,0,42,4,5,19,10,0,41,600,136,186,92,4,1022,105,9,13,7,5,142,33,7,5,3,5,51,2172,438,403,165,31,3207
101031013,0,70,44,9,9,0,0,62,50,7,9,0,0,65,53,6,14,3,0,69,62,9,18,3,3,94,45,11,11,3,0,70,3,10,15,6,3,34,6,4,12,4,0,27,0,0,8,0,0,9,472,60,105,30,11,673,28,0,0,0,0,37,17,0,0,0,0,21,19,0,0,0,0,19,20,0,3,3,0,20,26,0,0,3,0,36,22,0,4,0,0,22,21,0,0,0,0,26,24,0,0,0,3,25,30,5,0,0,0,44,29,5,3,0,0,37,14,0,5,0,0,22,5,0,4,10,0,16,3,0,3,3,0,16,261,9,28,29,7,338,31,0,0,4,0,39,20,5,0,0,5,26,786,76,137,66,21,1080
101031014,0,251,223,24,8,3,5,256,257,22,17,3,3,300,273,28,17,0,3,323,243,28,14,3,0,286,165,23,14,0,0,207,52,5,9,7,0,67,11,9,7,0,0,32,0,4,0,7,0,16,2164,167,131,26,16,2503,173,0,0,0,7,181,118,0,0,0,0,118,88,0,3,0,0,94,103,3,13,0,0,124,99,3,3,0,0,113,87,5,12,0,0,104,88,5,12,0,0,104,112,0,14,0,0,132,110,3,12,0,0,129,109,7,7,5,0,132,69,5,12,0,0,86,26,0,5,0,0,39,9,0,6,0,0,17,1194,45,98,16,9,1370,169,0,4,3,0,184,51,0,4,0,11,66,3587,213,241,53,38,4126
101031015,0,42,21,3,5,5,0,31,23,6,15,7,0,55,19,13,21,5,0,64,23,12,18,6,0,69,13,11,14,9,0,46,6,6,17,4,0,34,0,4,8,8,0,19,0,3,11,17,0,37,225,70,122,62,7,484,15,0,0,5,0,25,6,0,0,0,0,12,13,0,0,0,0,16,9,0,7,0,0,18,8,0,4,4,0,13,0,0,5,0,0,10,14,0,6,7,0,21,5,3,4,3,0,15,12,0,6,6,0,30,18,0,12,3,0,28,6,0,12,9,0,20,8,3,3,6,0,20,0,0,11,9,0,18,113,20,63,43,0,236,19,0,6,0,0,31,4,0,4,0,0,13,358,87,195,110,6,759
