POW_SA2_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,11,10,0,35,0,0,0,0,0,4,3,0,0,0,0,3,16,3,7,3,0,25,5,0,0,0,0,16,414,45,117,77,7,657,682,109,228,134,16,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,6,0,4,4,0,18
101021008,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,18,3,7,0,0,20,0,0,0,0,0,0,343,29,43,5,0,414,616,81,68,3,0,772,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,15,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,26,0,5,0,0,27,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,9
101021009,0,16,12,5,0,0,0,14,0,0,0,0,0,0,20,0,0,3,0,26,74,7,0,0,0,82,25,0,0,0,0,20,15,0,3,0,0,18,110,4,0,0,0,114,10,0,0,0,0,7,2881,93,89,19,5,3091,3546,200,165,24,14,3944,5,0,0,0,0,3,25,0,0,0,0,29,16,0,0,0,0,16,63,9,0,0,5,77,9,0,0,0,0,7,3,4,0,0,0,4,36,0,0,0,0,33,5,0,0,0,0,12,4,0,0,0,0,8,18,0,0,0,0,14,273,20,13,0,4,317,7,0,0,0,0,9,6,0,6,0,0,13,0,0,0,0,0,0,0,7,0,0,0,12,6,0,0,0,0,6,6,0,0,0,0,11,25,5,0,0,0,26,5,3,0,0,0,11,14,4,4,0,0,15,180,0,0,0,0,182,3,0,0,0,0,5,89,0,6,0,0,98
101021010,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,4,20,0,0,0,0,22,0,0,0,0,0,0,5,0,0,0,0,5,36,4,4,0,0,40,0,0,0,0,0,4,756,61,40,7,9,876,2028,235,96,16,17,2396,4,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,0,23,3,3,0,0,26,6,0,0,0,0,5,0,0,0,0,0,0,16,3,0,0,0,17,5,0,3,0,0,9,0,0,0,0,0,4,4,0,0,0,0,3,110,11,4,3,0,132,8,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,5,4,0,0,0,0,7,38,0,0,0,0,44,3,0,0,0,0,3,46,6,0,0,0,53
101021012,0,15,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,25,4,0,0,0,0,4,0,0,0,0,0,0,30,3,4,0,0,34,4,0,0,0,0,3,661,72,91,21,0,841,1545,266,166,18,10,2002,9,0,0,0,0,9,0,0,0,0,0,5,4,0,0,0,0,4,20,3,0,3,0,25,9,0,0,0,0,6,3,0,0,0,0,3,7,0,0,0,0,13,3,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,76,9,4,0,0,96,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,6,5,6,0,0,0,15,4,0,0,0,0,4,9,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,6,21,0,0,0,0,26,7,0,0,0,0,5,41,8,0,0,0,50
101021610,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,5,0,8,0,0,16,0,0,0,0,0,0,209,22,32,8,3,272,338,52,45,10,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,5,3,0,0,0,13
101021611,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,6,11,0,0,61,8,4,0,0,0,19,0,0,0,0,0,0,22,4,4,0,0,32,6,0,0,0,0,10,853,145,173,84,12,1268,1782,368,327,145,23,2635,0,0,0,0,3,3,3,0,0,0,0,3,8,0,0,0,0,7,17,0,0,0,0,22,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,0,14,0,0,0,0,0,0,6,0,0,0,0,6,25,0,0,0,0,27,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,5,5,0,0,15,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,6,3,4,0,0,0,7,12,0,0,0,0,12,4,0,0,0,0,7,48,6,4,6,0,66
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,6,10,0,0,0,0,14,390,27,42,33,10,496,688,63,125,59,25,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,9,0,0,0,0,8
101031014,0,11,4,0,0,0,0,4,4,0,0,0,0,4,11,0,3,0,0,15,64,6,4,0,0,68,8,0,5,0,0,8,3,0,0,0,0,0,29,0,6,0,0,38,18,0,0,0,0,15,1882,78,96,26,18,2101,2940,177,197,37,31,3371,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,7,17,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,3,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,0,0,56,7,0,0,0,0,7,8,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,13,22,0,0,4,0,22,0,0,0,0,0,0,3,0,0,0,0,7,0,0,4,0,0,10,8,0,0,0,0,10,30,0,0,0,0,30,12,0,7,0,0,18,75,5,3,0,0,82
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,7,3,0,15,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,3,0,8,0,0,0,0,0,0,127,34,71,53,0,287,307,70,184,101,6,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
