POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101021007,0,0,0,0,0,0,13,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,16,10,0,60,0,0,0,5,0,7,4,0,0,0,0,4,30,3,8,0,0,42,8,0,5,0,0,22,791,138,273,159,17,1373
101021008,7,0,0,0,0,8,13,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,4,0,0,0,25,4,0,0,0,0,3,4,0,0,0,0,5,34,8,10,0,0,56,4,4,0,0,0,8,783,105,93,9,3,986
101021009,30,4,3,0,0,36,96,4,3,0,0,106,3,0,0,0,0,5,11,4,0,0,0,8,23,0,4,0,0,28,20,3,0,0,0,20,3,0,0,0,0,0,26,0,0,3,0,31,126,9,3,0,0,139,38,0,0,0,0,40,22,3,4,0,0,36,235,22,12,0,0,266,13,0,0,0,0,15,4993,299,232,33,23,5582
101021010,8,0,7,0,0,14,77,0,0,0,0,76,5,0,0,0,0,5,3,0,0,0,0,3,17,0,4,0,0,26,12,0,0,0,0,10,0,0,0,0,0,0,3,0,3,0,0,4,64,7,7,0,0,75,7,6,0,0,0,8,15,0,0,0,0,15,137,18,3,3,0,169,13,3,5,0,3,17,2678,293,143,19,24,3159
101021012,7,0,3,0,0,11,35,0,0,0,0,39,0,0,0,0,0,0,3,0,0,0,0,3,16,3,0,0,0,20,6,0,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,6,59,5,5,0,0,68,6,0,0,0,0,13,4,0,0,0,0,0,91,17,13,0,0,123,7,6,0,0,0,17,2039,332,203,34,11,2608
101021610,4,0,0,0,0,4,14,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,18,5,4,0,0,27,0,0,0,0,0,0,452,70,61,9,0,600
101021611,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,5,13,3,0,0,0,17,3,3,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,112,19,24,11,0,153,20,4,12,0,0,33,0,0,0,0,0,0,60,9,13,4,0,88,10,4,0,0,0,21,2172,438,403,165,31,3207
101031013,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,19,5,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,6,17,0,0,3,0,22,786,76,137,66,21,1080
101031014,21,0,0,0,0,21,21,0,0,0,0,21,7,0,0,0,0,7,8,0,0,0,0,11,21,0,4,0,0,23,16,0,0,0,0,20,4,0,0,0,0,4,19,0,3,0,0,28,114,7,4,0,0,131,10,0,3,0,0,15,0,4,4,0,0,9,88,3,8,0,0,99,29,0,8,3,0,38,3587,213,241,53,38,4126
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,3,9,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,6,0,7,3,0,17,10,0,0,0,0,12,358,87,195,110,6,759
