POW_SA2_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
101021007,0,0,0,14,0,15,6,0,3,7,0,25,12,0,5,10,0,30,8,0,7,0,0,21,7,0,13,6,0,31,13,3,14,0,6,38,34,4,14,3,0,56,28,8,15,4,0,58,57,5,23,8,0,97,49,8,10,5,0,81,44,13,3,9,0,73,20,7,16,5,0,55,55,8,6,6,0,80,10,0,4,0,0,14,19,9,5,9,0,37,0,3,0,0,0,11,382,89,152,88,10,716,0,0,0,16,0,16,13,0,8,3,0,31,17,0,3,4,0,30,24,4,16,3,0,48,23,0,10,4,0,41,38,3,15,4,0,62,51,6,9,4,0,68,56,4,14,5,0,84,56,4,8,5,0,79,40,5,5,6,0,61,32,6,8,3,0,49,12,0,3,3,0,19,34,7,5,3,0,43,0,0,0,0,0,0,3,9,6,0,0,17,7,5,0,3,0,13,414,45
101021008,0,0,0,0,0,5,8,0,0,0,0,8,7,0,0,0,0,9,7,0,0,0,0,7,7,4,0,0,0,9,16,0,0,0,0,17,27,8,3,0,0,34,60,7,9,0,0,74,64,9,14,0,0,75,52,16,3,0,0,71,61,11,16,0,0,88,52,7,3,0,0,60,59,17,3,0,0,84,9,4,0,0,0,14,7,3,6,0,0,13,5,0,0,0,0,9,434,79,53,3,4,575,0,0,0,0,0,0,14,0,0,0,0,14,15,3,0,0,0,20,12,0,3,0,0,15,13,0,0,0,0,23,22,0,9,0,0,26,39,4,0,0,0,43,37,0,9,0,0,49,50,0,6,0,0,62,39,3,5,0,0,44,33,7,3,0,0,42,22,4,0,0,0,27,34,4,0,0,0,41,3,0,0,0,0,5,3,0,0,0,0,5,5,0,0,0,0,5,343,29
101021009,4,0,0,0,0,8,57,0,0,0,0,59,65,0,0,3,0,68,53,0,5,0,0,57,69,5,8,0,0,76,109,6,10,0,0,130,157,11,9,3,5,185,223,16,19,0,0,266,337,21,9,4,0,378,235,15,8,0,4,264,201,22,16,0,0,244,159,19,4,0,0,191,310,33,25,0,0,367,50,14,5,0,0,66,52,40,12,0,0,105,25,0,0,0,0,26,2116,198,143,16,17,2492,10,0,0,7,0,13,82,0,0,0,0,84,77,0,0,0,0,88,85,4,6,0,0,94,120,0,11,0,0,130,211,6,5,6,0,229,266,13,12,0,0,287,381,12,16,0,0,407,430,18,12,0,5,466,313,3,9,0,0,328,265,9,8,0,0,275,245,7,4,0,0,257,313,15,7,0,0,331,26,7,5,0,0,38,43,10,3,0,0,61,15,0,0,0,0,16,2881,93
101021010,7,0,3,3,0,6,41,0,0,0,0,44,34,0,8,0,0,40,16,0,6,0,0,23,38,6,4,5,0,50,79,0,11,0,0,97,112,13,5,0,3,134,233,15,11,0,0,259,395,28,18,0,4,445,311,19,16,0,3,347,237,40,9,0,0,284,156,32,4,4,0,192,196,32,11,0,0,239,31,18,4,0,0,49,20,26,3,0,0,51,13,8,0,0,4,24,1921,227,99,12,20,2283,0,0,0,0,0,5,39,0,0,0,0,38,41,0,4,0,0,47,28,0,0,0,0,30,33,0,0,0,0,45,59,3,0,0,0,59,81,7,6,0,0,91,102,5,3,0,0,116,130,5,7,0,0,139,97,6,8,0,0,119,54,0,4,0,0,59,28,6,0,0,0,36,45,3,0,0,0,48,10,9,0,3,0,21,0,5,3,0,0,14,11,4,4,0,0,12,756,61
101021012,3,0,0,0,0,7,56,0,0,0,0,59,39,0,4,0,0,39,29,0,3,0,0,32,34,0,5,0,0,39,50,0,6,0,0,58,97,4,5,0,0,103,165,9,8,0,0,181,229,21,14,0,0,262,195,23,13,0,3,230,150,38,20,0,0,204,116,24,9,0,0,153,161,59,15,0,4,235,23,32,3,0,0,61,29,41,11,3,0,78,12,3,4,0,0,22,1374,257,116,9,7,1771,0,0,0,3,0,5,41,0,5,0,0,48,34,3,6,5,0,43,29,6,11,3,0,44,28,0,5,0,0,35,52,0,7,0,0,59,74,9,8,4,0,91,97,3,10,0,0,105,103,13,15,0,0,132,54,4,3,0,0,67,38,4,7,0,0,57,31,0,0,0,0,33,57,16,4,0,0,78,11,6,3,0,0,19,5,13,4,0,0,21,3,0,0,0,0,3,661,72
101021610,0,0,0,0,0,0,21,0,0,0,0,21,4,0,4,0,0,9,6,0,0,0,0,9,6,0,0,0,0,7,17,3,0,0,0,18,15,0,0,0,0,20,30,7,0,0,0,39,44,3,0,0,0,55,23,8,3,0,0,28,29,7,4,0,0,37,13,3,0,0,0,22,19,15,6,0,0,41,0,0,5,0,0,7,5,6,0,0,0,16,0,0,0,0,0,0,245,48,30,0,0,326,0,0,0,4,0,4,14,0,0,0,0,18,12,0,4,0,0,13,7,0,0,0,0,9,7,0,0,4,0,6,17,0,3,0,0,22,23,0,7,4,0,31,24,3,0,0,0,31,32,5,10,0,0,46,18,0,3,0,0,25,12,3,7,0,0,19,12,0,0,0,0,16,18,5,0,0,0,24,6,0,0,0,0,6,7,0,0,0,0,6,0,0,0,0,0,0,209,22
101021611,6,3,0,14,0,23,37,0,0,4,0,47,35,0,12,4,0,48,18,0,9,5,0,26,26,5,4,8,0,47,28,8,13,3,0,52,49,17,20,8,0,94,88,16,30,5,0,136,124,35,31,9,7,202,101,30,20,4,0,155,144,44,26,9,3,221,120,22,17,0,0,158,344,49,19,6,0,414,108,19,4,0,0,130,108,41,14,0,0,170,3,9,4,0,0,19,1321,296,228,79,21,1942,5,0,0,18,0,25,56,0,9,3,0,67,52,5,8,5,0,73,26,3,11,3,0,50,37,4,15,3,0,70,74,7,18,9,0,105,69,10,16,12,0,107,79,18,19,0,0,125,80,16,17,6,0,130,62,11,16,7,0,91,68,13,13,7,0,102,58,9,11,8,0,77,122,16,3,0,0,150,24,11,0,0,0,40,32,18,3,0,0,45,8,0,3,0,0,16,853,145
101031013,0,0,0,9,0,12,3,0,0,3,0,9,8,0,0,3,0,8,3,0,6,0,0,10,5,4,4,0,0,15,13,0,4,8,0,29,22,8,6,5,0,44,39,4,7,0,0,56,72,5,5,0,4,93,62,9,10,0,0,87,62,14,4,0,0,80,36,5,15,0,0,54,37,8,15,0,0,62,7,0,0,0,0,11,7,6,6,0,0,18,0,0,0,0,4,8,395,51,91,39,15,588,0,0,0,4,0,6,19,0,0,6,0,17,12,0,3,0,0,15,17,0,0,5,0,29,19,0,3,0,0,29,49,0,5,0,0,61,62,0,5,0,0,79,61,6,4,0,0,69,44,3,5,4,0,58,32,0,0,0,0,36,26,0,0,0,0,33,18,0,5,0,0,22,23,0,3,0,0,25,8,0,0,0,0,8,4,0,0,0,0,4,5,0,0,0,0,3,390,27
101031014,4,0,0,0,0,13,53,0,0,0,0,54,30,0,0,0,0,33,28,0,3,0,4,43,43,0,10,0,0,50,83,5,16,0,0,104,110,9,16,0,0,144,171,10,28,3,0,212,203,16,22,3,0,242,186,14,16,0,0,213,128,20,6,3,5,162,118,20,8,0,0,148,283,13,10,0,0,310,106,11,0,0,0,115,137,19,7,0,0,161,18,0,0,0,4,29,1705,132,146,25,19,2018,0,0,0,3,0,9,58,0,3,0,0,59,55,0,3,0,0,59,52,4,5,5,3,73,102,3,11,3,0,116,160,3,17,0,0,179,223,7,10,5,0,243,280,13,8,0,0,301,277,4,8,3,7,294,202,13,10,0,0,227,129,13,8,0,0,148,110,10,4,0,0,120,168,10,3,0,0,188,21,4,0,0,0,26,24,8,7,0,0,41,12,4,0,0,0,20,1882,78
101031015,0,0,4,4,0,9,7,0,0,0,0,5,0,0,3,7,0,16,9,0,13,7,0,18,6,0,3,8,0,24,9,3,5,9,0,31,19,5,9,0,7,36,18,5,17,5,0,45,30,4,22,0,0,55,24,6,11,4,0,41,21,9,13,0,0,41,17,7,6,0,0,33,39,8,12,4,0,72,9,3,3,0,0,16,16,5,7,0,0,29,0,0,0,0,5,0,226,56,123,58,6,469,0,0,0,13,0,13,8,0,3,0,0,21,9,5,5,6,0,24,8,0,4,3,0,18,9,0,5,4,0,20,10,0,6,4,0,23,19,5,3,5,0,34,14,3,9,0,0,26,12,3,12,0,0,26,10,9,10,5,0,27,11,0,8,0,0,19,4,0,3,0,0,9,12,0,5,0,0,15,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,3,127,34
