POW_SA2_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
101021007,24,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,17,4,0,0,0,0,0,0,0,23,0,0,4,3,7,7,11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,4,0,4,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,6,0,0,3,3,4,3,0,0,18,5,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,6,0,0,0,16,0,0,0,0,0,0,0,0,0,4,9,3,0,3,6,4,4,0,3,31,4,0,0,0,0,0,0,0,0,5,0,0,3,0,9,9,6,0,0,23,3,0,0,0,0,4,5,0,0,10,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,3,0,0,11,0,0,0,3,0,0,0,0,0,7,20,0,0,0,4,7,8,0,0,32,6,0,0,0,0,6,5,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,3,0,0,16
101021009,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,8,6,5,0,3,6,7,0,0,34,0,0,0,0,0,0,0,0,0,0,18,0,5,3,9,11,14,0,0,68,4,0,3,0,0,0,3,0,0,12,14,8,4,15,25,41,55,0,4,163,19,10,12,8,50,46,54,0,0,201,6,0,3,0,13,10,10,0,0,47,0,0,0,0,0,0,4,0,0,5,4,0,6,0,4,12,3,0,0,27,12,0,0,0,3,0,5,0,0,23,11,7,0,6,10,7,8,0,0,52,11,0,4,5,11,15,14,0,0,64,55,11,12,18,40,41,14,0,3,194,41,6,4,9,12,13,14,0,0,97,71,14,13,35,113,118,119,3,8,499,10,0,0,0,0,4,3,0,0,20,8,0,0,8,19,3,10,0,0,53,10,0,6,6,15,15,6,0,6,64
101021010,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,33,3,0,14,16,33,42,3,0,154,0,5,0,0,0,3,0,0,0,17,37,10,3,4,18,19,37,0,0,137,8,0,0,0,5,4,5,0,0,20,12,0,0,4,4,9,11,0,0,42,6,0,0,6,16,5,19,0,0,62,27,0,0,3,14,14,16,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,14,8,0,0,0,4,0,12,0,0,24,0,0,0,0,0,5,7,0,0,17,4,0,0,4,3,4,6,0,0,17,4,0,0,0,3,3,0,0,0,9,3,0,0,0,13,19,22,0,0,58,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,11,11,0,0,42,10,0,6,0,7,5,7,0,4,44
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,6,19,18,15,0,0,86,3,0,0,0,4,3,0,0,0,8,32,4,8,9,19,18,23,0,7,118,4,0,0,0,0,7,0,0,0,10,11,0,0,7,13,10,14,0,0,61,0,0,6,0,11,4,11,0,0,31,8,0,4,3,8,8,25,0,0,59,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,16,4,0,0,3,0,3,0,0,27,0,0,0,0,5,3,0,0,0,9,6,0,0,0,5,0,0,0,0,19,11,0,0,4,6,6,4,0,0,24,9,0,0,4,11,13,5,0,0,43,3,0,0,0,0,0,0,0,0,3,16,5,0,0,5,6,16,0,0,44,9,0,0,3,0,6,4,0,0,32
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,6,5,6,4,11,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,3,6,0,0,16,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,6,6,0,0,26,4,0,0,0,4,5,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,6,0,0,5
101021611,12,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,5,0,0,14,0,0,0,0,4,3,0,0,0,11,26,5,5,3,8,5,9,0,5,60,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,8,3,0,0,24,10,3,8,3,10,12,22,0,3,76,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,5,27,5,0,5,0,0,0,0,4,45,6,4,0,3,0,0,0,0,0,21,62,8,8,17,18,17,12,3,4,148,13,3,0,4,3,0,0,0,0,27,6,0,0,0,8,9,3,0,0,25,5,0,0,0,0,0,0,0,0,7,6,0,0,6,3,0,0,0,0,14,5,0,0,0,4,0,0,0,0,12
101031013,0,0,0,0,5,6,4,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,0,0,0,14,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3
101031014,5,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,3,0,0,12,15,6,7,17,15,10,11,0,0,75,24,8,0,3,12,22,50,9,4,140,5,0,0,0,0,0,0,0,0,6,28,0,3,0,9,7,4,0,0,54,20,6,0,16,17,12,26,0,0,91,7,0,0,0,4,0,3,0,0,13,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,12,0,3,0,0,5,19,0,0,40,9,0,0,0,0,0,3,0,0,17,19,3,0,6,0,3,3,0,0,46,27,0,0,3,3,7,0,0,4,51,39,9,6,8,17,9,19,0,0,97,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,6,17,10,0,5,0,5,0,9,0,0,22
101031015,16,0,3,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,7,0,0,0,0,3,0,0,0,11,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
