POW_SA2_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
101021007,90,4,9,15,19,18,23,0,7,192
101021008,61,9,8,19,33,40,33,0,3,207
101021009,300,67,71,124,329,363,343,10,22,1624
101021010,180,35,21,43,114,140,195,3,18,745
101021012,147,25,31,37,115,102,122,0,12,593
101021610,23,9,14,13,30,27,38,0,5,152
101021611,228,32,39,40,70,65,60,3,17,547
101031013,35,3,0,6,8,16,23,0,5,97
101031014,236,36,35,60,74,79,155,12,17,716
101031015,42,0,6,6,11,11,5,0,0,82
101031016,261,31,68,81,94,94,339,6,17,989
101041017,246,40,34,49,57,62,76,5,21,584
101041018,93,5,13,13,29,23,40,0,9,229
101041019,308,32,49,66,73,67,90,0,12,688
101041020,103,3,9,18,10,17,19,3,0,193
101041021,35,14,9,13,14,9,11,0,8,120
101041022,0,0,0,0,0,0,0,0,0,0
101041023,75,4,3,7,16,15,16,0,11,159
101041024,58,9,6,7,18,13,7,0,8,125
101041025,215,21,25,58,61,67,69,0,12,531
101041026,231,30,31,31,54,37,35,5,15,473
101041027,203,22,28,28,43,24,48,0,10,406
101051539,397,47,76,102,220,252,304,38,37,1474
101051540,179,23,23,14,27,41,48,0,7,370
101061541,82,12,18,35,37,64,64,0,7,316
101061542,170,14,38,33,38,34,35,5,5,376
101061543,131,11,40,29,44,53,98,5,16,431
101061544,78,9,10,10,13,30,32,0,8,196
102011028,102,27,32,28,70,38,20,0,3,309
102011029,107,15,22,53,31,34,22,5,8,291
102011030,437,76,124,121,160,140,140,0,20,1227
102011031,612,122,169,207,311,258,245,5,21,1948
102011032,1324,251,359,516,637,592,425,12,67,4180
102011033,106,16,16,35,35,31,16,0,4,260
102011034,133,20,34,42,77,53,38,0,8,402
102011035,66,14,19,18,28,15,14,0,6,173
102011036,191,28,51,85,68,65,73,0,5,564
102011037,81,17,32,30,40,33,26,0,3,266
102011038,59,14,12,20,20,21,10,0,4,160
102011039,196,33,72,94,107,99,82,4,15,693
102011040,296,40,78,86,126,114,102,0,17,861
102011041,119,20,35,35,52,33,24,0,8,319
102011042,209,52,66,85,112,113,69,0,9,721
102011043,173,23,64,59,81,69,64,0,3,540
102021044,252,43,43,55,99,103,97,0,19,714
102021045,59,13,17,13,17,17,11,0,5,147
102021046,55,15,6,12,13,16,12,0,0,128
102021047,285,51,86,90,114,110,62,0,14,816
102021048,189,36,59,57,102,123,85,0,9,668
102021049,62,9,18,13,11,14,12,0,0,121
