POW_SA2_CODE_2021,UOLSEWVW_IDNS_Bf_91,UOLSEWVW_IDNS_91_95,UOLSEWVW_IDNS_96_00,UOLSEWVW_IDNS_01_05,UOLSEWVW_IDNS_06_10,UOLSEWVW_IDNS_11_15,UOLSEWVW_IDNS_16_20,UOLSEWVW_IDNS_2021,UOLSEWVW_IDNS_NS,UOLSEWVW_IDNS_Tot,UOLSEWVW_Tot_Bf_91,UOLSEWVW_Tot_91_95,UOLSEWVW_Tot_96_00,UOLSEWVW_Tot_01_05,UOLSEWVW_Tot_06_10,UOLSEWVW_Tot_11_15,UOLSEWVW_Tot_16_20,UOLSEWVW_Tot_2021,UOLSEWVW_Tot_NS,UOLSEWVW_Tot_Tot,UOLSE_NWNA_AGFF_Bf_91,UOLSE_NWNA_AGFF_91_95,UOLSE_NWNA_AGFF_96_00,UOLSE_NWNA_AGFF_01_05,UOLSE_NWNA_AGFF_06_10,UOLSE_NWNA_AGFF_11_15,UOLSE_NWNA_AGFF_16_20,UOLSE_NWNA_AGFF_2021,UOLSE_NWNA_AGFF_NS,UOLSE_NWNA_AGFF_Tot,UOLSE_NWNA_Min_Bf_91,UOLSE_NWNA_Min_91_95,UOLSE_NWNA_Min_96_00,UOLSE_NWNA_Min_01_05,UOLSE_NWNA_Min_06_10,UOLSE_NWNA_Min_11_15,UOLSE_NWNA_Min_16_20,UOLSE_NWNA_Min_2021,UOLSE_NWNA_Min_NS,UOLSE_NWNA_Min_Tot,UOLSE_NWNA_Mnf_Bf_91,UOLSE_NWNA_Mnf_91_95,UOLSE_NWNA_Mnf_96_00,UOLSE_NWNA_Mnf_01_05,UOLSE_NWNA_Mnf_06_10,UOLSE_NWNA_Mnf_11_15,UOLSE_NWNA_Mnf_16_20,UOLSE_NWNA_Mnf_2021,UOLSE_NWNA_Mnf_NS,UOLSE_NWNA_Mnf_Tot,UOLSE_NWNA_EGWWS_Bf_91,UOLSE_NWNA_EGWWS_91_95,UOLSE_NWNA_EGWWS_96_00,UOLSE_NWNA_EGWWS_01_05,UOLSE_NWNA_EGWWS_06_10,UOLSE_NWNA_EGWWS_11_15,UOLSE_NWNA_EGWWS_16_20,UOLSE_NWNA_EGWWS_2021,UOLSE_NWNA_EGWWS_NS,UOLSE_NWNA_EGWWS_Tot,UOLSE_NWNA_Const_Bf_91,UOLSE_NWNA_Const_91_95,UOLSE_NWNA_Const_96_00,UOLSE_NWNA_Const_01_05,UOLSE_NWNA_Const_06_10,UOLSE_NWNA_Const_11_15,UOLSE_NWNA_Const_16_20,UOLSE_NWNA_Const_2021,UOLSE_NWNA_Const_NS,UOLSE_NWNA_Const_Tot,UOLSE_NWNA_WST_Bf_91,UOLSE_NWNA_WST_91_95,UOLSE_NWNA_WST_96_00,UOLSE_NWNA_WST_01_05,UOLSE_NWNA_WST_06_10,UOLSE_NWNA_WST_11_15,UOLSE_NWNA_WST_16_20,UOLSE_NWNA_WST_2021,UOLSE_NWNA_WST_NS,UOLSE_NWNA_WST_Tot,UOLSE_NWNA_RetT_Bf_91,UOLSE_NWNA_RetT_91_95,UOLSE_NWNA_RetT_96_00,UOLSE_NWNA_RetT_01_05,UOLSE_NWNA_RetT_06_10,UOLSE_NWNA_RetT_11_15,UOLSE_NWNA_RetT_16_20,UOLSE_NWNA_RetT_2021,UOLSE_NWNA_RetT_NS,UOLSE_NWNA_RetT_Tot,UOLSE_NWNA_AcFd_Bf_91,UOLSE_NWNA_AcFd_91_95,UOLSE_NWNA_AcFd_96_00,UOLSE_NWNA_AcFd_01_05,UOLSE_NWNA_AcFd_06_10,UOLSE_NWNA_AcFd_11_15,UOLSE_NWNA_AcFd_16_20,UOLSE_NWNA_AcFd_2021,UOLSE_NWNA_AcFd_NS,UOLSE_NWNA_AcFd_Tot,UOLSE_NWNA_TPW_Bf_91,UOLSE_NWNA_TPW_91_95,UOLSE_NWNA_TPW_96_00,UOLSE_NWNA_TPW_01_05,UOLSE_NWNA_TPW_06_10,UOLSE_NWNA_TPW_11_15,UOLSE_NWNA_TPW_16_20,UOLSE_NWNA_TPW_2021,UOLSE_NWNA_TPW_NS,UOLSE_NWNA_TPW_Tot,UOLSE_NWNA_IMT_Bf_91,UOLSE_NWNA_IMT_91_95,UOLSE_NWNA_IMT_96_00,UOLSE_NWNA_IMT_01_05,UOLSE_NWNA_IMT_06_10,UOLSE_NWNA_IMT_11_15,UOLSE_NWNA_IMT_16_20,UOLSE_NWNA_IMT_2021,UOLSE_NWNA_IMT_NS,UOLSE_NWNA_IMT_Tot,UOLSE_NWNA_FinIns_Bf_91,UOLSE_NWNA_FinIns_91_95,UOLSE_NWNA_FinIns_96_00,UOLSE_NWNA_FinIns_01_05,UOLSE_NWNA_FinIns_06_10,UOLSE_NWNA_FinIns_11_15,UOLSE_NWNA_FinIns_16_20,UOLSE_NWNA_FinIns_2021,UOLSE_NWNA_FinIns_NS,UOLSE_NWNA_FinIns_Tot,UOLSE_NWNA_RHRE_Bf_91,UOLSE_NWNA_RHRE_91_95,UOLSE_NWNA_RHRE_96_00,UOLSE_NWNA_RHRE_01_05,UOLSE_NWNA_RHRE_06_10,UOLSE_NWNA_RHRE_11_15,UOLSE_NWNA_RHRE_16_20,UOLSE_NWNA_RHRE_2021,UOLSE_NWNA_RHRE_NS,UOLSE_NWNA_RHRE_Tot,UOLSE_NWNA_ProSTS_Bf_91,UOLSE_NWNA_ProSTS_91_95,UOLSE_NWNA_ProSTS_96_00,UOLSE_NWNA_ProSTS_01_05,UOLSE_NWNA_ProSTS_06_10,UOLSE_NWNA_ProSTS_11_15,UOLSE_NWNA_ProSTS_16_20,UOLSE_NWNA_ProSTS_2021,UOLSE_NWNA_ProSTS_NS,UOLSE_NWNA_ProSTS_Tot,UOLSE_NWNA_AdSup_Bf_91,UOLSE_NWNA_AdSup_91_95,UOLSE_NWNA_AdSup_96_00,UOLSE_NWNA_AdSup_01_05,UOLSE_NWNA_AdSup_06_10,UOLSE_NWNA_AdSup_11_15,UOLSE_NWNA_AdSup_16_20,UOLSE_NWNA_AdSup_2021,UOLSE_NWNA_AdSup_NS,UOLSE_NWNA_AdSup_Tot,UOLSE_NWNA_PubAS_Bf_91,UOLSE_NWNA_PubAS_91_95,UOLSE_NWNA_PubAS_96_00,UOLSE_NWNA_PubAS_01_05,UOLSE_NWNA_PubAS_06_10,UOLSE_NWNA_PubAS_11_15,UOLSE_NWNA_PubAS_16_20,UOLSE_NWNA_PubAS_2021,UOLSE_NWNA_PubAS_NS,UOLSE_NWNA_PubAS_Tot,UOLSE_NWNA_EdTrn_Bf_91,UOLSE_NWNA_EdTrn_91_95,UOLSE_NWNA_EdTrn_96_00,UOLSE_NWNA_EdTrn_01_05,UOLSE_NWNA_EdTrn_06_10,UOLSE_NWNA_EdTrn_11_15,UOLSE_NWNA_EdTrn_16_20,UOLSE_NWNA_EdTrn_2021,UOLSE_NWNA_EdTrn_NS,UOLSE_NWNA_EdTrn_Tot,UOLSE_NWNA_HC_SA_Bf_91,UOLSE_NWNA_HC_SA_91_95,UOLSE_NWNA_HC_SA_96_00,UOLSE_NWNA_HC_SA_01_05,UOLSE_NWNA_HC_SA_06_10,UOLSE_NWNA_HC_SA_11_15,UOLSE_NWNA_HC_SA_16_20,UOLSE_NWNA_HC_SA_2021,UOLSE_NWNA_HC_SA_NS,UOLSE_NWNA_HC_SA_Tot,UOLSE_NWNA_ArtsR_Bf_91,UOLSE_NWNA_ArtsR_91_95,UOLSE_NWNA_ArtsR_96_00,UOLSE_NWNA_ArtsR_01_05,UOLSE_NWNA_ArtsR_06_10,UOLSE_NWNA_ArtsR_11_15,UOLSE_NWNA_ArtsR_16_20,UOLSE_NWNA_ArtsR_2021,UOLSE_NWNA_ArtsR_NS,UOLSE_NWNA_ArtsR_Tot
101021007,0,0,0,0,0,0,0,0,0,7,13,3,4,0,7,12,17,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,0,0,0,0,7,0,3,0,0,12,14,5,5,11,24,34,27,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,3,0,0,4,13,12,7,0,0,38,82,38,36,67,260,298,287,3,9,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0
101021010,3,3,0,0,4,4,7,0,0,28,58,15,9,24,78,108,168,3,6,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,0,0,0,0,8,60,15,12,15,69,74,91,0,3,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021610,0,0,0,0,0,0,6,0,0,5,10,8,0,7,18,25,29,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,5,0,0,0,4,0,0,0,0,3,30,10,9,19,32,22,39,3,0,164,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031013,0,0,0,3,0,0,0,0,0,0,3,0,0,0,11,6,13,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,5,0,7,0,0,8,34,13,12,22,46,46,125,9,6,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,6,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
