POW_SA2_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
101021007,6,0,0,3,3,4,3,0,0,18,5,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,90,4,9,15,19,18,23,0,7,192
101021008,6,0,0,0,0,6,5,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,3,0,0,16,61,9,8,19,33,40,33,0,3,207
101021009,71,14,13,35,113,118,119,3,8,499,10,0,0,0,0,4,3,0,0,20,8,0,0,8,19,3,10,0,0,53,10,0,6,6,15,15,6,0,6,64,300,67,71,124,329,363,343,10,22,1624
101021010,3,0,0,0,13,19,22,0,0,58,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,11,11,0,0,42,10,0,6,0,7,5,7,0,4,44,180,35,21,43,114,140,195,3,18,745
101021012,9,0,0,4,11,13,5,0,0,43,3,0,0,0,0,0,0,0,0,3,16,5,0,0,5,6,16,0,0,44,9,0,0,3,0,6,4,0,0,32,147,25,31,37,115,102,122,0,12,593
101021610,4,0,0,0,4,5,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,6,0,0,5,23,9,14,13,30,27,38,0,5,152
101021611,6,0,0,0,8,9,3,0,0,25,5,0,0,0,0,0,0,0,0,7,6,0,0,6,3,0,0,0,0,14,5,0,0,0,4,0,0,0,0,12,228,32,39,40,70,65,60,3,17,547
101031013,6,0,0,0,0,3,0,0,0,14,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,35,3,0,6,8,16,23,0,5,97
101031014,39,9,6,8,17,9,19,0,0,97,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,6,17,10,0,5,0,5,0,9,0,0,22,236,36,35,60,74,79,155,12,17,716
101031015,3,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,6,6,11,11,5,0,0,82
