POW_SA2_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
101021007,0,3,4,9,0,0,0,0,0,0,28,17,38,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,16,0,0,0,4,3,10,0,0,0,3,5,8,8,9,14,0,0,0,0,0,0,0,9,15,0,9,15,0,0,0,19,31,46,7,3,11,24,32,56,0,0,0,3,10,13,3,12,20,10,22,32,0,0,0,23,21,50,3,0,3,14,7,17,35,30,65,0,3,7,18,73,91,5,0,0,3,10,15,28,82,113,0,4,4,3,33,36,4,24,32,0,11,11,0,11,17,10,86,96,0,0,0,0,3,3,3,11,14,3,4,5,0,0,0,9,20,26,0,0,0,17,9,24,0,17,15,0,0,0,17,15,38,16,18,43,10,5,19,716,657,1373
101021008,0,3,0,7,0,0,6,0,0,0,17,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,3,7,0,5,5,0,0,0,4,3,4,4,3,12,12,4,15,0,0,0,16,13,34,7,6,13,28,21,45,0,0,0,4,0,0,19,13,24,20,12,31,0,0,0,4,3,8,5,3,3,22,4,24,28,8,37,0,0,4,52,142,196,0,0,0,0,4,8,57,147,205,0,0,0,0,11,11,3,8,15,0,0,0,14,38,50,18,59,75,0,0,0,0,0,0,0,0,0,9,16,21,0,0,0,9,19,25,0,0,0,19,0,24,5,7,10,0,0,0,26,11,36,24,8,33,4,6,12,575,414,986
101021009,0,15,11,25,3,0,3,3,0,3,75,16,90,0,0,0,0,4,5,0,0,4,0,0,0,0,0,0,10,0,10,0,0,0,0,7,7,19,10,34,0,0,4,17,25,34,0,6,8,4,10,17,20,39,63,0,0,0,0,0,0,39,61,101,39,67,101,0,0,0,84,114,198,17,5,20,103,120,222,0,0,0,18,42,67,37,33,72,62,75,139,0,3,6,279,390,666,39,18,56,113,56,169,433,462,894,5,7,17,89,401,483,0,0,4,13,25,39,112,440,547,4,22,29,94,309,399,97,271,372,30,215,245,53,201,256,279,1010,1294,0,0,0,19,12,30,10,13,27,23,13,36,8,0,7,60,43,105,0,0,0,84,10,86,32,88,121,0,0,0,110,101,209,71,45,118,38,33,65,2492,3091,5582
101021010,0,14,5,21,0,0,0,11,0,11,233,29,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,4,0,0,0,8,5,7,0,0,0,35,5,47,7,3,11,43,12,55,0,0,0,62,31,96,15,7,18,75,37,113,0,0,0,10,9,21,26,17,38,34,26,61,0,0,0,59,34,93,6,12,11,10,3,14,73,51,117,0,0,0,21,57,77,10,17,21,11,9,16,36,78,115,0,0,0,0,0,0,8,17,19,0,10,14,38,47,92,54,76,126,0,0,0,0,0,0,0,0,4,3,6,10,0,0,0,9,9,13,0,0,0,147,22,169,5,21,26,0,0,0,152,45,195,93,23,116,22,15,36,2283,876,3159
101021012,0,30,3,36,8,3,8,5,0,9,149,19,165,0,0,0,3,0,6,3,0,3,0,0,0,0,0,0,6,3,7,6,0,4,0,0,3,23,12,25,0,4,3,4,3,13,7,4,6,6,4,6,16,11,27,0,0,0,9,6,16,7,10,15,17,17,32,0,0,0,55,48,101,26,12,33,78,52,128,0,0,0,3,13,21,21,13,34,26,28,55,0,0,5,13,9,24,26,13,34,14,13,22,49,34,82,0,0,0,9,113,128,0,6,6,4,16,25,17,136,155,4,0,5,0,0,0,10,40,44,3,7,13,10,55,68,26,104,133,0,0,0,11,11,16,0,0,3,7,3,10,0,0,0,14,10,26,0,0,0,108,19,131,19,37,51,0,0,0,128,60,194,56,18,75,16,12,24,1771,841,2608
101021610,0,3,0,3,0,0,3,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,4,4,0,4,9,0,0,0,0,0,0,0,5,6,0,5,6,0,0,0,10,13,19,9,5,16,18,17,31,0,0,0,0,0,0,4,9,13,4,10,16,0,0,0,0,4,8,9,12,23,0,0,3,16,21,40,0,0,0,6,61,72,0,0,0,6,7,17,13,74,87,0,0,0,0,0,0,0,9,9,0,3,6,6,21,23,6,35,39,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,4,0,6,0,0,0,12,0,14,0,13,13,0,0,0,20,17,36,0,3,9,0,0,5,326,272,600
101021611,0,8,6,13,0,0,4,0,0,0,46,28,72,0,0,3,0,9,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,6,16,0,0,4,8,14,16,0,3,6,7,4,9,14,24,35,0,0,0,0,3,8,14,25,34,16,23,40,0,6,3,77,80,153,55,19,76,125,103,230,0,0,0,12,13,24,20,20,41,33,31,62,4,0,4,59,28,92,525,196,721,15,13,26,602,235,841,3,3,10,15,94,106,7,7,17,3,38,46,30,150,175,0,0,0,0,0,0,9,36,48,0,10,12,11,32,43,18,80,100,0,0,3,6,5,8,8,12,19,4,5,10,0,0,0,16,24,35,0,0,0,34,4,39,20,58,80,0,4,4,51,66,119,29,24,55,12,14,34,1942,1268,3207
101031013,0,4,4,10,0,0,0,0,0,0,26,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,23,6,0,4,10,18,27,0,0,0,0,4,8,0,4,4,0,10,16,0,0,0,23,18,36,0,0,0,9,0,9,29,18,46,0,0,0,16,73,93,0,0,0,0,0,0,16,73,94,0,0,0,9,32,38,0,15,15,0,32,31,3,10,9,12,88,98,0,0,0,9,0,5,0,0,0,0,0,0,0,0,4,7,3,17,0,0,0,10,0,10,3,6,10,0,0,0,14,6,22,29,9,41,8,4,15,588,496,1080
101031014,0,17,17,31,8,0,7,0,0,0,123,40,155,0,0,0,5,5,9,4,3,3,3,0,0,0,0,0,8,0,8,0,0,0,0,0,0,22,16,38,0,0,0,0,18,18,0,7,7,0,5,7,4,25,32,0,0,0,17,14,36,10,22,36,27,37,69,0,0,0,79,99,179,0,3,3,84,102,187,0,0,0,3,23,35,30,34,61,31,57,91,0,0,0,111,129,244,11,46,55,77,41,119,202,215,423,3,7,3,65,254,315,14,27,40,5,7,14,88,292,374,0,7,7,25,133,156,41,115,155,14,92,104,7,81,89,86,429,510,0,0,0,3,0,3,0,0,8,0,15,18,0,0,0,6,13,20,0,0,0,73,16,88,11,31,43,0,0,0,84,49,132,70,16,87,41,19,62,2018,2101,4126
101031015,0,4,6,8,0,0,4,0,0,0,12,14,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,0,3,3,13,8,26,0,0,0,0,0,5,3,3,11,11,7,13,0,0,0,6,4,11,0,0,0,6,4,10,11,3,18,0,0,0,6,18,24,0,0,3,0,4,4,3,20,24,0,0,0,0,0,0,5,0,4,0,0,0,0,4,0,6,6,12,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,8,0,0,0,9,0,13,6,3,5,0,0,0,11,4,13,11,9,19,6,4,7,469,287,759
