POW_SA2_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
101021007,9,0,0,0,9,216,55,0,0,273
101021008,0,0,0,0,0,77,16,3,0,93
101021009,6,3,0,0,9,167,59,6,0,232
101021010,10,0,0,0,10,110,26,5,5,143
101021012,7,0,0,0,7,157,42,0,0,203
101021610,0,0,0,0,0,50,12,0,0,61
101021611,14,0,0,0,11,325,75,0,0,403
101031013,3,0,0,0,3,78,50,0,3,137
101031014,4,4,0,0,10,145,86,6,8,241
101031015,3,0,0,0,3,125,71,0,3,195
101031016,17,5,0,0,20,309,133,7,0,449
101041017,14,5,0,0,15,241,124,0,3,371
101041018,7,0,0,0,11,179,49,6,0,235
101041019,14,0,0,0,16,276,93,5,3,375
101041020,15,0,0,0,16,351,107,0,5,467
101041021,9,0,0,0,9,86,25,0,0,113
101041022,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,82,29,0,5,120
101041024,14,0,0,0,14,126,45,3,0,175
101041025,6,7,0,0,13,329,146,4,7,489
101041026,9,0,0,0,13,246,112,0,0,362
101041027,15,0,0,3,19,329,141,0,13,480
101051539,13,3,0,3,20,406,180,6,4,595
101051540,14,0,0,0,21,490,223,0,11,724
101061541,6,0,0,0,6,157,71,0,0,226
101061542,11,0,0,0,10,372,172,3,6,557
101061543,12,4,0,0,18,251,155,10,9,421
101061544,4,4,0,0,7,262,170,0,8,450
102011028,9,0,0,0,9,232,40,0,0,272
102011029,9,0,0,0,17,273,50,0,3,323
102011030,11,3,0,5,24,245,75,4,14,340
102011031,13,4,0,0,17,419,131,12,0,552
102011032,32,12,0,0,39,628,258,9,0,891
102011033,3,0,0,0,3,93,13,0,0,101
102011034,10,0,0,0,15,172,57,0,0,225
102011035,5,0,0,0,5,100,16,0,0,122
102011036,11,3,0,0,11,188,28,3,0,227
102011037,6,0,0,0,4,138,14,0,0,155
102011038,13,0,0,0,13,149,35,0,5,193
102011039,14,0,0,0,17,354,84,0,0,440
102011040,10,4,0,0,16,482,119,0,4,602
102011041,6,0,0,0,10,252,65,5,0,314
102011042,14,3,0,0,20,246,81,5,10,337
102011043,0,0,0,0,6,193,44,0,0,241
102021044,7,0,0,0,11,372,93,3,0,463
102021045,3,0,0,0,5,121,37,0,3,157
102021046,3,0,0,0,3,143,36,0,0,182
102021047,5,0,0,0,6,340,99,0,0,442
102021048,11,3,0,0,15,279,58,0,0,340
102021049,3,0,0,0,3,108,19,0,0,123
102021050,7,0,0,0,7,130,35,0,0,166
102021051,8,0,0,0,8,98,38,4,0,137
102021052,5,0,0,0,5,101,34,0,0,135
102021053,17,6,0,0,19,317,109,5,0,427
102021054,6,0,0,0,4,195,62,0,0,255
102021055,9,4,0,0,21,240,86,4,0,331
102021056,19,0,0,0,17,342,80,4,0,420
102021057,16,5,0,0,17,180,60,7,0,243
103011059,11,3,0,0,11,165,78,4,0,247
103011060,6,0,0,0,6,225,86,0,3,315
103011061,5,0,0,0,5,146,49,0,3,199
103011612,5,3,0,0,17,343,166,8,6,527
103011613,7,0,0,0,7,206,57,0,0,264
103021062,7,0,0,0,8,216,132,3,0,353
103021063,8,3,0,0,13,219,148,0,3,372
103021064,11,3,0,0,13,250,126,0,0,382
103021065,16,0,0,0,20,310,167,4,0,487
103021066,0,0,0,0,0,163,108,4,4,277
103021067,3,0,0,0,3,186,91,0,0,283
103021068,0,0,0,0,0,151,87,0,8,237
103021069,3,0,0,0,3,214,132,0,12,355
103031070,5,3,0,0,3,189,88,0,6,283
103031071,0,0,0,0,6,224,47,0,4,273
103031072,11,0,0,0,11,297,155,8,0,459
103031073,0,0,0,3,3,97,35,0,3,132
103031074,12,4,0,0,18,329,159,0,10,495
103031075,0,0,0,0,0,0,0,0,0,0
103041076,10,3,0,0,16,258,93,3,3,357
103041077,19,3,0,0,20,515,240,20,3,778
103041078,10,0,0,0,14,341,81,0,0,426
103041079,12,7,0,0,17,363,153,8,9,532
104011080,14,8,0,0,27,393,202,3,7,602
104011081,11,0,0,0,9,409,101,5,19,535
104011082,18,6,0,0,23,480,203,0,12,694
104021083,4,0,0,0,4,326,80,0,4,408
104021084,16,5,0,0,17,439,134,4,3,583
104021085,30,0,0,0,35,510,230,7,6,760
104021086,3,0,0,0,5,118,25,0,0,147
104021087,7,0,0,0,9,172,52,0,6,227
104021088,9,0,0,0,17,244,68,0,0,311
104021089,23,0,0,0,23,484,125,0,0,614
104021090,0,4,0,0,6,131,46,0,4,177
104021091,15,5,0,0,20,348,127,3,0,482
105011092,0,0,0,0,0,77,60,0,3,139
105011093,5,0,0,0,5,106,39,0,0,149
105011094,3,3,0,0,6,138,65,0,0,200
105011095,6,0,0,0,10,157,114,4,3,274
105011096,12,0,0,0,12,121,90,0,6,220
105021097,12,0,0,0,15,247,84,0,5,342
105021098,4,0,0,0,4,119,71,0,3,190
105031099,8,0,0,0,18,256,114,0,10,380
105031100,11,4,0,0,16,237,121,10,5,371
105031101,13,8,0,0,20,405,208,6,0,623
105031102,0,5,0,0,5,140,58,0,0,196
105031103,0,0,0,0,0,187,76,0,3,265
105031104,10,4,0,0,8,193,96,0,6,301
105031105,4,0,0,0,6,211,92,0,8,309
105031106,9,5,0,0,11,182,79,0,5,270
106011107,12,0,0,0,13,277,79,0,5,355
106011108,5,4,0,0,8,270,94,0,0,369
106011109,9,0,0,0,12,186,40,0,0,229
106011110,15,6,0,0,16,286,77,0,5,374
106011111,6,0,0,0,6,234,66,0,0,306
106011112,16,3,0,0,19,244,86,0,0,333
106011113,4,0,0,0,9,172,28,6,3,207
106021114,7,0,0,0,7,219,97,6,0,317
106021116,3,0,0,0,8,137,31,0,0,172
106021614,11,0,0,0,11,296,98,0,3,402
106021615,4,0,0,0,4,186,44,5,0,234
106021616,3,0,0,0,7,128,50,3,0,177
106021617,3,0,0,0,3,139,46,0,0,183
106021618,0,3,0,0,6,241,62,0,0,302
106031119,0,0,0,0,0,134,32,0,0,164
106031120,0,0,0,0,0,103,27,0,0,131
106031121,27,5,0,0,27,519,176,4,4,705
106031122,13,0,0,0,16,234,84,4,0,328
106031123,4,0,0,0,4,108,39,0,0,153
106031124,5,0,0,0,5,103,40,0,3,141
106031125,8,3,0,0,7,278,62,3,0,346
106041126,11,4,0,0,13,138,73,9,0,221
106041127,0,0,0,0,0,86,29,0,0,116
106041128,9,0,0,0,8,117,73,0,5,188
106041129,7,0,0,4,19,228,93,0,10,330
107011131,9,0,0,0,11,349,110,0,0,466
107011132,10,0,0,0,10,129,22,0,0,147
107011133,4,0,0,0,3,21,6,0,0,34
107011134,15,5,0,0,20,328,87,3,0,426
107011545,5,0,0,0,8,158,24,4,0,190
107011546,6,0,0,0,9,179,61,5,0,244
107011547,0,0,0,0,0,53,14,0,0,63
107021135,0,0,0,0,0,0,0,0,0,0
107031136,18,0,0,0,14,293,56,0,0,347
107031137,3,4,0,0,7,135,34,3,0,169
107031138,12,0,0,0,12,290,114,0,0,409
107031139,0,0,0,0,0,103,23,0,0,129
107031140,10,5,0,0,10,270,91,5,0,364
107031141,8,4,0,0,14,302,57,0,0,356
107031142,14,3,0,0,21,231,84,8,0,317
107031143,9,0,0,0,10,237,89,4,3,331
107041144,7,0,0,0,12,409,99,4,5,511
107041145,7,4,0,0,16,313,84,0,0,400
107041146,14,0,0,0,13,336,62,3,0,398
