POW_SA2_CODE_2021,M_AgFF_H_0,M_AgFF_H_1_19,M_AgFF_H_20_29,M_AgFF_H_30_34,M_AgFF_H_35_39,M_AgFF_H_40_44,M_AgFF_H_45_49,M_AgFF_H_50ov,M_AgFF_H_NS,M_AgFF_H_Tot,M_Min_H_0,M_Min_H_1_19,M_Min_H_20_29,M_Min_H_30_34,M_Min_H_35_39,M_Min_H_40_44,M_Min_H_45_49,M_Min_H_50ov,M_Min_H_NS,M_Min_H_Tot,M_Mnf_H_0,M_Mnf_H_1_19,M_Mnf_H_20_29,M_Mnf_H_30_34,M_Mnf_H_35_39,M_Mnf_H_40_44,M_Mnf_H_45_49,M_Mnf_H_50ov,M_Mnf_H_NS,M_Mnf_H_Tot,M_EGWWS_H_0,M_EGWWS_H_1_19,M_EGWWS_H_20_29,M_EGWWS_H_30_34,M_EGWWS_H_35_39,M_EGWWS_H_40_44,M_EGWWS_H_45_49,M_EGWWS_H_50ov,M_EGWWS_H_NS,M_EGWWS_H_Tot,M_Const_H_0,M_Const_H_1_19,M_Const_H_20_29,M_Const_H_30_34,M_Const_H_35_39,M_Const_H_40_44,M_Const_H_45_49,M_Const_H_50ov,M_Const_H_NS,M_Const_H_Tot,M_WST_H_0,M_WST_H_1_19,M_WST_H_20_29,M_WST_H_30_34,M_WST_H_35_39,M_WST_H_40_44,M_WST_H_45_49,M_WST_H_50ov,M_WST_H_NS,M_WST_H_Tot,M_RetT_H_0,M_RetT_H_1_19,M_RetT_H_20_29,M_RetT_H_30_34,M_RetT_H_35_39,M_RetT_H_40_44,M_RetT_H_45_49,M_RetT_H_50ov,M_RetT_H_NS,M_RetT_H_Tot,M_AcFd_H_0,M_AcFd_H_1_19,M_AcFd_H_20_29,M_AcFd_H_30_34,M_AcFd_H_35_39,M_AcFd_H_40_44,M_AcFd_H_45_49,M_AcFd_H_50ov,M_AcFd_H_NS,M_AcFd_H_Tot,M_TPW_H_0,M_TPW_H_1_19,M_TPW_H_20_29,M_TPW_H_30_34,M_TPW_H_35_39,M_TPW_H_40_44,M_TPW_H_45_49,M_TPW_H_50ov,M_TPW_H_NS,M_TPW_H_Tot,M_IMT_H_0,M_IMT_H_1_19,M_IMT_H_20_29,M_IMT_H_30_34,M_IMT_H_35_39,M_IMT_H_40_44,M_IMT_H_45_49,M_IMT_H_50ov,M_IMT_H_NS,M_IMT_H_Tot,M_FinIns_H_0,M_FinIns_H_1_19,M_FinIns_H_20_29,M_FinIns_H_30_34,M_FinIns_H_35_39,M_FinIns_H_40_44,M_FinIns_H_45_49,M_FinIns_H_50ov,M_FinIns_H_NS,M_FinIns_H_Tot,M_RHRE_H_0,M_RHRE_H_1_19,M_RHRE_H_20_29,M_RHRE_H_30_34,M_RHRE_H_35_39,M_RHRE_H_40_44,M_RHRE_H_45_49,M_RHRE_H_50ov,M_RHRE_H_NS,M_RHRE_H_Tot,M_ProSTS_H_0,M_ProSTS_H_1_19,M_ProSTS_H_20_29,M_ProSTS_H_30_34,M_ProSTS_H_35_39,M_ProSTS_H_40_44,M_ProSTS_H_45_49,M_ProSTS_H_50ov,M_ProSTS_H_NS,M_ProSTS_H_Tot,M_AdSup_H_0,M_AdSup_H_1_19,M_AdSup_H_20_29,M_AdSup_H_30_34,M_AdSup_H_35_39,M_AdSup_H_40_44,M_AdSup_H_45_49,M_AdSup_H_50ov,M_AdSup_H_NS,M_AdSup_H_Tot,M_PubAS_H_0,M_PubAS_H_1_19,M_PubAS_H_20_29,M_PubAS_H_30_34,M_PubAS_H_35_39,M_PubAS_H_40_44,M_PubAS_H_45_49,M_PubAS_H_50ov,M_PubAS_H_NS,M_PubAS_H_Tot,M_EdTrn_H_0,M_EdTrn_H_1_19,M_EdTrn_H_20_29,M_EdTrn_H_30_34,M_EdTrn_H_35_39,M_EdTrn_H_40_44,M_EdTrn_H_45_49,M_EdTrn_H_50ov,M_EdTrn_H_NS,M_EdTrn_H_Tot,M_HltHC_SA_H_0,M_HltHC_SA_H_1_19,M_HltHC_SA_H_20_29,M_HltHC_SA_H_30_34,M_HltHC_SA_H_35_39,M_HltHC_SA_H_40_44,M_HltHC_SA_H_45_49,M_HltHC_SA_H_50ov,M_HltHC_SA_H_NS,M_HltHC_SA_H_Tot,M_ArtsR_H_0,M_ArtsR_H_1_19,M_ArtsR_H_20_29,M_ArtsR_H_30_34,M_ArtsR_H_35_39,M_ArtsR_H_40_44,M_ArtsR_H_45_49,M_ArtsR_H_50ov,M_ArtsR_H_NS,M_ArtsR_H_Tot,M_OthSvs_H_0,M_OthSvs_H_1_19,M_OthSvs_H_20_29,M_OthSvs_H_30_34,M_OthSvs_H_35_39,M_OthSvs_H_40_44,M_OthSvs_H_45_49,M_OthSvs_H_50ov,M_OthSvs_H_NS,M_OthSvs_H_Tot,M_IDNS_H_0,M_IDNS_H_1_19,M_IDNS_H_20_29,M_IDNS_H_30_34,M_IDNS_H_35_39,M_IDNS_H_40_44,M_IDNS_H_45_49,M_IDNS_H_50ov,M_IDNS_H_NS,M_IDNS_H_Tot
101021007,7,20,12,14,9,26,17,73,0,169,4,4,0,4,0,8,3,66,0,94,0,6,4,6,0,9,7,5,0,40,0,0,0,0,0,4,0,0,0,7,6,0,6,9,16,30,16,18,6,106,0,0,0,0,0,5,0,3,0,10,0,4,7,3,5,7,0,13,0,37,0,13,7,0,0,4,0,6,0,45,0,4,4,0,3,0,0,8,0,28,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,4,5,9,0,24,0,0,0,0,0,4,0,0,0,10,0,0,0,3,16,8,7,0,0,35,0,3,8,0,0,5,3,7,0,28,0,4,0,0,0,5,0,6,0,10,0,4,0,0,0,0,0,0,0,9,0,6,0,0,0,3,0,3,0,17,0,0,3,0,4,7,3,8,8,33
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,17,16,4,5,0,41,0,0,0,0,0,4,0,0,0,5,10,6,11,6,36,64,17,44,0,195,0,0,4,0,11,12,4,7,0,39,0,6,6,3,7,5,4,5,0,37,0,14,0,0,4,0,4,0,0,22,0,0,0,0,3,9,0,9,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,3,0,5,5,12,0,0,0,28,0,3,0,3,7,3,0,0,0,20,0,0,0,0,8,17,6,5,0,28,3,4,4,7,13,13,5,10,0,57,0,6,0,0,0,0,0,4,0,18,0,3,0,0,0,0,0,0,0,9,0,4,0,4,5,6,0,0,0,26,0,3,0,0,3,8,3,9,9,23
101021009,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,7,0,4,3,4,27,33,12,12,0,102,5,0,3,0,0,3,0,0,0,16,13,15,17,7,73,123,40,84,6,384,3,5,0,3,16,14,6,17,0,60,9,61,51,22,55,34,6,12,0,259,3,65,46,17,32,37,12,32,0,255,0,7,8,5,5,17,7,23,0,75,0,3,4,0,7,3,0,0,0,19,0,0,3,0,4,9,0,3,0,20,0,4,3,0,7,12,4,12,0,39,3,6,11,10,19,37,8,12,0,103,0,12,11,3,20,10,0,11,0,62,21,14,10,9,177,85,48,53,0,433,6,17,6,6,24,27,3,15,0,112,7,29,29,19,69,64,28,25,0,279,0,16,10,3,22,10,0,3,0,60,4,9,8,4,15,42,16,19,0,110,11,11,6,3,24,20,4,16,20,106
101021010,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,13,0,12,7,14,16,22,88,142,58,104,4,449,4,5,4,5,15,24,3,13,4,69,15,25,22,16,98,213,77,160,9,627,0,5,0,0,14,28,11,17,0,76,0,15,8,3,20,20,9,12,0,97,3,61,22,9,11,10,0,6,3,124,9,11,26,27,35,58,10,58,6,233,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,4,4,0,3,13,3,14,0,43,3,6,3,3,7,24,7,19,0,75,0,6,0,0,5,10,0,0,0,34,4,4,4,0,38,14,3,9,3,73,0,9,3,4,9,0,3,0,0,36,3,9,6,4,8,5,3,9,0,54,0,0,0,0,3,3,0,0,0,9,3,3,17,3,28,50,16,27,0,152,3,6,10,0,19,28,11,25,15,117
101021012,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,14,6,8,51,81,18,49,0,238,0,4,0,0,6,5,4,13,0,40,15,14,32,13,90,244,68,157,6,650,0,0,0,0,9,15,3,8,0,33,3,28,16,4,12,13,4,10,0,94,8,44,19,6,7,12,0,0,0,93,3,13,8,11,19,36,8,48,0,149,0,0,5,0,11,5,0,5,0,23,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,4,0,10,0,17,0,0,4,7,11,32,6,16,0,78,0,7,3,0,3,5,4,3,0,26,4,0,3,3,12,13,8,4,0,49,0,4,0,0,0,0,0,5,0,17,0,8,4,5,9,4,6,0,0,26,0,4,3,0,0,3,5,0,0,14,0,11,3,0,17,40,21,34,0,128,0,0,6,7,13,21,3,13,9,75
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,13,0,0,0,0,0,0,0,0,0,0,6,5,12,3,19,49,23,30,0,148,0,0,0,0,4,0,0,0,0,4,0,18,10,0,3,5,0,3,0,39,0,6,3,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,18,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,3,3,0,0,16,0,7,0,0,0,3,0,0,0,13,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,6,0,5,0,20,3,0,0,0,0,0,0,0,0,3
101021611,5,25,26,13,18,43,5,46,3,186,0,0,0,0,0,0,0,25,0,26,0,9,4,3,15,11,3,21,0,70,10,4,0,5,13,24,3,16,4,78,11,20,18,15,43,131,33,86,10,372,0,0,0,0,0,6,0,5,0,14,0,15,11,5,12,7,0,12,0,69,10,35,15,10,16,16,3,18,0,114,0,4,9,3,5,9,0,13,3,46,0,0,0,0,0,5,0,0,0,10,0,0,3,0,0,9,3,0,0,14,0,0,3,4,3,7,0,0,0,16,3,22,15,15,16,36,8,19,0,125,0,10,6,3,3,3,0,9,0,33,27,16,5,13,80,194,122,139,0,602,0,5,0,5,10,5,0,8,0,30,0,0,3,0,3,7,0,0,0,18,0,0,0,0,7,0,0,3,0,16,0,7,9,3,3,15,3,12,0,51,0,7,3,3,6,10,0,5,8,45
101031013,9,15,14,4,20,52,25,91,3,231,0,0,0,0,0,0,0,5,0,7,3,0,5,0,20,18,12,16,5,77,0,0,0,0,0,3,0,0,0,10,0,8,0,0,9,17,9,18,0,59,0,0,0,0,0,3,0,3,0,8,0,5,0,0,0,6,3,4,0,22,0,4,4,0,0,0,4,4,0,10,0,4,3,0,0,0,0,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,4,5,0,0,15,9,0,6,0,29,0,3,0,0,6,3,0,3,0,16,0,0,3,0,4,4,0,0,0,12,0,0,0,0,3,3,0,0,0,7,0,0,0,0,4,0,0,8,0,14,0,0,0,0,4,7,3,11,6,35
101031014,4,4,5,4,11,11,0,14,0,50,0,0,0,0,0,0,0,4,0,4,0,5,7,3,22,14,0,13,5,66,7,0,7,3,63,75,21,59,0,234,10,15,29,13,50,79,23,167,6,397,0,8,9,5,12,9,9,18,0,61,3,41,19,15,41,46,7,29,0,206,4,37,33,11,27,16,0,15,0,140,3,6,11,9,11,30,14,39,0,123,0,5,0,3,10,0,0,5,0,22,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,3,0,10,0,27,4,3,3,0,14,22,8,28,0,84,0,10,5,0,4,8,0,4,0,31,12,6,3,6,89,48,13,28,0,202,3,20,15,9,13,11,0,10,4,88,9,3,15,12,24,19,0,9,0,86,0,0,0,0,3,0,0,0,0,6,0,3,4,0,23,25,12,17,0,84,6,16,8,3,14,17,3,31,21,109
101031015,3,17,17,12,18,43,25,89,0,222,0,0,0,0,0,0,0,3,0,7,0,0,0,0,4,3,0,0,0,9,0,0,0,0,4,4,0,4,0,12,8,0,11,3,4,12,7,41,0,91,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,0,0,17,0,7,0,0,0,6,4,10,0,22,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,13,0,0,0,0,0,0,0,4,0,11,0,0,0,0,3,4,0,3,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,6,0,5,0,13
