POW_SA2_CODE_2021,M_Tot_H_0,M_Tot_H_1_19,M_Tot_H_20_29,M_Tot_H_30_34,M_Tot_H_35_39,M_Tot_H_40_44,M_Tot_H_45_49,M_Tot_H_50ov,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_19,F_AgFF_H_20_29,F_AgFF_H_30_34,F_AgFF_H_35_39,F_AgFF_H_40_44,F_AgFF_H_45_49,F_AgFF_H_50ov,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_19,F_Min_H_20_29,F_Min_H_30_34,F_Min_H_35_39,F_Min_H_40_44,F_Min_H_45_49,F_Min_H_50ov,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_19,F_Mnf_H_20_29,F_Mnf_H_30_34,F_Mnf_H_35_39,F_Mnf_H_40_44,F_Mnf_H_45_49,F_Mnf_H_50ov,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_19,F_EGWWS_H_20_29,F_EGWWS_H_30_34,F_EGWWS_H_35_39,F_EGWWS_H_40_44,F_EGWWS_H_45_49,F_EGWWS_H_50ov,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_19,F_Const_H_20_29,F_Const_H_30_34,F_Const_H_35_39,F_Const_H_40_44,F_Const_H_45_49,F_Const_H_50ov,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_19,F_WST_H_20_29,F_WST_H_30_34,F_WST_H_35_39,F_WST_H_40_44,F_WST_H_45_49,F_WST_H_50ov,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_19,F_RetT_H_20_29,F_RetT_H_30_34,F_RetT_H_35_39,F_RetT_H_40_44,F_RetT_H_45_49,F_RetT_H_50ov,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_19,F_AcFd_H_20_29,F_AcFd_H_30_34,F_AcFd_H_35_39,F_AcFd_H_40_44,F_AcFd_H_45_49,F_AcFd_H_50ov,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_19,F_TPW_H_20_29,F_TPW_H_30_34,F_TPW_H_35_39,F_TPW_H_40_44,F_TPW_H_45_49,F_TPW_H_50ov,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_19,F_IMT_H_20_29,F_IMT_H_30_34,F_IMT_H_35_39,F_IMT_H_40_44,F_IMT_H_45_49,F_IMT_H_50ov,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_19,F_FinIns_H_20_29,F_FinIns_H_30_34,F_FinIns_H_35_39,F_FinIns_H_40_44,F_FinIns_H_45_49,F_FinIns_H_50ov,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_19,F_RHRE_H_20_29,F_RHRE_H_30_34,F_RHRE_H_35_39,F_RHRE_H_40_44,F_RHRE_H_45_49,F_RHRE_H_50ov,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_19,F_ProSTS_H_20_29,F_ProSTS_H_30_34,F_ProSTS_H_35_39,F_ProSTS_H_40_44,F_ProSTS_H_45_49,F_ProSTS_H_50ov,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_19,F_AdSup_H_20_29,F_AdSup_H_30_34,F_AdSup_H_35_39,F_AdSup_H_40_44,F_AdSup_H_45_49,F_AdSup_H_50ov,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_19,F_PubAS_H_20_29,F_PubAS_H_30_34,F_PubAS_H_35_39,F_PubAS_H_40_44,F_PubAS_H_45_49,F_PubAS_H_50ov,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_19,F_EdTrn_H_20_29,F_EdTrn_H_30_34,F_EdTrn_H_35_39,F_EdTrn_H_40_44,F_EdTrn_H_45_49,F_EdTrn_H_50ov,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_19,F_HltHC_SA_H_20_29,F_HltHC_SA_H_30_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40_44,F_HltHC_SA_H_45_49,F_HltHC_SA_H_50ov,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_19,F_ArtsR_H_20_29,F_ArtsR_H_30_34,F_ArtsR_H_35_39,F_ArtsR_H_40_44,F_ArtsR_H_45_49,F_ArtsR_H_50ov,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_19,F_OthSvs_H_20_29,F_OthSvs_H_30_34,F_OthSvs_H_35_39,F_OthSvs_H_40_44,F_OthSvs_H_45_49,F_OthSvs_H_50ov,F_OthSvs_H_NS,F_OthSvs_H_Tot
101021007,20,82,63,39,77,133,61,231,22,716,5,14,19,11,11,22,3,13,0,97,0,0,0,0,0,0,0,5,0,11,0,6,7,0,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,13,0,0,0,6,0,5,0,0,0,9,4,20,9,10,3,10,0,4,0,69,7,30,13,4,6,8,7,5,0,80,0,3,9,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,9,0,3,9,5,3,3,0,3,0,32,0,10,3,4,3,0,0,3,0,22,0,0,3,0,6,5,0,0,0,30,4,13,11,21,11,6,3,9,0,82,6,11,13,14,9,17,4,7,0,86,0,6,6,0,0,4,0,5,0,20,0,4,4,0,0,0,0,0,0,15
101021008,13,57,24,26,114,174,44,112,10,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,6,0,0,0,26,0,0,0,0,0,3,0,0,0,6,0,13,7,5,3,3,0,0,0,32,0,7,5,0,0,0,0,4,0,23,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,6,0,4,3,0,0,4,0,21,0,4,0,0,4,3,0,0,0,12,0,0,0,0,7,4,0,0,0,8,8,22,15,19,25,19,14,24,0,147,4,12,3,6,10,13,5,3,0,59,0,5,6,4,0,0,4,0,0,19,0,3,0,0,0,0,0,0,0,11
101021009,88,274,240,120,598,567,207,359,38,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,11,3,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,6,4,4,13,10,0,4,3,37,0,0,0,5,3,4,0,0,0,15,14,91,68,31,57,27,6,0,0,303,4,80,50,24,35,19,5,9,10,240,3,3,0,0,7,4,0,0,0,16,0,0,3,0,3,0,0,0,0,10,0,4,7,0,18,6,0,0,0,39,0,5,3,5,29,19,5,3,0,67,3,12,16,8,26,31,12,13,0,120,3,16,10,10,26,12,7,3,0,75,19,19,32,22,208,93,36,29,5,462,24,60,52,55,93,65,24,56,0,440,63,116,172,125,246,187,31,62,3,1010,5,7,8,3,11,3,3,0,0,43,7,26,11,7,25,17,12,5,0,101
101021010,54,170,150,99,406,639,234,495,41,2283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,18,6,30,18,3,3,0,105,0,0,0,0,0,0,0,0,0,6,3,6,20,12,31,24,9,14,0,107,0,0,0,0,3,8,3,0,4,30,3,35,13,12,16,7,3,0,0,88,10,60,26,10,15,6,4,3,0,130,4,3,7,6,9,3,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,12,6,8,9,0,4,9,0,7,0,37,0,4,8,7,9,0,3,0,0,26,8,3,4,3,22,13,0,3,0,51,5,12,21,6,7,11,10,10,0,78,13,11,9,7,20,6,0,7,4,76,0,4,0,0,0,0,0,0,0,9,6,8,4,0,3,15,0,3,0,45
101021012,49,152,114,70,270,537,169,385,22,1771,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,7,11,16,16,0,6,0,64,0,0,0,0,0,3,0,3,0,6,0,4,11,9,16,14,0,9,0,72,0,0,0,0,0,5,0,5,0,13,6,29,26,8,13,5,9,0,0,100,8,39,10,0,8,5,0,3,0,76,0,4,0,5,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,12,0,0,5,0,3,0,0,0,0,11,0,0,3,5,4,4,0,4,0,17,0,12,8,10,10,5,0,3,0,52,3,7,3,4,4,5,3,0,0,28,0,0,3,0,11,13,0,0,0,34,7,26,17,17,19,26,8,16,0,136,3,16,18,23,21,15,7,5,0,104,0,0,5,3,0,0,0,0,0,10,9,10,5,10,15,8,5,3,0,60
101021610,8,36,29,13,58,92,32,49,8,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,4,4,6,10,3,0,0,27,0,0,0,0,0,0,0,0,0,3,0,13,5,4,3,0,0,0,0,30,0,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,17,0,4,6,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,21,0,7,13,8,16,12,4,7,0,74,6,5,10,3,9,0,0,4,0,35,0,0,4,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,0,17
101021611,84,198,120,99,252,529,193,442,35,1942,6,23,18,8,19,12,0,11,0,106,0,0,0,0,0,0,0,4,0,6,0,10,3,0,0,5,0,4,0,29,0,0,0,0,0,8,0,0,0,11,5,23,11,3,19,11,6,3,0,82,0,0,5,0,0,0,0,0,0,10,4,30,18,11,10,5,4,10,0,94,9,65,16,9,9,7,0,4,0,123,0,4,4,5,0,3,0,5,0,28,0,0,0,0,0,3,0,0,0,6,0,0,5,4,3,7,0,0,0,24,0,5,6,0,7,0,0,9,0,23,3,22,17,10,10,17,9,8,0,103,0,14,5,5,0,3,0,0,0,31,14,9,7,8,48,81,37,34,0,235,4,40,21,15,24,19,7,19,0,150,0,19,15,8,7,12,7,13,0,80,0,3,4,0,4,3,0,4,0,24,0,25,13,7,5,9,5,8,0,66
101031013,19,38,38,20,76,137,61,181,16,588,0,16,7,8,10,13,8,15,0,85,0,0,0,0,0,0,0,0,0,4,0,4,10,5,5,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,5,0,0,3,0,0,0,9,0,18,13,4,14,13,0,3,0,75,3,12,11,3,0,0,0,4,0,33,0,0,4,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,4,0,3,0,18,0,3,4,0,3,0,0,0,0,10,0,0,0,0,8,0,3,0,0,18,3,11,12,13,17,14,3,9,0,73,12,9,17,16,13,16,0,8,0,88,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6
101031014,67,198,158,98,415,425,122,494,40,2018,0,0,0,0,5,3,6,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,0,17,13,5,8,10,31,31,9,8,0,117,0,9,5,4,7,14,15,19,0,72,0,8,3,5,9,17,0,0,0,37,25,81,64,46,60,32,17,22,5,352,5,66,40,14,16,15,10,16,3,183,0,8,13,3,11,3,5,3,0,40,0,5,6,0,3,4,0,0,0,16,0,0,3,4,7,8,0,0,0,25,0,3,8,6,9,14,0,3,0,37,3,5,16,9,27,20,4,9,0,102,5,17,13,7,9,8,0,0,0,57,19,12,19,14,95,36,5,10,0,215,10,49,52,42,56,32,12,43,3,292,24,59,70,69,95,67,20,33,0,429,0,7,0,0,3,0,0,0,0,13,4,15,5,5,9,16,0,0,0,49
101031015,17,35,35,24,38,90,36,185,0,469,4,20,16,7,6,18,4,29,0,100,0,0,0,0,0,0,0,0,0,7,0,3,7,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,5,0,0,0,15,0,23,11,5,0,3,3,6,0,52,0,3,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,3,0,11,5,0,4,0,0,5,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4
