POW_SA2_CODE_2021,F_IDNS_H_0,F_IDNS_H_1_19,F_IDNS_H_20_29,F_IDNS_H_30_34,F_IDNS_H_35_39,F_IDNS_H_40_44,F_IDNS_H_45_49,F_IDNS_H_50ov,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_19,F_Tot_H_20_29,F_Tot_H_30_34,F_Tot_H_35_39,F_Tot_H_40_44,F_Tot_H_45_49,F_Tot_H_50ov,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_19,P_AgFF_H_20_29,P_AgFF_H_30_34,P_AgFF_H_35_39,P_AgFF_H_40_44,P_AgFF_H_45_49,P_AgFF_H_50ov,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_19,P_Min_H_20_29,P_Min_H_30_34,P_Min_H_35_39,P_Min_H_40_44,P_Min_H_45_49,P_Min_H_50ov,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_19,P_Mnf_H_20_29,P_Mnf_H_30_34,P_Mnf_H_35_39,P_Mnf_H_40_44,P_Mnf_H_45_49,P_Mnf_H_50ov,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_19,P_EGWWS_H_20_29,P_EGWWS_H_30_34,P_EGWWS_H_35_39,P_EGWWS_H_40_44,P_EGWWS_H_45_49,P_EGWWS_H_50ov,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_19,P_Const_H_20_29,P_Const_H_30_34,P_Const_H_35_39,P_Const_H_40_44,P_Const_H_45_49,P_Const_H_50ov,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_19,P_WST_H_20_29,P_WST_H_30_34,P_WST_H_35_39,P_WST_H_40_44,P_WST_H_45_49,P_WST_H_50ov,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_19,P_RetT_H_20_29,P_RetT_H_30_34,P_RetT_H_35_39,P_RetT_H_40_44,P_RetT_H_45_49,P_RetT_H_50ov,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_19,P_AcFd_H_20_29,P_AcFd_H_30_34,P_AcFd_H_35_39,P_AcFd_H_40_44,P_AcFd_H_45_49,P_AcFd_H_50ov,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_19,P_TPW_H_20_29,P_TPW_H_30_34,P_TPW_H_35_39,P_TPW_H_40_44,P_TPW_H_45_49,P_TPW_H_50ov,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_19,P_IMT_H_20_29,P_IMT_H_30_34,P_IMT_H_35_39,P_IMT_H_40_44,P_IMT_H_45_49,P_IMT_H_50ov,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_19,P_FinIns_H_20_29,P_FinIns_H_30_34,P_FinIns_H_35_39,P_FinIns_H_40_44,P_FinIns_H_45_49,P_FinIns_H_50ov,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_19,P_RHRE_H_20_29,P_RHRE_H_30_34,P_RHRE_H_35_39,P_RHRE_H_40_44,P_RHRE_H_45_49,P_RHRE_H_50ov,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_19,P_ProSTS_H_20_29,P_ProSTS_H_30_34,P_ProSTS_H_35_39,P_ProSTS_H_40_44,P_ProSTS_H_45_49,P_ProSTS_H_50ov,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_19,P_AdSup_H_20_29,P_AdSup_H_30_34,P_AdSup_H_35_39,P_AdSup_H_40_44,P_AdSup_H_45_49,P_AdSup_H_50ov,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_19,P_PubAS_H_20_29,P_PubAS_H_30_34,P_PubAS_H_35_39,P_PubAS_H_40_44,P_PubAS_H_45_49,P_PubAS_H_50ov,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_19,P_EdTrn_H_20_29,P_EdTrn_H_30_34,P_EdTrn_H_35_39,P_EdTrn_H_40_44,P_EdTrn_H_45_49,P_EdTrn_H_50ov,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_19,P_HltHC_SA_H_20_29,P_HltHC_SA_H_30_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40_44,P_HltHC_SA_H_45_49,P_HltHC_SA_H_50ov,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_19,P_ArtsR_H_20_29,P_ArtsR_H_30_34,P_ArtsR_H_35_39,P_ArtsR_H_40_44,P_ArtsR_H_45_49,P_ArtsR_H_50ov,P_ArtsR_H_NS,P_ArtsR_H_Tot
101021007,0,8,4,7,0,6,4,0,5,24,44,152,120,84,55,96,32,68,14,657,9,31,30,23,17,53,18,87,5,269,4,4,6,4,0,10,4,72,0,104,0,15,10,3,0,15,4,5,0,58,0,0,5,0,0,4,0,0,0,9,7,8,7,12,19,34,16,18,6,119,0,0,0,6,0,6,0,5,0,16,8,31,17,15,7,9,3,14,0,109,5,47,17,7,6,15,8,13,6,124,0,9,9,4,3,3,0,8,0,38,0,0,0,0,0,4,0,0,0,16,3,4,0,0,0,0,0,0,0,14,0,4,0,0,0,3,0,5,0,15,0,7,15,8,5,9,4,6,0,56,4,11,3,3,3,0,0,4,0,32,0,6,3,3,26,7,5,8,0,65,8,15,19,21,9,13,8,19,0,113,6,19,13,17,9,18,4,15,0,96,0,8,3,4,0,4,0,4,0,26
101021008,0,6,0,0,5,0,0,0,4,15,15,90,61,39,75,58,26,46,8,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,3,0,20,18,3,6,0,52,0,0,0,0,0,4,0,0,0,5,9,18,13,12,32,71,17,47,0,217,0,0,4,0,13,16,4,7,0,48,0,19,15,5,13,7,0,5,0,75,0,24,9,6,5,0,4,6,0,46,0,4,0,0,6,9,0,9,0,24,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,3,0,5,0,0,0,0,4,5,0,3,0,15,0,9,0,5,8,11,4,4,0,45,0,3,0,3,11,8,0,0,0,31,0,3,0,0,6,16,6,3,0,37,10,27,21,21,42,28,17,37,0,205,4,14,3,6,13,19,5,8,0,75,0,5,6,4,0,0,4,0,0,25
101021009,6,12,9,0,21,8,3,4,15,74,158,461,463,294,831,498,139,202,33,3091,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,7,3,13,11,10,39,39,10,12,0,136,3,0,3,0,4,3,0,0,0,17,13,21,24,13,84,131,46,84,6,425,3,5,3,5,17,17,7,17,0,73,29,152,122,49,110,60,21,16,4,561,9,151,101,38,70,56,19,41,8,494,4,8,12,5,11,20,7,23,0,90,4,4,6,0,11,5,0,0,0,34,4,4,13,3,23,11,0,6,0,63,0,4,5,5,36,31,3,16,0,101,6,15,29,16,42,64,18,30,0,222,3,23,22,7,44,14,7,14,0,139,41,38,43,33,393,182,87,82,4,894,33,73,62,59,119,92,33,77,3,547,71,143,204,150,317,249,57,88,8,1294,8,27,16,7,28,9,3,5,0,105
101021010,0,10,0,5,4,8,0,0,3,34,49,177,135,79,193,138,38,55,11,876,0,0,0,0,3,0,0,4,0,5,0,0,0,0,6,0,0,13,0,15,10,22,36,28,119,157,57,112,4,550,4,5,4,5,15,23,3,13,4,75,21,30,40,22,122,238,81,169,9,733,0,10,3,0,20,34,18,21,4,106,0,46,24,15,36,33,12,19,3,186,13,114,50,16,30,12,6,7,5,251,11,15,30,34,38,60,10,56,6,266,0,0,0,0,4,3,0,0,0,6,0,0,0,0,4,0,0,3,0,7,0,4,8,0,6,14,9,14,0,55,6,13,9,5,15,36,13,25,0,113,0,14,3,8,14,15,5,0,0,61,11,3,6,3,56,24,4,8,3,117,5,14,27,10,19,12,14,13,0,115,10,19,18,16,33,7,3,11,4,126,0,4,0,0,6,0,0,0,0,13
101021012,0,5,6,0,8,3,0,0,5,32,43,172,132,97,146,139,35,69,9,841,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,24,12,16,63,96,18,56,0,299,4,3,0,0,6,14,5,9,0,50,15,21,43,21,106,265,71,158,8,721,0,0,0,0,9,19,3,15,0,45,10,52,42,15,24,26,11,19,0,195,8,85,31,9,14,13,0,3,3,165,3,11,11,11,20,37,12,47,0,165,0,0,4,0,9,5,4,6,0,25,0,3,0,0,8,10,0,0,0,27,0,0,3,7,4,6,4,11,0,32,0,20,12,19,15,33,13,21,0,128,3,17,4,7,3,12,4,5,0,55,9,0,7,3,25,20,9,6,0,82,7,33,17,17,23,27,9,17,0,155,3,25,24,26,25,18,10,4,0,133,0,3,9,3,0,7,5,4,0,26
101021610,0,0,0,0,0,4,0,0,0,4,16,52,46,28,60,40,10,17,6,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,16,0,0,0,0,0,0,0,0,0,0,6,12,15,7,23,64,25,25,0,176,0,0,0,0,7,0,0,0,0,14,0,30,11,7,12,8,0,9,0,77,0,12,7,0,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,16,3,3,0,31,0,4,9,0,0,3,0,0,0,16,0,5,0,0,22,9,3,0,0,40,0,10,15,8,15,17,4,13,4,87,6,4,10,7,8,0,0,7,0,39,0,0,4,0,0,0,0,0,0,6
101021611,0,10,6,3,3,0,0,0,10,38,59,318,180,104,165,209,68,138,20,1268,7,50,49,24,36,56,3,66,6,294,0,0,0,0,0,0,0,25,0,38,3,22,3,5,15,14,7,26,0,102,10,4,6,5,15,29,3,16,4,92,14,45,25,25,63,142,37,87,10,451,0,5,5,0,0,7,0,3,0,20,7,47,34,15,19,14,0,22,0,159,22,96,29,14,24,22,4,18,0,236,4,10,14,5,0,14,0,16,3,72,0,3,0,0,0,9,0,8,0,16,0,3,8,4,4,12,3,0,0,35,0,8,5,6,8,9,0,8,0,40,8,45,36,22,26,51,11,30,0,230,0,26,7,3,5,8,0,8,3,62,45,21,17,21,128,277,155,177,0,841,4,46,25,19,34,19,7,20,0,175,0,24,15,8,10,16,4,14,0,100,0,0,7,4,7,3,0,7,0,35
101031013,0,4,0,0,3,3,0,0,0,17,24,86,85,62,91,70,24,36,8,496,11,32,21,14,31,65,28,105,9,308,0,0,0,0,0,0,0,5,0,9,3,5,15,3,26,16,15,16,4,104,0,0,0,0,0,3,0,0,0,10,0,8,0,0,11,18,8,18,0,59,0,0,5,0,0,8,3,3,0,10,0,20,14,7,14,15,9,8,3,94,3,13,14,5,0,3,4,7,0,51,0,3,10,4,0,3,0,15,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,0,0,27,0,3,4,0,3,5,0,0,0,16,5,4,4,0,20,9,4,0,0,46,3,13,15,10,21,16,4,8,0,94,12,9,24,18,15,20,0,8,0,98,0,0,0,0,5,3,0,0,0,17
101031014,0,4,3,3,5,8,3,4,13,35,118,344,332,237,470,312,99,173,30,2101,4,5,5,4,16,14,6,14,0,59,0,0,0,0,0,0,0,4,0,4,3,5,5,9,27,11,5,17,5,81,21,5,12,13,99,106,34,72,0,351,11,25,30,22,61,94,35,188,7,461,0,15,6,4,17,20,9,14,0,96,31,129,85,62,108,72,21,54,5,557,12,97,72,26,40,32,13,29,4,320,3,11,27,19,14,36,11,37,0,155,0,3,4,5,12,3,3,3,0,38,0,0,3,4,9,8,0,3,0,32,3,12,5,6,17,17,0,8,3,69,6,14,20,7,37,48,13,35,0,187,3,29,14,8,13,14,0,8,0,91,29,24,26,20,182,83,16,44,0,423,18,64,69,48,70,43,17,54,9,374,33,59,81,78,115,80,19,39,4,510,0,7,0,0,7,0,0,0,0,20
101031015,0,3,0,0,0,4,0,0,0,13,10,78,38,16,23,46,15,53,6,287,4,30,36,18,17,64,26,118,4,313,0,0,0,0,0,0,0,3,0,8,0,3,3,0,4,5,0,3,0,24,0,3,0,0,8,4,0,0,0,16,9,7,12,6,9,13,7,47,0,105,0,0,0,0,0,0,0,0,0,10,0,4,4,0,0,9,0,0,0,31,0,26,11,9,0,7,0,16,0,79,0,3,0,0,4,0,0,12,0,28,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,4,0,26,0,3,0,0,0,0,0,3,0,13,0,4,3,0,3,4,0,3,0,18,0,10,5,0,0,0,0,3,0,24,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,5,0,0,0,8
