POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
101021007,4,8,9,0,3,8,0,4,0,38,0,11,3,7,7,11,4,8,8,55,64,232,176,124,131,228,86,298,34,1373
101021008,0,6,3,0,9,10,0,0,0,36,0,4,4,0,6,5,3,6,7,43,27,144,90,67,191,233,68,159,14,986
101021009,10,30,22,12,35,51,23,25,0,209,12,16,15,5,45,30,7,22,35,181,247,737,700,415,1437,1070,340,562,75,5582
101021010,7,15,17,3,37,60,22,35,0,195,8,11,9,6,24,32,15,29,17,148,109,347,283,172,595,775,274,546,53,3159
101021012,6,20,12,9,31,44,24,39,0,194,0,9,9,10,17,21,9,17,11,102,91,324,246,169,415,672,209,452,30,2608
101021610,0,5,3,4,9,6,0,7,0,36,3,0,0,0,0,3,0,0,0,11,26,93,79,43,118,130,45,72,12,600
101021611,0,32,15,6,10,23,3,18,0,119,3,17,3,9,10,12,0,5,19,89,142,516,300,203,417,736,265,579,51,3207
101031013,0,4,0,3,4,0,0,4,0,22,0,0,0,0,13,15,5,12,9,56,39,132,126,79,171,203,82,219,26,1080
101031014,4,15,9,7,29,35,16,18,0,132,4,20,6,3,16,19,7,32,32,146,184,544,489,336,882,737,220,667,66,4126
101031015,0,4,4,0,0,9,0,0,0,13,0,3,0,0,0,7,0,4,3,29,31,118,77,37,63,137,49,243,13,759
101031016,4,20,15,7,18,23,0,22,0,119,7,26,24,19,24,36,12,14,41,209,192,992,917,540,778,755,298,767,88,5327
101041017,10,23,28,22,54,77,11,23,3,248,11,23,18,12,41,44,8,22,45,214,277,781,625,441,1083,815,209,472,103,4801
101041018,5,12,11,5,6,8,3,3,0,56,0,3,5,0,5,5,0,0,12,38,67,270,214,155,222,229,42,133,36,1379
101041019,10,24,19,8,33,51,11,22,0,183,11,27,13,10,28,32,7,8,51,182,304,844,794,507,1153,1047,284,526,120,5573
101041020,0,16,5,9,11,4,4,9,0,55,4,18,15,0,4,13,0,14,9,78,74,319,232,150,167,242,79,356,44,1667
101041021,0,9,6,0,4,3,0,0,0,21,0,7,3,0,10,9,0,0,4,36,49,191,147,127,153,157,35,79,18,953
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,3,12,3,3,15,21,4,12,0,76,3,9,8,5,7,11,5,10,17,69,83,244,198,116,252,203,64,192,37,1385
101041024,7,6,3,3,4,4,4,0,0,30,0,8,3,9,3,4,0,4,14,49,55,171,120,66,122,138,31,130,26,851
101041025,8,38,16,21,30,26,10,18,6,165,9,16,14,8,21,22,0,13,23,123,185,872,634,411,687,643,166,405,71,4075
101041026,0,20,15,7,32,26,0,13,0,114,9,33,22,13,29,28,7,6,33,180,203,661,516,375,855,658,158,325,74,3830
101041027,10,21,19,4,29,8,4,12,6,115,8,20,16,8,7,14,0,6,39,131,141,641,478,273,526,406,119,262,92,2933
101051539,16,51,59,36,104,115,19,48,4,446,18,40,30,25,73,76,18,46,90,399,535,1518,1360,889,2653,2113,604,1210,204,11081
101051540,4,23,11,10,27,18,0,23,0,133,6,20,7,4,23,33,5,20,27,147,166,600,430,248,554,725,233,999,79,4037
101061541,4,14,10,9,18,21,5,9,0,85,3,9,8,6,18,18,0,5,15,81,123,461,332,185,452,415,131,342,46,2487
101061542,6,15,12,13,21,18,4,10,0,92,0,13,12,3,14,19,0,14,13,98,122,516,342,187,313,489,142,540,36,2698
101061543,10,30,27,16,60,40,16,13,9,223,9,28,12,15,45,41,13,20,51,229,207,695,548,395,987,924,284,598,112,4755
101061544,6,11,7,5,12,16,0,8,0,65,5,13,10,6,15,16,4,19,24,113,98,316,266,185,335,461,157,583,60,2461
102011028,9,12,4,0,4,0,0,7,0,38,3,6,4,9,8,6,4,3,3,44,175,339,173,95,135,189,40,124,15,1293
102011029,15,15,4,7,5,0,3,5,0,55,7,13,10,6,4,16,5,8,10,81,197,354,222,117,183,286,61,154,22,1601
102011030,16,36,21,16,61,43,13,21,4,235,25,36,34,28,107,91,30,50,55,452,406,518,486,349,1540,1478,437,995,117,6329
102011031,156,39,44,26,64,57,9,43,11,446,34,50,32,14,43,41,3,20,65,297,1476,2028,1460,821,1666,1331,322,663,159,9930
102011032,120,161,95,46,204,167,46,54,7,897,53,110,78,33,122,120,28,42,133,713,1845,2876,2622,1846,4521,4142,904,1562,307,20629
102011033,8,0,6,4,6,4,4,0,0,27,0,8,0,0,6,3,0,0,5,22,120,243,184,105,259,268,89,95,13,1384
102011034,19,12,6,7,14,18,0,11,0,82,6,18,8,4,8,8,4,0,24,84,217,674,338,205,368,334,100,173,43,2445
102011035,8,15,0,4,7,5,0,3,0,34,4,9,0,5,7,7,0,5,5,30,77,169,136,92,144,128,38,104,15,900
102011036,20,6,9,0,14,9,4,7,0,75,15,19,16,15,35,48,6,11,26,187,247,534,398,252,638,605,177,316,48,3209
102011037,6,6,3,4,3,6,0,0,0,24,5,3,4,5,5,5,3,7,4,33,86,197,168,86,154,155,43,94,13,998
102011038,16,11,0,0,3,4,0,4,0,36,0,3,3,3,3,3,0,9,0,32,125,173,97,62,105,143,41,78,0,825
102011039,71,43,13,11,12,4,3,7,6,166,15,32,16,3,11,22,4,14,21,130,576,783,395,233,379,482,108,296,50,3303
102011040,53,31,9,14,14,22,0,6,0,143,15,25,21,3,20,17,0,7,29,141,588,895,610,343,546,529,121,292,79,4012
102011041,32,19,10,0,6,7,0,0,0,78,8,13,9,7,6,9,0,4,4,58,208,409,257,176,252,329,69,165,24,1880
102011042,48,20,10,6,30,33,5,18,0,176,10,27,13,8,23,12,3,9,23,126,431,893,652,388,666,587,157,299,64,4138
102011043,21,27,12,8,36,19,9,17,4,148,5,9,10,5,19,7,4,0,20,90,231,621,418,249,440,289,79,145,37,2505
102021044,51,30,10,8,17,16,0,7,5,153,8,16,16,9,15,29,0,9,26,124,529,1085,709,403,724,595,172,273,66,4555
102021045,20,9,3,0,18,9,0,0,0,58,5,12,0,0,5,3,0,0,9,36,212,248,173,116,197,177,51,115,22,1308
102021046,22,3,0,0,4,7,0,0,0,42,5,8,3,0,9,0,0,4,7,37,161,251,169,85,146,120,33,79,15,1065
102021047,53,33,17,6,48,25,9,20,7,213,17,25,35,11,57,45,6,26,37,255,532,802,619,346,1063,1100,300,551,90,5412
