POW_SA2_CODE_2021,AgFF_Mng,AgFF_Pro,AgFF_Tech_trds_wks,AgFF_Com_persl_svce_wks,AgFF_Cler_admin_wks,AgFF_Sales_wks,AgFF_Mach_ops_dvrs,AgFF_Labourers,AgFF_IDNS,AgFF_Tot,Min_Mng,Min_Pro,Min_Tech_trds_wks,Min_Com_persl_svce_wks,Min_Cler_admin_wks,Min_Sales_wks,Min_Mach_ops_dvrs,Min_Labourers,Min_IDNS,Min_Tot,Mnf_Mng,Mnf_Pro,Mnf_Tech_trds_wks,Mnf_Com_persl_svce_wks,Mnf_Cler_admin_wks,Mnf_Sales_wks,Mnf_Mach_ops_dvrs,Mnf_Labourers,Mnf_IDNS,Mnf_Tot,EGWWS_Mng,EGWWS_Pro,EGWWS_Tech_trds_wks,EGWWS_Com_persl_svce_wks,EGWWS_Cler_admin_wks,EGWWS_Sales_wks,EGWWS_Mach_ops_dvrs,EGWWS_Labourers,EGWWS_IDNS,EGWWS_Tot,Const_Mng,Const_Pro,Const_Tech_trds_wks,Const_Com_persl_svce_wks,Const_Cler_admin_wks,Const_Sales_wks,Const_Mach_ops_dvrs,Const_Labourers,Const_IDNS,Const_Tot,WST_Mng,WST_Pro,WST_Tech_trds_wks,WST_Com_persl_svce_wks,WST_Cler_admin_wks,WST_Sales_wks,WST_Mach_ops_dvrs,WST_Labourers,WST_IDNS,WST_Tot,RetT_Mng,RetT_Pro,RetT_Tech_trds_wks,RetT_Com_persl_svce_wks,RetT_Cler_admin_wks,RetT_Sales_wks,RetT_Mach_ops_dvrs,RetT_Labourers,RetT_IDNS,RetT_Tot,AcFd_Mng,AcFd_Pro,AcFd_Tech_trds_wks,AcFd_Com_persl_svce_wks,AcFd_Cler_admin_wks,AcFd_Sales_wks,AcFd_Mach_ops_dvrs,AcFd_Labourers,AcFd_IDNS,AcFd_Tot,TPW_Mng,TPW_Pro,TPW_Tech_trds_wks,TPW_Com_persl_svce_wks,TPW_Cler_admin_wks,TPW_Sales_wks,TPW_Mach_ops_dvrs,TPW_Labourers,TPW_IDNS,TPW_Tot,IMT_Mng,IMT_Pro,IMT_Tech_trds_wks,IMT_Com_persl_svce_wks,IMT_Cler_admin_wks,IMT_Sales_wks,IMT_Mach_ops_dvrs,IMT_Labourers,IMT_IDNS,IMT_Tot,FinIns_Mng,FinIns_Pro,FinIns_Tech_trds_wks,FinIns_Com_persl_svce_wks,FinIns_Cler_admin_wks,FinIns_Sales_wks,FinIns_Mach_ops_dvrs,FinIns_Labourers,FinIns_IDNS,FinIns_Tot,RHRE_Mng,RHRE_Pro,RHRE_Tech_trds_wks,RHRE_Com_persl_svce_wks,RHRE_Cler_admin_wks,RHRE_Sales_wks,RHRE_Mach_ops_dvrs,RHRE_Labourers,RHRE_IDNS,RHRE_Tot,ProSTS_Mng,ProSTS_Pro,ProSTS_Tech_trds_wks,ProSTS_Com_persl_svce_wks,ProSTS_Cler_admin_wks,ProSTS_Sales_wks,ProSTS_Mach_ops_dvrs,ProSTS_Labourers,ProSTS_IDNS,ProSTS_Tot,AdSup_Mng,AdSup_Pro,AdSup_Tech_trds_wks,AdSup_Com_persl_svce_wks,AdSup_Cler_admin_wks,AdSup_Sales_wks,AdSup_Mach_ops_dvrs,AdSup_Labourers,AdSup_IDNS,AdSup_Tot,PubAS_Mng,PubAS_Pro,PubAS_Tech_trds_wks,PubAS_Com_persl_svce_wks,PubAS_Cler_admin_wks,PubAS_Sales_wks,PubAS_Mach_ops_dvrs,PubAS_Labourers,PubAS_IDNS,PubAS_Tot,EdTrn_Mng,EdTrn_Pro,EdTrn_Tech_trds_wks,EdTrn_Com_persl_svce_wks,EdTrn_Cler_admin_wks,EdTrn_Sales_wks,EdTrn_Mach_ops_dvrs,EdTrn_Labourers,EdTrn_IDNS,EdTrn_Tot,HltHC_SA_Mng,HltHC_SA_Pro,HltHC_SA_Tech_trds_wks,HltHC_SA_Com_persl_svce_wks,HltHC_SA_Cler_admin_wks,HltHC_SA_Sales_wks,HltHC_SA_Mach_ops_dvrs,HltHC_SA_Labourers,HltHC_SA_IDNS,HltHC_SA_Tot,ArtsR_Mng,ArtsR_Pro,ArtsR_Tech_trds_wks,ArtsR_Com_persl_svce_wks,ArtsR_Cler_admin_wks,ArtsR_Sales_wks,ArtsR_Mach_ops_dvrs,ArtsR_Labourers,ArtsR_IDNS,ArtsR_Tot,OthSvs_Mng,OthSvs_Pro,OthSvs_Tech_trds_wks,OthSvs_Com_persl_svce_wks,OthSvs_Cler_admin_wks,OthSvs_Sales_wks,OthSvs_Mach_ops_dvrs,OthSvs_Labourers,OthSvs_IDNS,OthSvs_Tot,IDNS_Mng,IDNS_Pro,IDNS_Tech_trds_wks,IDNS_Com_persl_svce_wks,IDNS_Cler_admin_wks,IDNS_Sales_wks,IDNS_Mach_ops_dvrs,IDNS_Labourers,IDNS_IDNS,IDNS_Tot
101021007,214,0,4,0,9,0,5,33,5,269,12,12,21,0,4,0,61,0,4,104,17,0,22,0,3,10,0,5,0,58,3,0,4,0,0,0,0,0,0,9,19,0,47,0,6,0,25,18,0,119,6,0,0,0,4,0,0,0,0,16,21,4,8,0,6,50,3,6,0,109,27,0,25,42,7,5,0,28,0,124,0,0,0,0,7,0,27,5,0,38,4,5,0,0,3,0,0,0,0,16,4,5,0,0,4,0,0,0,0,14,0,3,0,0,0,10,0,0,0,15,8,35,12,0,5,0,0,0,0,56,0,4,0,0,0,0,0,21,0,32,5,11,0,7,15,0,8,17,4,65,4,62,6,19,16,0,0,0,0,113,6,32,0,34,11,3,0,9,0,96,0,16,0,4,0,0,0,8,0,26,0,4,19,3,4,0,0,0,0,38,8,4,11,0,12,0,3,6,16,55
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,10,4,24,0,10,0,3,0,0,52,0,0,0,0,0,0,0,0,0,5,25,0,114,0,20,0,24,28,0,217,8,0,21,0,10,8,4,0,0,48,8,5,8,0,6,46,0,3,0,75,3,0,4,18,4,6,0,9,0,46,3,0,0,0,0,0,13,0,0,24,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,15,8,13,11,0,11,0,0,0,0,45,0,0,0,0,0,0,5,22,0,31,4,3,15,5,12,0,0,0,0,37,11,115,6,48,17,0,0,6,0,205,0,16,0,46,4,0,0,0,0,75,4,0,0,16,5,0,0,0,0,25,0,0,23,6,0,0,3,4,0,36,4,3,9,3,7,0,3,0,11,43
101021009,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,4,0,0,7,15,4,57,0,12,15,21,16,0,136,3,4,0,0,0,0,8,0,0,17,43,9,204,0,31,4,48,72,4,425,15,0,10,6,10,22,10,6,0,73,67,20,26,3,17,322,34,72,4,561,79,0,83,155,19,53,9,87,3,494,10,0,4,3,11,6,60,3,3,90,0,8,7,0,3,7,0,0,0,34,7,9,0,0,36,3,0,0,0,63,3,0,6,0,20,63,0,0,0,101,22,104,22,0,58,0,0,10,0,222,14,13,12,11,25,0,0,50,3,139,126,242,36,164,249,15,8,29,26,894,37,330,4,119,43,0,0,8,0,547,86,535,42,394,170,8,3,27,17,1294,16,33,16,18,19,4,0,5,0,105,16,6,97,42,15,8,4,23,5,209,22,21,25,8,23,6,11,20,39,181
101021010,5,0,4,0,0,0,0,0,0,5,3,3,0,0,3,0,10,0,0,15,97,24,200,0,67,24,77,59,10,550,3,10,18,0,8,3,26,7,4,75,100,40,301,0,78,7,94,105,8,733,20,0,16,0,14,21,22,8,0,106,32,4,12,0,21,105,7,7,4,186,35,0,10,26,3,89,11,81,0,251,18,0,14,0,22,9,185,8,6,266,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,9,0,7,0,6,11,9,0,0,55,15,37,29,0,14,0,10,8,0,113,3,7,10,0,10,0,3,21,3,61,21,19,17,5,39,3,8,16,3,117,13,65,7,20,4,0,0,5,0,115,11,17,0,81,11,0,5,0,0,126,0,4,0,4,0,0,0,0,0,13,12,5,142,3,19,3,4,14,0,195,22,13,29,3,11,3,14,12,24,148
101021012,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,53,10,109,0,32,18,35,28,6,299,8,3,6,0,7,0,29,3,0,50,105,13,312,0,62,0,98,126,9,721,6,3,3,0,8,11,5,3,0,45,17,9,7,8,8,114,7,22,0,195,22,0,8,38,0,45,5,51,0,165,21,0,8,0,25,5,97,6,0,165,4,10,6,0,0,0,0,0,3,25,8,9,0,0,7,0,0,0,6,27,6,9,5,0,3,6,3,0,0,32,19,64,21,0,17,4,0,0,0,128,9,3,17,3,5,0,0,23,0,55,20,18,5,3,29,0,0,7,0,82,12,81,6,46,11,0,0,0,0,155,8,35,4,72,14,0,0,0,0,133,0,3,0,9,0,0,0,7,0,26,5,5,123,8,26,4,9,16,0,194,14,7,23,0,17,4,11,12,11,102
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,25,3,87,0,23,5,17,25,0,176,0,0,0,0,3,0,0,4,0,14,4,4,4,5,3,34,4,10,0,77,3,0,0,11,0,3,4,5,0,32,0,0,0,0,0,0,6,0,0,10,0,4,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,9,0,6,0,0,0,3,0,0,0,6,7,20,0,0,3,0,0,0,0,31,0,0,0,0,6,0,0,14,0,16,5,7,0,0,12,4,0,3,0,40,6,44,4,33,7,0,0,0,0,87,3,10,0,29,0,0,0,0,0,39,0,0,4,0,0,0,0,0,0,6,3,0,24,3,0,0,0,0,0,36,0,0,0,4,0,0,0,0,0,11
101021611,176,8,30,0,9,8,4,55,4,294,0,6,5,0,0,0,10,8,0,38,15,21,35,3,4,8,13,5,0,102,15,3,21,0,11,0,34,11,3,92,81,3,171,3,56,0,51,76,13,451,5,0,0,0,3,5,0,0,0,20,38,3,12,5,6,85,0,14,0,159,35,0,47,93,11,10,0,42,4,236,13,0,0,0,18,0,37,0,0,72,0,7,4,0,0,0,0,0,0,16,8,10,3,0,12,0,0,0,5,35,0,0,0,0,4,27,0,0,0,40,38,134,24,4,32,0,0,0,0,230,11,5,12,0,9,0,0,27,0,62,377,182,30,122,83,0,18,5,25,841,15,82,3,51,14,0,0,5,0,175,3,27,0,53,11,0,0,3,0,100,7,16,3,4,0,3,0,0,0,35,6,14,63,16,7,0,0,3,0,119,10,12,14,5,6,8,4,3,18,89
101031013,172,10,12,6,11,0,37,64,0,308,3,0,0,0,4,0,3,4,0,9,10,3,23,0,10,5,27,26,0,104,3,0,0,0,0,0,0,0,0,10,5,0,17,0,4,0,18,12,0,59,7,0,0,0,0,5,0,0,0,10,11,0,9,0,7,50,4,12,0,94,5,0,8,11,0,0,0,21,0,51,0,0,0,0,5,9,20,0,0,39,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,3,0,10,0,0,0,0,27,0,0,0,6,0,0,0,9,0,16,6,0,0,4,5,0,9,14,0,46,8,55,0,22,13,0,0,5,0,94,7,31,5,43,8,0,0,11,0,98,0,3,0,0,4,4,0,0,0,17,7,0,11,0,0,0,0,0,0,22,3,0,11,0,5,3,18,10,10,56
101031014,21,4,12,0,5,0,0,15,0,59,3,0,3,0,0,0,4,0,0,4,13,3,31,0,8,6,10,16,0,81,75,127,58,0,71,6,9,7,0,351,69,60,159,0,32,3,68,64,4,461,13,6,6,0,12,42,10,0,0,96,86,41,12,0,37,289,34,49,4,557,55,0,54,85,11,38,0,69,4,320,20,3,0,0,40,5,89,3,3,155,3,17,6,0,6,8,0,0,0,38,0,9,0,0,23,5,0,0,0,32,6,5,11,0,8,32,0,0,0,69,19,87,22,0,51,0,3,4,0,187,3,7,4,12,10,0,3,47,0,91,42,59,13,118,108,0,20,33,22,423,30,182,4,98,30,3,3,10,8,374,16,223,11,171,62,0,0,22,3,510,3,8,0,8,0,0,0,5,0,20,7,6,82,10,16,0,0,9,0,132,19,10,22,9,12,7,16,9,37,146
101031015,228,0,14,0,4,0,0,59,7,313,0,5,0,0,0,0,0,0,0,8,4,0,11,0,7,4,0,0,0,24,0,0,3,0,5,0,0,0,0,16,14,9,38,4,4,0,22,13,0,105,0,0,0,0,0,0,0,0,0,10,6,0,5,0,3,11,3,3,0,31,24,0,7,16,0,3,0,14,0,79,4,0,0,0,8,6,11,0,0,28,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,14,3,0,5,0,0,0,0,26,0,0,4,0,0,0,0,11,0,13,3,0,0,3,0,0,3,0,0,18,5,15,0,4,3,0,0,0,0,24,0,3,0,5,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,13,3,3,4,0,0,0,6,3,4,29
