POW_SA2_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
101021007,345,206,176,116,116,83,140,166,27,1373
101021008,102,186,236,145,102,67,59,74,22,986
101021009,578,1368,663,923,758,541,218,430,107,5582
101021010,419,256,817,146,344,275,488,344,63,3159
101021012,335,283,663,184,284,215,294,316,39,2608
101021610,56,102,141,77,66,51,25,61,12,600
101021611,858,532,476,366,310,151,170,261,83,3207
101031013,251,125,106,98,87,76,141,181,12,1080
101031014,499,851,514,528,539,446,278,379,93,4126
101031015,306,59,95,43,45,31,52,114,15,759
101031016,883,524,684,1181,411,438,427,693,93,5327
101041017,607,559,677,654,679,731,278,528,83,4801
101041018,161,299,217,241,122,130,34,142,27,1379
101041019,563,1316,608,758,695,494,299,739,102,5573
101041020,571,213,211,133,115,52,107,216,36,1667
101041021,89,237,149,196,92,60,15,102,11,953
101041022,0,0,0,0,0,0,0,0,0,0
101041023,139,204,207,193,137,122,104,246,26,1385
101041024,195,84,151,69,78,55,72,127,20,851
101041025,495,554,638,670,433,557,211,468,42,4075
101041026,406,841,540,517,514,321,250,345,93,3830
101041027,412,451,469,449,293,352,107,340,65,2933
101051539,1061,1913,1347,2041,1355,1148,683,1323,205,11081
101051540,1224,416,598,276,342,190,435,469,87,4037
101061541,274,408,336,425,276,297,170,261,36,2487
101061542,902,303,431,220,216,84,123,367,53,2698
101061543,616,744,690,603,584,596,244,592,87,4755
101061544,818,247,270,210,189,113,170,403,42,2461
102011028,204,310,226,157,136,122,23,104,15,1293
102011029,246,359,330,209,203,72,39,109,36,1601
102011030,1129,526,1228,211,703,214,1165,1019,135,6329
102011031,1154,2043,945,1478,1204,1904,267,799,137,9930
102011032,1976,6131,2104,2370,3858,1606,808,1416,367,20629
102011033,109,335,136,463,158,59,35,67,19,1384
102011034,241,399,319,365,237,346,234,262,45,2445
102011035,80,290,128,191,111,23,18,55,17,900
102011036,362,421,364,256,426,339,442,555,47,3209
102011037,99,302,112,239,103,60,15,64,12,998
102011038,122,161,183,85,109,70,13,65,13,825
102011039,452,758,467,619,360,269,77,249,48,3303
102011040,469,812,508,735,478,496,84,372,56,4012
102011041,241,461,359,271,218,114,40,142,32,1880
102011042,397,938,427,723,486,590,117,389,71,4138
