POW_SA2_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
101021007,0,0,0,0,7,11,0,4,21,0,4,0,3,0,7,5,0,18,0,0,0,5,0,0,3,3,13,0,0,0,0,0,6,5,3,16,0,0,0,0,0,3,10,4,17,0,0,0,0,7,3,4,4,19,0,0,0,6,6,5,8,0,21,0,0,0,4,3,3,6,3,24,0,0,4,0,4,5,13,6,35,0,3,6,4,6,13,8,5,43,0,0,0,4,5,10,0,5,25,0,0,0,0,5,5,8,0,22,0,0,4,5,12,11,4,0,34,0,0,0,0,0,0,0,4,4,0,0,0,3,4,5,0,0,13,0,0,0,0,0,0,0,0,4,0,8,20,37,62,92,83,34,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,14,0,0,0,0,0,3,0,0,5,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,7,0,0,0,3,4,0,0,3,16,0,0,0,0,0,7,0,0,13,0,0,4,0,0,0,0,0,8,0,0,0,7,4,0,0,0,10,0,0,11,5,4,0,0,0,23,0,0,0,0,4,0,0,0,7,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,22,17,32,16,8,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,4,0,0,3,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,10,0,0,3,5,0,0,0,0,10,0,4,0,0,0,3,0,0,14,0,4,11,5,9,11,0,3,48,0,7,14,16,12,11,4,0,59,0,0,13,15,11,7,5,0,51,0,0,11,14,19,10,8,0,60,0,0,7,10,17,7,3,0,46,0,0,17,40,64,30,4,0,155,0,0,0,14,22,7,0,0,42,0,0,0,9,15,25,3,4,58,0,0,0,0,0,0,0,0,4,5,27,85,138,177,111,35,8,578,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,4,0,0,10,0,5,8,4,0,0,0,0,14,0,9
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,10,0,0,0,3,0,0,0,0,9,0,0,4,0,0,3,0,0,9,0,5,5,4,0,0,0,0,20,0,0,13,4,9,0,8,0,42,0,3,17,15,7,9,0,0,51,0,5,18,15,16,11,0,0,56,0,0,14,11,13,10,0,0,43,0,0,21,35,25,14,0,3,88,0,0,5,13,11,11,0,0,37,0,0,0,16,11,9,3,0,43,0,0,0,0,0,4,0,0,7,6,14,98,116,94,65,22,6,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,0,0,4,4,0,0,11,0,5,6,6,7,0,0,0,22,0,7,5,8,6,6,0,0,39,0,0,13,3,5,3,0,0,28,0,0,5,16,8,10,4,0,45,0,0,7,11,11,8,0,0,32,0,0,10,25,23,14,3,0,76,0,0,0,7,12,8,6,0,28,0,0,0,8,20,11,3,0,41,0,0,0,0,0,0,0,0,0,0,16,55,84,97,67,11,3,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,7,0,6
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,9,0,0,0,3,0,0,0,0,11,0,0,6,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,18,14,15,7,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
101021611,0,0,0,0,3,10,4,0,19,0,0,0,0,3,4,0,0,8,0,0,0,0,0,7,7,0,17,0,0,0,0,3,0,0,0,6,0,0,0,4,0,9,6,0,21,0,3,0,4,0,5,4,5,24,0,0,0,0,3,12,8,5,42,0,0,8,6,6,7,7,0,33,0,0,7,12,4,15,10,6,57,0,6,6,9,11,12,7,3,51,0,4,17,11,16,11,11,3,66,0,0,25,17,14,5,4,0,70,0,3,50,62,80,37,7,0,250,0,0,3,35,32,11,0,0,82,0,0,0,22,51,22,8,0,108,0,0,0,0,0,0,6,3,11,0,20,123,192,237,158,90,32,858,0,0,0,0,0,5,0,0,7,4,0,0,0,0,3,0,0,10,0,0,0,0,6,5,0,0,9,0,0,7,0,0,0,0,0,6,0,0,0,3,0,0,4,0,14,0,6
101031013,0,0,0,0,3,8,3,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,8,0,0,0,3,0,7,12,0,24,0,0,0,7,5,10,8,4,31,0,0,6,3,0,3,4,0,24,0,0,0,11,4,7,3,0,26,0,3,0,4,4,4,3,0,20,0,0,0,5,3,8,0,0,20,0,0,0,5,7,7,5,0,22,0,0,0,9,7,10,4,3,34,0,0,0,4,0,0,0,0,8,0,0,0,3,3,8,0,0,9,0,0,0,0,0,0,0,0,4,0,3,15,44,49,70,58,21,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
101031014,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,9,0,0,5,0,9,0,6,0,12,6,0,0,0,3,4,0,0,17,0,3,0,4,5,8,5,0,25,0,0,6,6,16,12,3,3,44,0,6,11,10,10,13,0,3,44,0,0,10,8,13,10,0,0,50,0,0,12,10,20,14,9,0,53,0,0,3,13,11,8,3,0,42,0,0,9,18,28,22,3,0,81,0,0,3,14,9,7,4,0,35,0,0,4,23,29,11,4,0,75,0,0,0,5,0,3,0,0,9,7,9,69,109,159,107,32,10,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,11,0,0,0,0,0,0,6,0,12,3,0,3,5,0,0,0,0,14,5,0
101031015,0,0,0,0,4,0,4,0,10,0,0,0,0,0,0,0,0,8,0,0,4,0,0,7,3,0,15,0,0,0,0,0,0,3,6,15,0,0,0,0,4,3,9,5,21,0,0,0,0,3,7,6,0,16,0,0,0,3,4,12,3,0,20,0,0,0,4,13,9,8,3,39,0,0,0,3,7,9,7,6,28,0,0,5,3,3,10,9,0,30,0,0,5,4,8,9,4,0,28,0,0,0,5,6,3,3,0,19,0,0,0,7,4,11,0,4,30,0,0,0,0,5,0,0,3,8,0,0,0,0,6,5,0,5,22,0,0,0,0,0,5,0,0,5,0,0,22,33,72,86,58,41,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
