POW_SA2_CODE_2021,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000_3499_A_15_19,Pro_3000_3499_A_20_24,Pro_3000_3499_A_25_34,Pro_3000_3499_A_35_44,Pro_3000_3499_A_45_54,Pro_3000_3499_A_55_64,Pro_3000_3499_A_65_74,Pro_3000_3499_A_75ov,Pro_3000_3499_Tot,Pro_3500mo_A_15_19,Pro_3500mo_A_20_24,Pro_3500mo_A_25_34,Pro_3500mo_A_35_44,Pro_3500mo_A_45_54,Pro_3500mo_A_55_64,Pro_3500mo_A_65_74,Pro_3500mo_A_75ov,Pro_3500mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44
101021007,6,0,3,3,0,0,8,0,0,0,3,0,5,0,0,6,0,0,0,3,0,8,0,0,17,0,0,0,6,4,9,5,0,24,0,0,6,3,5,0,0,0,18,0,0,4,5,4,4,0,0,25,0,0,6,3,0,3,0,0,16,0,0,8,10,12,7,0,0,36,0,0,0,0,3,0,0,0,3,0,0,0,0,6,6,0,0,15,0,0,0,0,0,0,0,0,3,3,3,37,35,51,53,16,0,206,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,4,0,3,0,0,10,7,0,0,6,7,0,3,0,18,3,3,4,6,6,4,0,0,31,0,4,6,3,3,4,0,0,23,0,4,7,3,0,0,0,0,18,0,4,11,5,0,0,0,0,18,0,0,7,4
101021008,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,6,0,0,4,4,0,5,0,0,17,0,4,11,7,0,3,4,0,31,0,0,16,9,4,3,0,0,34,0,0,15,5,6,9,0,0,32,0,0,10,5,11,7,3,0,39,0,0,5,4,0,3,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,67,35,26,32,16,5,186,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,4,3,0,5,0,5,0,0,21,0,10,10,6,4,8,0,0,33,0,10,12,7,3,5,0,0,40,0,0,12,0,3,4,0,0,26,0,0,13,19
101021009,5,3,5,5,0,0,32,0,3,18,10,4,14,7,0,46,0,5,28,15,13,10,4,0,78,0,12,45,27,26,29,8,5,151,0,18,75,44,26,14,9,0,179,0,8,66,47,31,27,14,0,193,0,3,54,50,55,36,9,0,207,0,5,53,87,95,62,17,0,319,0,0,0,10,11,8,4,0,28,0,0,6,33,26,13,4,0,81,0,0,0,0,0,4,0,0,4,11,60,368,326,294,227,85,3,1368,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,10,3,0,4,3,4,0,0,0,11,5,3,4,0,0,0,0,0,22,18,8,3,4,4,3,0,0,44,10,30,16,10,8,6,0,0,81,3,28,24,17,15,12,0,0,97,0,20,39,28,18,12,5,0,127,0,3,36,27,16,15,0,0,105,0,6,20,12
101021010,5,5,0,0,0,0,6,0,0,0,0,5,0,0,0,10,0,0,4,4,3,0,3,0,16,0,6,13,7,7,7,3,0,38,0,6,16,7,6,7,0,0,35,0,0,19,4,9,6,0,0,38,0,0,8,9,8,5,0,0,32,0,0,9,16,11,5,6,0,43,0,0,4,9,0,5,4,0,15,0,0,6,0,3,3,0,0,10,0,0,5,0,0,0,0,0,3,0,20,88,61,43,29,15,0,256,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,0,3,0,5,0,0,0,10,9,4,4,6,0,3,0,0,13,18,7,11,4,0,3,0,0,42,9,27,16,9,6,3,0,0,70,10,24,27,21,9,4,0,3,106,0,35,43,32,29,21,0,0,158,0,18,37,24,32,21,0,0,130,0,7,28,31
101021012,0,6,0,3,0,0,17,0,3,0,0,0,3,0,0,7,0,5,0,4,0,6,0,0,15,0,0,7,7,4,7,4,0,35,0,0,10,16,3,6,3,0,37,0,4,3,4,7,3,0,0,24,0,0,6,10,5,7,3,0,28,0,0,6,9,14,11,6,0,48,0,0,0,8,5,6,0,0,14,0,0,3,11,11,7,0,0,31,0,0,0,0,0,0,0,0,0,8,13,54,71,58,53,18,0,283,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,11,0,0,3,0,3,0,0,0,8,7,3,3,0,7,0,0,0,21,13,6,0,0,0,0,0,0,31,12,22,10,8,11,0,0,0,60,8,17,28,10,5,9,0,0,75,0,17,29,24,22,6,0,0,97,0,10,37,16,21,12,0,0,97,0,7,31,23
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,7,8,0,0,0,0,15,0,0,11,4,3,0,0,0,14,0,0,6,10,5,8,0,0,26,0,0,0,0,0,0,0,0,9,0,0,3,3,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,35,27,24,12,3,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,4,5,4,0,0,0,0,0,8,3,5,0,5,0,0,0,0,13,0,8,8,0,0,0,0,0,15,0,11,14,6,0,3,0,0,35,0,0,10,9,0,0,0,0,19,0,5,9,10
101021611,0,5,0,4,6,0,17,0,0,3,0,0,3,6,0,25,0,3,7,3,3,4,3,0,22,0,0,3,3,6,6,3,0,27,0,9,9,0,9,6,3,0,33,0,0,25,10,8,10,6,0,61,0,0,9,10,5,8,0,0,48,0,0,24,40,36,24,7,6,136,0,0,5,16,16,5,5,3,50,0,0,3,20,27,19,11,0,81,0,0,0,0,4,0,0,0,4,4,26,93,118,124,100,56,14,532,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,7,3,4,0,0,3,3,0,0,17,8,7,7,0,3,0,0,0,30,3,11,0,4,9,5,3,0,34,0,10,11,15,5,3,0,0,52,0,14,32,16,22,3,0,0,89,0,5,11,3,5,8,0,0,37,0,6,13,12
101031013,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,11,0,0,0,3,0,3,0,0,9,0,0,0,3,3,9,0,0,14,0,0,7,0,0,0,0,0,15,0,0,0,8,3,5,0,0,17,0,0,4,4,7,4,0,0,20,0,0,3,12,9,3,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,7,22,36,28,27,3,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,9,4,5,3,0,3,0,3,0,16,0,0,3,5,4,0,0,0,9,0,0,4,6,3,0,0,0,7,0,0,4,3,4,3,0,0,16,0,0,4,7
101031014,0,0,4,3,6,0,25,0,3,6,4,8,3,3,0,33,0,4,11,11,10,8,9,0,62,0,9,19,20,12,9,5,0,67,0,8,35,10,15,19,10,0,99,0,6,37,21,27,21,0,0,110,0,4,21,13,28,26,4,0,101,0,3,53,51,63,36,7,0,210,0,0,16,16,17,8,0,0,49,0,0,3,7,17,11,6,0,50,0,0,3,0,0,0,3,0,9,3,48,214,172,193,155,58,5,851,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,0,5,0,0,3,0,6,11,3,0,0,0,0,3,3,0,24,4,0,4,0,5,0,6,0,22,3,8,3,4,6,9,0,0,44,0,16,18,9,11,4,10,0,72,0,13,29,13,8,7,3,0,72,0,8,20,11,11,9,0,0,63,0,8,12,13
101031015,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,5,3,3,5,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,11,10,12,9,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,5,0,0,5,0,7,0,0,0,11,0,0,7,0,0,4,0,0,12,0,0,6,0
