POW_SA2_CODE_2021,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000_3499_A_15_19,TaTW_3000_3499_A_20_24,TaTW_3000_3499_A_25_34,TaTW_3000_3499_A_35_44,TaTW_3000_3499_A_45_54,TaTW_3000_3499_A_55_64,TaTW_3000_3499_A_65_74,TaTW_3000_3499_A_75ov,TaTW_3000_3499_Tot,TaTW_3500mo_A_15_19,TaTW_3500mo_A_20_24,TaTW_3500mo_A_25_34,TaTW_3500mo_A_35_44,TaTW_3500mo_A_45_54,TaTW_3500mo_A_55_64,TaTW_3500mo_A_65_74,TaTW_3500mo_A_75ov,TaTW_3500mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000_3499_A_15_19,CoPSW_3000_3499_A_20_24,CoPSW_3000_3499_A_25_34,CoPSW_3000_3499_A_35_44,CoPSW_3000_3499_A_45_54,CoPSW_3000_3499_A_55_64,CoPSW_3000_3499_A_65_74,CoPSW_3000_3499_A_75ov,CoPSW_3000_3499_Tot,CoPSW_3500mo_A_15_19,CoPSW_3500mo_A_20_24,CoPSW_3500mo_A_25_34,CoPSW_3500mo_A_35_44,CoPSW_3500mo_A_45_54,CoPSW_3500mo_A_55_64,CoPSW_3500mo_A_65_74,CoPSW_3500mo_A_75ov,CoPSW_3500mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64
101021007,3,6,0,0,18,0,0,4,0,0,3,0,0,15,0,0,3,5,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,44,45,26,25,11,0,176,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,5,0,0,3,3,0,0,0,7,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,5,0,0,8,0,0,11,0,0,0,9,0,4,0,0,12,0,0,0,9,4,9,0,0,21,0,0,6,0,0,5,0,0,16,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,8,4,0,0,48,0,0,6,6,4,4,0,0,22,0,4,10,12,11,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,12,36,59,53,37,26,9,0,236,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,4,0,0,4,0,0,0,0,3,3,0,0,0,4,0,0,0,10,0,0,3,0,0,3,0,0,3,0,6,3,4,5,0,0,0,11,0,3,3,3,0,3,0,0,13,0,4,7,4,7,3,0,0,35,0,0,5,3,8,4,0,0,23,0,0,0,0,0,7,0,0,11,0,0,0,0,0,3,0,0,9,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,11,14,0,0,64,0,0,6,7,13,5,3,0,36,0,0,12,15,5,3,0,0,41,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,4,0,3,0,0,4,0,0,0,4,50,107,170,142,101,78,12,0,663,0,0,0,0,0,5,0,0,3,30,0,0,0,4,0,0,0,34,25,13,7,6,0,0,0,0,47,11,16,11,0,3,6,0,0,48,9,6,16,9,10,3,4,0,52,7,19,18,28,9,6,0,0,86,4,17,30,22,15,11,6,0,99,3,30,38,24,23,12,8,0,129,0,11,40,33,31,18,0,0,140,0,10,22,13,11,8,5,0,58,0,10,19,13,9,16,0,0,70,0,3,11,15,9,7,0,0,49,0,0,13,27,34,8,0,0,85,0,0,0,3,4,5,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
101021010,16,12,9,0,100,0,3,25,19,9,13,0,0,72,0,3,16,31,14,13,3,0,74,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,3,0,4,0,3,0,0,0,0,9,56,119,222,176,134,93,21,4,817,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,3,0,0,0,3,0,0,0,4,0,7,3,0,0,0,0,0,9,0,7,0,0,0,0,0,0,9,0,3,3,4,0,0,0,0,16,0,0,8,8,0,3,0,0,27,0,0,7,11,0,0,0,0,22,0,3,6,12,0,0,0,0,27,0,0,3,3,0,0,0,0,10,0,0,6,3,0,0,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021012,13,9,3,0,84,0,3,26,18,7,12,3,0,62,0,0,28,18,25,17,0,0,82,0,0,4,0,0,0,0,0,9,0,0,0,0,9,0,0,0,8,0,0,0,0,5,0,0,0,7,50,90,198,117,122,64,19,0,663,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,15,10,4,4,0,0,0,0,0,15,8,5,0,0,0,0,0,0,16,4,3,6,0,0,0,0,0,14,0,0,0,4,3,0,0,0,15,4,11,3,8,4,5,0,0,31,3,4,5,4,3,3,0,0,28,0,0,5,3,3,5,0,0,19,0,0,0,3,8,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021610,0,0,0,0,18,0,0,3,0,0,0,0,0,10,0,0,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,50,31,9,8,4,0,141,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,3,4,3,0,0,0,0,9,0,3,0,0,0,0,0,0,15,0,6,3,8,4,0,0,0,13,0,4,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,11,7,0,0,50,0,0,15,3,5,6,0,0,32,0,3,10,24,17,11,0,0,70,0,0,0,3,0,0,0,0,11,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,10,33,64,122,89,86,67,20,0,476,3,0,0,0,0,0,0,0,6,36,3,0,0,0,0,0,0,35,17,3,0,3,0,3,0,0,26,9,0,0,0,0,0,0,0,11,7,6,5,0,0,3,0,0,20,3,3,3,5,0,7,0,0,18,3,4,5,6,5,6,0,0,31,0,7,7,5,12,0,8,0,37,0,6,7,10,3,8,0,0,34,0,8,5,4,4,0,0,0,21,0,3,19,14,4,5,0,0,44,0,0,6,6,4,0,0,0,23,0,0,9,14,10,5,0,0,34,0,0,0,0,8,0,0,0,13,0,0,0,0,4,0,0,0,7,0,0,0,6,0,0
101031013,0,6,0,0,14,0,0,3,0,0,6,0,0,7,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,5,7,5,18,27,23,17,9,0,106,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,0,0,0,0,7,0,6,0,3,0,10,0,0,23,0,6,6,0,8,0,0,0,17,0,3,3,6,0,4,0,0,18,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,3,3,0,0,38,0,0,6,10,11,0,0,0,32,0,0,17,16,8,9,0,0,55,0,0,12,13,9,0,0,0,33,0,0,9,11,13,4,0,0,34,0,0,0,0,0,0,0,0,3,38,63,127,103,91,70,19,3,514,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,7,0,3,0,0,3,0,0,12,4,3,0,7,4,3,0,0,19,7,6,0,0,4,9,6,0,30,8,6,0,10,15,6,0,0,56,0,19,14,20,9,4,3,0,72,3,18,26,11,9,9,4,0,86,3,9,10,19,11,20,0,0,74,0,0,6,10,16,8,0,0,44,0,0,0,10,3,7,0,0,23,0,0,3,8,9,12,0,0,40,0,0,3,9,19,13,4,0,47,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101031015,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,4,3,4,0,0,0,9,0,0,0,3,6,0,0,0,5,0,0,0,4,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,4,23,21,24,21,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,6,0,0,0,5,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
