POW_SA2_CODE_2021,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000_3499_A_15_19,ClAW_3000_3499_A_20_24,ClAW_3000_3499_A_25_34,ClAW_3000_3499_A_35_44,ClAW_3000_3499_A_45_54,ClAW_3000_3499_A_55_64,ClAW_3000_3499_A_65_74,ClAW_3000_3499_A_75ov,ClAW_3000_3499_Tot,ClAW_3500mo_A_15_19,ClAW_3500mo_A_20_24,ClAW_3500mo_A_25_34,ClAW_3500mo_A_35_44,ClAW_3500mo_A_45_54,ClAW_3500mo_A_55_64,ClAW_3500mo_A_65_74,ClAW_3500mo_A_75ov,ClAW_3500mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov
101021007,0,0,4,20,6,17,20,22,25,4,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,4,3,3,4,0,0,14,0,0,0,0,0,4,5,0,14,0,0,4,3,0,5,4,0,21,0,0,0,5,3,6,0,0,18,0,0,0,6,0,7,0,0,16,0,0,3,0,8,5,0,0,15,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,19,31,32,9,3,116,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
101021008,0,0,0,22,17,28,22,29,28,4,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,8,0,3,0,0,0,0,0,0,13,0,0,3,0,5,7,0,0,20,0,0,0,8,4,3,0,0,7,0,0,0,5,4,0,0,0,13,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,19,26,21,24,3,0,102,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
101021009,0,0,4,84,135,221,202,161,100,22,0,923,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,3,0,4,0,0,0,3,0,11,0,4,3,0,0,0,0,0,10,4,8,0,8,0,0,4,0,19,0,14,10,8,7,12,5,0,54,0,5,8,12,7,24,0,0,68,0,21,30,26,21,16,4,0,118,5,16,50,27,37,25,6,0,165,0,3,22,27,27,22,6,0,105,0,0,7,20,22,16,6,0,75,0,0,4,8,21,9,3,0,49,0,0,14,15,20,11,4,0,59,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,6,20,78,150,161,174,135,36,4,758,4,0,0,0,0,0,0,0,9,60,0,0,0,0,0,0,0,63,31,4,0,0,0,0,0,0,40,14,8,3,6,0,4,4,0
101021010,0,0,0,4,27,39,46,15,13,3,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,0,0,7,0,0,3,3,0,3,0,0,15,0,0,3,5,8,6,0,0,20,3,0,8,3,7,4,0,6,28,0,4,16,14,5,5,0,0,48,0,10,15,10,24,11,0,0,66,0,0,14,19,18,9,0,0,62,0,0,11,10,6,8,0,0,31,0,0,0,10,4,0,0,0,24,0,0,0,9,8,6,0,0,30,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,23,69,84,85,54,13,3,344,0,0,0,0,0,0,0,0,0,29,4,0,0,0,0,0,0,36,30,4,0,0,0,0,0,0,41,9,4,0,0,0,0,0,0
101021012,0,0,0,38,33,26,36,26,11,5,0,184,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,4,0,0,0,0,0,4,0,5,3,0,3,0,0,0,18,0,8,3,3,8,0,4,4,32,0,5,14,4,13,0,0,0,35,0,0,17,15,6,8,3,0,53,0,0,4,6,6,5,0,0,29,0,0,7,8,11,7,0,0,33,0,0,4,5,0,5,0,0,18,0,0,0,8,4,3,0,0,24,0,0,0,5,0,0,0,0,12,0,0,0,0,6,3,0,0,8,0,0,0,0,0,0,0,0,0,7,21,57,66,65,43,19,4,284,0,0,0,0,0,0,0,0,4,42,0,0,0,0,0,0,0,44,21,0,0,0,0,0,0,0,22,11,6,3,0,0,0,0,0
101021610,0,0,0,9,17,16,20,14,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,4,0,0,10,0,0,6,0,0,0,0,0,5,0,0,3,7,0,0,0,0,15,0,0,4,6,4,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,17,11,11,6,0,66,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
101021611,0,0,3,71,43,75,81,64,23,5,0,366,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,10,0,3,0,3,0,0,3,0,7,0,0,0,0,0,9,0,0,14,0,6,6,0,4,8,5,0,28,0,3,5,0,10,3,0,0,27,0,6,8,5,5,8,3,0,33,0,0,4,10,12,9,6,0,47,0,0,10,3,8,8,3,0,32,0,0,4,8,13,4,0,0,34,0,0,4,3,11,7,0,0,20,0,0,6,8,9,4,0,0,31,0,0,0,6,5,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,19,48,52,82,69,35,7,310,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,23,20,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0
101031013,0,0,0,3,12,16,15,18,21,8,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,11,0,0,3,4,0,5,0,0,14,0,0,4,3,5,0,0,0,17,0,0,3,8,3,5,0,0,22,0,0,0,0,3,5,0,0,11,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,24,19,23,3,0,87,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
101031014,0,0,9,50,62,83,100,102,105,25,3,528,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,9,0,0,0,4,0,3,0,0,15,5,0,0,0,0,0,4,0,15,7,0,0,4,0,6,0,0,22,4,6,9,9,12,6,0,0,43,4,3,8,13,8,16,4,0,59,3,9,16,18,15,10,0,0,76,0,0,12,17,35,21,3,3,101,0,3,7,14,18,33,5,0,89,0,0,3,0,12,10,0,0,29,0,0,0,4,7,7,0,0,23,0,0,5,10,8,9,0,0,34,0,0,4,0,4,0,0,0,7,0,0,0,0,5,6,0,0,14,0,0,0,0,0,0,0,0,0,27,36,72,90,138,150,24,5,539,5,0,0,0,0,0,0,0,4,49,0,0,0,0,0,0,0,50,15,0,0,0,0,3,0,0,26,8,6,0,0,0,0,6,0
101031015,0,0,0,9,3,14,0,9,12,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
