POW_SA2_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
101021007,0,9,9,5,3,0,0,22,0,0,5,3,6,3,0,0,19,0,0,5,3,3,0,0,0,12,0,0,5,7,5,3,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,3,6,4,0,0,11,0,0,0,0,0,0,0,0,0,3,11,35,27,27,37,9,0,140,3,0,0,0,0,5,0,0,6,8,0,0,0,0,3,0,0,14,5,0,4,0,0,4,0,0,17,0,5,0,3,0,4,0,0,14,0,0,0,0,0,5,0,0,8,0,0,4,4,3,0,0,0,17,4,4,3,0,4,6,0,0,19,0,0,5,4,5,4,0,0,19,0,6,4,3,7,9,0,0,29,0,0,5,3,4,3,6,0,16,0,0,0,3,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
101021008,0,4,3,3,0,0,0,12,0,0,6,5,3,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,15,17,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,4,0,7,0,5,0,15,0,0,4,6,5,0,0,0,16,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,5,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,10,3,4,0,4,0,22,0,0,3,0,4,3,0,0,14,0,0,0,7,4,4,0,0,17,0,0,3,6,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,11,51,50,40,28,14,3,218,3,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,23,18,8,0,4,0,4,3,0,36,6,4,5,3,0,5,0,0,18,0,4,5,5,6,10,0,0,33,5,7,7,7,8,6,5,0,49,0,6,14,10,10,7,0,0,51,6,7,28,17,10,11,5,0,77,6,4,27,12,12,13,0,0,73,0,3,9,5,3,3,0,0,25,0,0,0,3,4,0,0,0,16,0,0,0,0,6,0,0,0,15,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0
101021010,4,26,20,14,21,0,0,88,0,0,13,8,16,10,12,0,54,0,0,3,7,7,8,3,0,31,0,0,3,0,0,5,4,0,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,11,26,105,92,93,113,42,4,488,3,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,34,17,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,10,5,3,6,6,7,3,0,0,24,4,10,3,3,5,3,0,0,31,3,9,19,13,9,4,0,0,56,3,6,24,14,8,9,0,0,72,0,4,11,4,13,3,0,0,44,0,0,8,0,5,7,4,0,19,0,0,3,7,0,0,0,0,13,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
101021012,0,9,12,5,11,0,0,42,0,0,9,3,4,14,0,0,34,0,0,9,3,5,7,0,0,25,0,0,9,10,14,3,0,0,37,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,16,28,67,57,64,53,14,0,294,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,32,10,3,0,0,3,0,0,0,19,3,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,11,0,3,0,4,0,0,0,0,14,3,6,5,3,0,0,0,0,26,0,9,3,7,3,9,0,0,37,0,5,20,10,12,7,0,0,59,0,4,14,11,9,5,0,0,34,0,0,6,9,3,4,0,0,30,0,0,0,3,3,0,0,0,9,0,3,11,11,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
101021610,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,10,0,0,5,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
101021611,4,0,9,6,7,6,0,28,0,5,0,5,0,13,0,0,28,0,0,5,3,4,0,0,0,15,0,0,3,7,8,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,24,27,40,42,17,4,170,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,17,7,4,0,3,0,0,0,0,17,0,0,4,0,3,5,4,0,17,0,3,3,4,9,3,0,0,22,0,6,0,5,9,3,0,0,20,0,6,3,4,0,6,5,0,25,0,5,8,4,3,5,0,0,36,3,3,4,5,4,7,4,0,34,0,0,11,5,8,5,3,0,24,0,0,4,3,4,3,0,0,15,0,0,3,0,3,7,0,0,18,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
101031013,4,8,4,3,6,0,0,29,0,0,5,9,10,9,3,0,41,0,0,7,0,0,4,0,0,13,0,0,6,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,28,24,21,39,8,7,141,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,3,10,0,0,6,0,5,5,0,0,9,0,0,0,0,0,8,0,0,13,0,0,0,4,5,7,0,0,14,0,0,0,3,3,3,0,0,16,0,3,7,7,0,5,5,0,35,0,3,15,6,3,13,0,0,40,0,0,4,6,4,5,0,0,19,0,0,4,0,0,0,0,0,9,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,4,4,8,14,16,0,0,40,0,0,4,6,7,6,0,0,22,0,3,0,3,3,5,5,0,15,0,3,5,7,10,0,0,0,27,0,0,0,0,0,0,0,0,11,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,7,16,35,51,56,85,23,0,278,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,28,10,0,0,3,0,4,0,0,15,3,3,0,5,0,3,3,0,22,5,0,4,0,3,0,4,0,27,3,5,5,10,14,7,3,0,49,0,7,9,3,11,18,3,0,49,0,7,14,5,9,8,5,0,41,0,3,10,11,13,12,7,0,61,0,6,6,3,9,3,3,0,30,0,0,0,3,0,3,0,0,10,0,0,3,0,0,3,0,0,10,0,0,9,10,0,0,0,0,25,0,0,6,0,6,0,0,0,3,0,0,4
101031015,0,5,0,0,0,0,0,9,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,6,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,8,15,8,0,52,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,4,0,5,4,0,0,0,0,0,0,4,10,0,0,0,0,0,4,4,0,8,0,0,0,0,0,4,0,0,7,0,0,0,0,0,5,0,0,11,0,0,4,0,3,5,0,0,16,0,3,0,4,0,0,0,0,13,0,0,0,0,6,3,0,0,18,0,0,0,0,3,0,0,0,7,0,0,0,0,4,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
