POW_SA2_CODE_2021,Mng_NNI_H_0,Mng_NNI_H_1_19,Mng_NNI_H_20_29,Mng_NNI_H_30_34,Mng_NNI_H_35_39,Mng_NNI_H_40_44,Mng_NNI_H_45_49,Mng_NNI_H_50ov,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_19,Mng_1_149_H_20_29,Mng_1_149_H_30_34,Mng_1_149_H_35_39,Mng_1_149_H_40_44,Mng_1_149_H_45_49,Mng_1_149_H_50ov,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_19,Mng_150_299_H_20_29,Mng_150_299_H_30_34,Mng_150_299_H_35_39,Mng_150_299_H_40_44,Mng_150_299_H_45_49,Mng_150_299_H_50ov,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_19,Mng_300_399_H_20_29,Mng_300_399_H_30_34,Mng_300_399_H_35_39,Mng_300_399_H_40_44,Mng_300_399_H_45_49,Mng_300_399_H_50ov,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_19,Mng_400_499_H_20_29,Mng_400_499_H_30_34,Mng_400_499_H_35_39,Mng_400_499_H_40_44,Mng_400_499_H_45_49,Mng_400_499_H_50ov,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_19,Mng_500_649_H_20_29,Mng_500_649_H_30_34,Mng_500_649_H_35_39,Mng_500_649_H_40_44,Mng_500_649_H_45_49,Mng_500_649_H_50ov,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_19,Mng_650_799_H_20_29,Mng_650_799_H_30_34,Mng_650_799_H_35_39,Mng_650_799_H_40_44,Mng_650_799_H_45_49,Mng_650_799_H_50ov,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_19,Mng_800_999_H_20_29,Mng_800_999_H_30_34,Mng_800_999_H_35_39,Mng_800_999_H_40_44,Mng_800_999_H_45_49,Mng_800_999_H_50ov,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_19,Mng_1000_1249_H_20_29,Mng_1000_1249_H_30_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40_44,Mng_1000_1249_H_45_49,Mng_1000_1249_H_50ov,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_19,Mng_1250_1499_H_20_29,Mng_1250_1499_H_30_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40_44,Mng_1250_1499_H_45_49,Mng_1250_1499_H_50ov,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_19,Mng_1500_1749_H_20_29,Mng_1500_1749_H_30_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40_44,Mng_1500_1749_H_45_49,Mng_1500_1749_H_50ov,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_19,Mng_1750_1999_H_20_29,Mng_1750_1999_H_30_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40_44,Mng_1750_1999_H_45_49,Mng_1750_1999_H_50ov,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_19,Mng_2000_2999_H_20_29,Mng_2000_2999_H_30_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40_44,Mng_2000_2999_H_45_49,Mng_2000_2999_H_50ov,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000_3499_H_0,Mng_3000_3499_H_1_19,Mng_3000_3499_H_20_29,Mng_3000_3499_H_30_34,Mng_3000_3499_H_35_39,Mng_3000_3499_H_40_44,Mng_3000_3499_H_45_49,Mng_3000_3499_H_50ov,Mng_3000_3499_H_NS,Mng_3000_3499_H_Tot,Mng_3500mo_H_0,Mng_3500mo_H_1_19,Mng_3500mo_H_20_29,Mng_3500mo_H_30_34,Mng_3500mo_H_35_39,Mng_3500mo_H_40_44,Mng_3500mo_H_45_49,Mng_3500mo_H_50ov,Mng_3500mo_H_NS,Mng_3500mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_19,Mng_PINS_H_20_29,Mng_PINS_H_30_34,Mng_PINS_H_35_39,Mng_PINS_H_40_44,Mng_PINS_H_45_49,Mng_PINS_H_50ov,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_19,Mng_Tot_H_20_29,Mng_Tot_H_30_34,Mng_Tot_H_35_39,Mng_Tot_H_40_44,Mng_Tot_H_45_49,Mng_Tot_H_50ov,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_19,Pro_NNI_H_20_29,Pro_NNI_H_30_34,Pro_NNI_H_35_39,Pro_NNI_H_40_44,Pro_NNI_H_45_49,Pro_NNI_H_50ov,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_19,Pro_1_149_H_20_29,Pro_1_149_H_30_34,Pro_1_149_H_35_39,Pro_1_149_H_40_44,Pro_1_149_H_45_49,Pro_1_149_H_50ov,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_19,Pro_150_299_H_20_29,Pro_150_299_H_30_34,Pro_150_299_H_35_39,Pro_150_299_H_40_44,Pro_150_299_H_45_49,Pro_150_299_H_50ov,Pro_150_299_H_NS,Pro_150_299_H_Tot
101021007,0,0,4,6,0,8,5,9,0,21,5,0,0,0,0,5,0,7,0,18,0,0,0,3,0,7,0,6,0,13,0,0,0,0,0,3,0,6,0,16,0,4,3,5,0,6,0,3,0,17,0,0,0,5,0,5,0,10,0,19,0,0,0,3,3,6,0,3,0,21,0,3,6,3,4,0,0,5,0,24,0,8,5,0,0,5,6,18,0,35,0,0,4,3,3,10,0,13,0,43,0,3,0,0,4,9,4,8,0,25,0,0,0,0,0,6,0,9,0,22,0,0,7,0,6,0,6,13,0,34,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,3,0,10,0,13,0,0,0,0,0,0,0,5,0,4,15,27,34,23,28,65,29,114,3,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,9
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,3,0,0,6,0,0,0,0,16,0,0,0,0,3,3,0,3,0,13,0,0,0,0,6,0,0,3,0,8,0,0,0,0,0,7,4,6,0,10,0,0,0,0,0,11,3,9,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,4,17,24,13,39,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10,0,3,4,0,0,0,0,0,0,10,0,0,5,0,8,0,0,0,0,14,0,7,0,9,16,7,4,3,0,48,3,6,7,3,15,22,0,8,0,59,5,6,0,0,18,14,3,5,0,51,0,7,0,4,15,13,3,17,0,60,0,0,0,0,15,16,3,12,0,46,6,0,0,0,37,49,20,40,0,155,0,0,0,0,7,17,9,12,0,42,3,0,6,0,3,20,8,20,0,58,0,0,0,0,4,0,0,0,0,4,23,31,31,21,126,158,47,135,7,578,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,6,0,0,0,10,0,0,0,5,0,0,0,0,0,9,0,0,4,0,0,0,0,5,0,9,0,0,0,3,6,8,0,0,0,20,0,3,0,0,10,15,6,8,0,42,0,0,4,0,15,18,9,6,0,51,0,0,0,0,18,7,0,20,0,56,0,5,0,0,4,11,4,24,0,43,5,6,5,3,13,17,13,35,0,88,0,0,0,0,6,0,11,23,0,37,0,0,0,4,5,0,0,28,0,43,0,0,0,0,0,5,0,0,0,7,10,18,22,14,70,89,41,153,7,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,11,0,0,0,6,8,8,0,4,0,22,0,0,6,0,9,16,8,7,0,39,0,0,0,4,5,8,3,5,0,28,4,0,0,3,13,11,6,8,0,45,0,0,0,4,4,8,5,8,0,32,3,0,5,0,4,22,11,36,0,76,0,0,0,0,0,3,3,17,0,28,0,0,0,0,4,6,3,24,0,41,0,0,0,0,0,0,0,0,0,0,11,8,13,14,41,92,36,115,4,335,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,9,0,0,0,0,5,4,0,0,0,11,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,3,4,10,9,7,10,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101021611,3,0,3,0,4,3,0,3,0,19,0,6,0,0,0,0,0,5,0,8,3,3,0,4,0,5,0,8,0,17,0,4,0,0,0,0,0,3,0,6,0,5,3,0,3,3,0,0,0,21,0,3,9,5,0,9,0,0,0,24,0,8,5,4,4,7,0,9,0,42,0,3,9,6,6,5,0,5,0,33,0,3,8,0,8,18,6,15,0,57,0,3,0,0,5,12,3,21,0,51,0,0,6,6,7,13,0,22,0,66,3,4,7,3,4,29,10,16,0,70,13,8,0,5,22,71,42,69,0,250,3,0,0,0,0,32,18,25,0,82,3,10,4,5,3,20,22,44,0,108,0,3,0,0,0,0,0,0,6,11,34,59,69,36,74,214,110,259,7,858,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,9
101031013,0,0,3,0,3,0,0,7,0,11,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,0,0,0,8,0,0,3,3,0,0,4,3,0,24,0,3,3,0,5,8,5,4,0,31,0,0,0,0,4,0,0,7,0,24,0,0,0,0,4,0,3,7,0,26,0,0,0,0,3,3,0,11,0,20,0,3,0,0,0,4,0,7,0,20,0,3,0,0,4,10,0,9,0,22,0,0,0,0,5,13,4,16,0,34,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,4,7,0,9,0,0,0,0,0,0,0,0,4,4,4,22,23,8,30,49,27,80,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,9,0,0,6,0,0,0,0,6,0,12,0,0,5,7,0,0,0,3,0,17,0,5,3,4,4,0,3,4,0,25,0,0,4,4,5,12,4,12,0,44,0,0,3,4,11,12,0,12,0,44,3,3,5,0,13,15,3,8,0,50,4,0,0,7,15,11,12,18,0,53,0,0,0,0,8,6,6,14,0,42,3,0,0,5,10,18,10,29,0,81,0,0,0,0,8,3,4,17,0,35,0,0,0,0,0,14,8,50,0,75,0,0,3,0,0,0,0,0,0,9,19,13,27,24,72,105,54,178,3,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11
101031015,0,0,4,0,0,0,0,5,0,10,0,3,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,7,0,15,0,8,3,0,0,3,0,6,0,21,0,0,0,4,0,4,0,8,0,16,0,0,5,0,7,0,0,10,0,20,0,4,4,0,0,7,6,14,0,39,0,0,3,0,0,4,7,10,0,28,0,0,0,0,3,5,0,14,0,30,0,0,5,0,0,4,3,19,0,28,3,0,0,0,0,5,5,6,0,19,0,0,0,4,0,11,7,10,0,30,0,0,0,0,0,0,0,5,0,8,0,0,0,4,0,4,0,12,0,22,0,0,0,0,0,0,0,0,0,5,8,25,26,10,17,61,17,138,5,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,0,3,0,0,0,4,0,3,0,8,0,0,0,3,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,5,0,0,4,0,3,6,0,8,0,30,0,0,6,0,0,4,0,6,0,22,0,3,13,0,5,9,0,12,0,41,0,11,5,5,9,7,8,27,0,73,8,5,3,9,12,14,3,18,0,73,0,6,9,12,16,29,20,50,0,142,0,3,6,4,20,22,9,35,0,91,3,10,3,0,4,10,11,40,0,93,3,8,4,4,5,4,10,31,0,71,5,5,9,0,14,18,9,42,0,96,0,0,0,0,9,6,9,20,0,39,0,4,0,0,0,18,8,34,0,66,0,0,0,0,0,0,0,3,0,10,22,63,77,38,104,159,87,335,6,883,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4
101041017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,4,3,0,0,0,0,0,10,4,5,0,4,0,5,0,0,0,12,3,4,6,3,0,5,0,8,0,36,3,0,4,5,13,3,4,8,0,40,5,0,8,11,9,15,5,18,3,71,10,4,4,4,36,28,4,6,0,94,0,0,0,7,21,22,8,20,0,80,0,3,0,3,15,14,3,19,3,60,4,0,0,4,3,12,5,8,0,35,6,0,0,3,18,19,13,21,0,83,0,0,0,0,7,5,0,11,0,28,0,0,0,0,4,3,0,17,0,31,0,0,0,0,0,0,0,0,0,0,31,27,38,44,121,141,50,147,9,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11
