POW_SA2_CODE_2021,Pro_300_399_H_0,Pro_300_399_H_1_19,Pro_300_399_H_20_29,Pro_300_399_H_30_34,Pro_300_399_H_35_39,Pro_300_399_H_40_44,Pro_300_399_H_45_49,Pro_300_399_H_50ov,Pro_300_399_H_NS,Pro_300_399_H_Tot,Pro_400_499_H_0,Pro_400_499_H_1_19,Pro_400_499_H_20_29,Pro_400_499_H_30_34,Pro_400_499_H_35_39,Pro_400_499_H_40_44,Pro_400_499_H_45_49,Pro_400_499_H_50ov,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_19,Pro_500_649_H_20_29,Pro_500_649_H_30_34,Pro_500_649_H_35_39,Pro_500_649_H_40_44,Pro_500_649_H_45_49,Pro_500_649_H_50ov,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_19,Pro_650_799_H_20_29,Pro_650_799_H_30_34,Pro_650_799_H_35_39,Pro_650_799_H_40_44,Pro_650_799_H_45_49,Pro_650_799_H_50ov,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_19,Pro_800_999_H_20_29,Pro_800_999_H_30_34,Pro_800_999_H_35_39,Pro_800_999_H_40_44,Pro_800_999_H_45_49,Pro_800_999_H_50ov,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_19,Pro_1000_1249_H_20_29,Pro_1000_1249_H_30_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40_44,Pro_1000_1249_H_45_49,Pro_1000_1249_H_50ov,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_19,Pro_1250_1499_H_20_29,Pro_1250_1499_H_30_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40_44,Pro_1250_1499_H_45_49,Pro_1250_1499_H_50ov,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_19,Pro_1500_1749_H_20_29,Pro_1500_1749_H_30_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40_44,Pro_1500_1749_H_45_49,Pro_1500_1749_H_50ov,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_19,Pro_1750_1999_H_20_29,Pro_1750_1999_H_30_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40_44,Pro_1750_1999_H_45_49,Pro_1750_1999_H_50ov,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_19,Pro_2000_2999_H_20_29,Pro_2000_2999_H_30_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40_44,Pro_2000_2999_H_45_49,Pro_2000_2999_H_50ov,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000_3499_H_0,Pro_3000_3499_H_1_19,Pro_3000_3499_H_20_29,Pro_3000_3499_H_30_34,Pro_3000_3499_H_35_39,Pro_3000_3499_H_40_44,Pro_3000_3499_H_45_49,Pro_3000_3499_H_50ov,Pro_3000_3499_H_NS,Pro_3000_3499_H_Tot,Pro_3500mo_H_0,Pro_3500mo_H_1_19,Pro_3500mo_H_20_29,Pro_3500mo_H_30_34,Pro_3500mo_H_35_39,Pro_3500mo_H_40_44,Pro_3500mo_H_45_49,Pro_3500mo_H_50ov,Pro_3500mo_H_NS,Pro_3500mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_19,Pro_PINS_H_20_29,Pro_PINS_H_30_34,Pro_PINS_H_35_39,Pro_PINS_H_40_44,Pro_PINS_H_45_49,Pro_PINS_H_50ov,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_19,Pro_Tot_H_20_29,Pro_Tot_H_30_34,Pro_Tot_H_35_39,Pro_Tot_H_40_44,Pro_Tot_H_45_49,Pro_Tot_H_50ov,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_19,TaTW_NNI_H_20_29,TaTW_NNI_H_30_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40_44,TaTW_NNI_H_45_49,TaTW_NNI_H_50ov,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_19,TaTW_1_149_H_20_29,TaTW_1_149_H_30_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40_44,TaTW_1_149_H_45_49,TaTW_1_149_H_50ov,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_19,TaTW_150_299_H_20_29,TaTW_150_299_H_30_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40_44,TaTW_150_299_H_45_49,TaTW_150_299_H_50ov,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_19,TaTW_300_399_H_20_29,TaTW_300_399_H_30_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40_44,TaTW_300_399_H_45_49,TaTW_300_399_H_50ov,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_19,TaTW_400_499_H_20_29,TaTW_400_499_H_30_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40_44,TaTW_400_499_H_45_49,TaTW_400_499_H_50ov,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_19,TaTW_500_649_H_20_29,TaTW_500_649_H_30_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40_44,TaTW_500_649_H_45_49,TaTW_500_649_H_50ov,TaTW_500_649_H_NS,TaTW_500_649_H_Tot
101021007,0,4,5,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,5,0,0,3,3,0,4,0,0,0,8,0,4,0,0,0,0,0,0,0,6,0,0,8,0,0,3,0,0,0,17,3,0,7,0,4,6,0,5,0,24,0,0,3,0,4,0,0,3,0,18,0,3,0,3,3,0,5,10,0,25,0,0,0,0,3,8,0,3,0,16,0,0,0,0,0,11,0,16,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,8,0,15,0,0,0,0,0,0,0,0,0,3,16,23,27,24,21,40,7,43,0,206,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,4,4,0,0,3,0,4,0,10,0,4,4,4,4,4,0,0,0,18
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,4,0,0,0,17,7,0,4,0,11,5,0,3,0,31,0,0,0,0,7,12,3,4,0,34,0,0,0,3,5,9,3,11,0,32,0,3,0,0,4,15,9,14,0,39,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,18,11,9,33,52,18,37,0,186,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9
101021009,0,9,0,0,0,0,0,0,0,10,0,10,5,0,0,0,0,0,0,14,3,18,14,0,0,0,0,0,0,32,6,15,17,5,4,8,4,0,0,46,3,15,10,14,21,9,0,3,0,78,13,12,31,25,38,23,0,9,0,151,9,11,27,20,53,45,4,14,0,179,8,8,16,17,69,46,8,8,3,193,12,3,6,18,61,53,12,34,0,207,12,5,21,16,109,83,30,41,0,319,3,4,0,0,5,9,0,9,0,28,3,3,8,3,8,25,6,27,0,81,0,0,0,0,0,0,0,0,0,4,79,112,156,116,367,308,75,153,3,1368,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,10,0,0,0,4,0,0,0,10,0,7,3,0,0,0,0,0,0,11,0,6,7,3,3,0,0,0,0,22,5,4,10,7,11,13,4,0,0,44
101021010,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,10,0,5,7,0,6,0,0,0,0,16,3,5,6,4,6,10,4,3,0,38,4,0,4,0,12,8,3,3,0,35,0,0,0,0,4,11,8,7,0,38,0,0,0,0,11,8,3,10,0,32,0,0,3,3,8,16,6,5,0,43,0,0,0,5,5,3,0,3,0,15,0,6,0,0,6,5,0,0,0,10,0,0,0,0,0,0,0,0,0,3,12,22,31,11,49,64,23,38,0,256,0,0,0,0,0,0,0,5,0,5,0,6,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,6,4,0,5,0,0,0,0,10,6,4,4,0,0,7,0,5,0,13,5,3,8,0,9,15,3,5,0,42
101021012,0,8,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,6,0,0,7,0,0,5,0,15,0,0,11,7,7,3,4,0,0,35,0,0,4,3,8,15,0,6,0,37,0,0,0,6,10,8,0,6,0,24,0,0,0,3,4,4,0,7,0,28,5,0,3,4,7,12,4,7,0,48,0,0,0,0,3,7,3,8,0,14,0,0,4,0,0,4,6,6,0,31,0,0,0,0,0,0,0,0,0,0,7,41,30,25,37,67,20,41,3,283,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,8,0,3,10,0,4,5,0,0,0,21,0,3,5,0,4,8,4,3,0,31
101021610,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,8,0,3,0,15,0,0,0,4,0,3,4,0,0,14,0,0,0,0,0,8,4,4,0,26,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,9,10,5,15,31,12,17,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,8
101021611,0,6,0,0,0,5,0,0,0,6,0,6,0,0,0,0,0,0,0,14,0,13,4,0,6,0,0,0,0,17,0,8,3,4,3,3,0,4,0,25,0,4,3,3,4,0,0,4,0,22,0,3,3,0,7,0,3,7,0,27,0,3,0,0,4,15,0,3,0,33,0,9,8,0,16,20,0,4,0,61,0,3,3,0,9,16,7,3,0,48,8,7,3,9,18,43,18,29,0,136,0,3,3,0,15,12,8,10,0,50,0,6,7,9,10,25,13,15,0,81,0,0,0,0,0,0,0,0,0,4,15,79,42,34,97,139,43,79,5,532,5,3,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,12,0,7,5,0,0,0,0,0,0,16,0,3,4,0,0,0,0,0,0,7,0,7,0,0,0,4,6,0,0,17,0,0,8,3,3,3,0,3,0,30
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,3,3,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,14,0,0,3,3,5,0,0,0,0,15,0,0,0,3,3,4,0,0,0,17,0,0,0,0,5,11,0,6,0,20,3,0,0,0,0,9,5,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,12,15,10,26,29,8,12,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9
101031014,0,7,0,0,0,0,0,0,0,12,0,8,3,0,0,3,0,0,0,14,0,14,4,0,5,0,0,6,0,25,0,10,4,12,3,0,0,0,0,33,0,10,19,3,20,8,0,0,0,62,0,3,12,12,14,13,0,0,0,67,6,4,20,10,26,19,10,12,0,99,8,10,9,17,32,29,4,12,0,110,0,0,0,6,33,26,12,17,0,101,15,6,6,10,47,62,23,48,0,210,0,0,0,0,4,18,7,19,0,49,5,0,4,3,4,10,5,18,0,50,0,0,3,0,0,0,0,0,4,9,43,74,78,80,195,191,54,125,5,851,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,5,5,4,0,0,3,0,0,3,0,11,0,0,9,0,0,4,0,0,0,24,0,0,9,0,3,3,0,0,3,22
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,8,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,9,3,8,10,3,11,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
