POW_SA2_CODE_2021,TaTW_650_799_H_0,TaTW_650_799_H_1_19,TaTW_650_799_H_20_29,TaTW_650_799_H_30_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40_44,TaTW_650_799_H_45_49,TaTW_650_799_H_50ov,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_19,TaTW_800_999_H_20_29,TaTW_800_999_H_30_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40_44,TaTW_800_999_H_45_49,TaTW_800_999_H_50ov,TaTW_800_999_H_NS,TaTW_800_999_H_Tot,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_19,TaTW_1000_1249_H_20_29,TaTW_1000_1249_H_30_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40_44,TaTW_1000_1249_H_45_49,TaTW_1000_1249_H_50ov,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_19,TaTW_1250_1499_H_20_29,TaTW_1250_1499_H_30_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40_44,TaTW_1250_1499_H_45_49,TaTW_1250_1499_H_50ov,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_19,TaTW_1500_1749_H_20_29,TaTW_1500_1749_H_30_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40_44,TaTW_1500_1749_H_45_49,TaTW_1500_1749_H_50ov,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_19,TaTW_1750_1999_H_20_29,TaTW_1750_1999_H_30_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40_44,TaTW_1750_1999_H_45_49,TaTW_1750_1999_H_50ov,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_19,TaTW_2000_2999_H_20_29,TaTW_2000_2999_H_30_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40_44,TaTW_2000_2999_H_45_49,TaTW_2000_2999_H_50ov,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000_3499_H_0,TaTW_3000_3499_H_1_19,TaTW_3000_3499_H_20_29,TaTW_3000_3499_H_30_34,TaTW_3000_3499_H_35_39,TaTW_3000_3499_H_40_44,TaTW_3000_3499_H_45_49,TaTW_3000_3499_H_50ov,TaTW_3000_3499_H_NS,TaTW_3000_3499_H_Tot,TaTW_3500mo_H_0,TaTW_3500mo_H_1_19,TaTW_3500mo_H_20_29,TaTW_3500mo_H_30_34,TaTW_3500mo_H_35_39,TaTW_3500mo_H_40_44,TaTW_3500mo_H_45_49,TaTW_3500mo_H_50ov,TaTW_3500mo_H_NS,TaTW_3500mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_19,TaTW_PINS_H_20_29,TaTW_PINS_H_30_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40_44,TaTW_PINS_H_45_49,TaTW_PINS_H_50ov,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_19,TaTW_Tot_H_20_29,TaTW_Tot_H_30_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40_44,TaTW_Tot_H_45_49,TaTW_Tot_H_50ov,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_19,CoPSW_NNI_H_20_29,CoPSW_NNI_H_30_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40_44,CoPSW_NNI_H_45_49,CoPSW_NNI_H_50ov,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_19,CoPSW_1_149_H_20_29,CoPSW_1_149_H_30_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40_44,CoPSW_1_149_H_45_49,CoPSW_1_149_H_50ov,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_19,CoPSW_150_299_H_20_29,CoPSW_150_299_H_30_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40_44,CoPSW_150_299_H_45_49,CoPSW_150_299_H_50ov,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_19,CoPSW_300_399_H_20_29,CoPSW_300_399_H_30_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40_44,CoPSW_300_399_H_45_49,CoPSW_300_399_H_50ov,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_19,CoPSW_400_499_H_20_29,CoPSW_400_499_H_30_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40_44,CoPSW_400_499_H_45_49,CoPSW_400_499_H_50ov,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_19,CoPSW_500_649_H_20_29,CoPSW_500_649_H_30_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40_44,CoPSW_500_649_H_45_49,CoPSW_500_649_H_50ov,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_19,CoPSW_650_799_H_20_29,CoPSW_650_799_H_30_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40_44,CoPSW_650_799_H_45_49,CoPSW_650_799_H_50ov,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_19,CoPSW_800_999_H_20_29,CoPSW_800_999_H_30_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40_44,CoPSW_800_999_H_45_49,CoPSW_800_999_H_50ov,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_19,CoPSW_1000_1249_H_20_29,CoPSW_1000_1249_H_30_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40_44,CoPSW_1000_1249_H_45_49,CoPSW_1000_1249_H_50ov,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot
101021007,0,3,5,3,9,3,6,0,0,31,0,6,0,0,0,0,0,6,0,23,0,0,4,0,0,7,0,4,0,18,0,0,0,0,0,5,0,4,0,18,0,0,0,0,4,3,0,9,0,18,0,0,0,3,3,0,0,3,0,15,0,0,0,0,0,4,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,27,18,17,38,12,41,5,176,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,11,0,7,3,4,0,0,0,0,0,12,0,0,4,7,5,0,3,0,0,21,0,0,0,4,3,0,0,0,0,16
101021008,0,5,3,3,5,3,0,0,0,21,0,0,0,4,10,15,0,0,0,33,0,0,0,3,8,14,9,4,0,40,4,0,5,0,3,13,3,5,0,26,3,0,0,0,11,20,5,6,0,48,0,0,0,0,4,11,0,5,0,22,0,0,0,0,5,10,6,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,5,14,11,15,43,92,24,30,0,236,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,10,0,3,5,0,0,0,0,0,0,3,0,8,3,3,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,13,0,5,7,5,9,0,0,0,0,35,0,0,3,8,7,4,3,0,0,23
101021009,3,0,7,9,25,19,4,6,0,81,0,3,8,7,35,24,9,7,0,97,3,5,4,7,42,45,7,13,3,127,0,4,3,5,33,41,9,12,0,105,0,0,3,5,15,29,9,12,0,64,3,0,3,0,7,3,6,13,0,36,0,0,0,0,8,11,6,18,0,41,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,15,42,46,36,174,190,58,84,7,663,0,0,0,0,0,0,0,0,0,3,4,31,0,0,0,0,0,0,0,34,4,40,5,5,0,0,0,0,0,47,5,32,9,0,0,0,0,0,0,48,3,22,19,0,0,0,0,0,0,52,5,23,28,10,3,7,0,9,0,86,7,16,30,12,26,4,3,3,0,99,6,12,30,22,36,14,0,6,3,129,8,10,14,7,56,26,6,8,0,140
101021010,0,4,7,6,14,30,0,6,0,70,8,0,6,3,19,38,8,20,0,106,9,3,6,5,39,60,19,16,0,158,9,3,4,0,27,49,27,22,0,130,0,5,0,0,23,39,9,29,0,100,0,0,0,0,7,28,13,17,3,72,3,0,0,0,4,18,10,37,0,74,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,9,29,24,39,28,143,288,93,165,9,817,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,0,4,5,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,9,0,3,5,0,3,0,0,0,0,16,5,0,7,0,4,0,0,0,0,27,4,0,10,8,9,0,0,0,0,22
101021012,0,3,5,3,9,25,4,6,0,60,3,0,3,7,16,36,0,12,0,75,5,0,0,5,34,32,6,13,0,97,4,0,0,7,27,36,6,19,0,97,0,0,0,0,8,36,11,23,0,84,0,0,0,0,7,23,13,15,0,62,0,0,0,3,5,29,17,23,0,82,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,4,8,5,0,8,0,6,0,0,0,0,0,5,0,7,12,31,29,30,111,246,71,125,6,663,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,15,0,10,5,0,0,0,0,0,0,16,0,4,3,0,0,0,0,0,0,14,0,8,3,3,0,0,0,0,0,15,0,6,10,5,9,3,0,0,4,31,0,4,3,0,8,7,0,0,0,28,0,0,0,0,3,5,0,0,0,19
101021610,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,5,9,0,0,15,4,0,5,5,10,12,5,0,0,35,0,0,0,0,5,8,0,4,0,19,0,0,0,0,0,11,3,9,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,24,46,18,22,0,141,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,4,0,3,0,0,0,0,9,3,0,4,0,0,0,0,0,0,15,0,0,0,4,7,0,0,0,0,13,0,0,0,0,5,3,0,3,0,15
101021611,0,10,4,4,0,11,0,3,0,34,0,4,7,0,13,19,4,8,0,52,0,4,0,8,19,29,4,17,0,89,3,0,0,0,4,13,10,11,0,37,0,0,0,3,6,21,8,11,0,50,0,0,0,0,5,10,7,0,0,32,4,0,0,0,8,18,6,30,0,70,0,0,0,0,0,4,0,4,0,11,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,10,16,58,37,23,75,134,37,93,7,476,0,3,0,0,0,0,0,0,0,6,8,29,0,0,0,0,0,0,0,35,3,16,0,0,0,0,0,0,0,26,0,10,0,0,0,0,0,0,0,11,0,13,8,0,0,0,0,0,0,20,0,10,3,0,3,0,0,0,0,18,0,6,11,4,6,0,0,0,0,31,3,9,7,5,4,4,0,0,0,37,0,5,3,5,3,7,4,5,0,34
101031013,0,0,4,0,7,4,0,3,0,16,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,4,6,0,7,0,0,0,0,3,8,0,3,0,16,0,0,0,0,4,11,3,0,0,14,0,0,0,0,0,3,0,6,0,7,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,6,14,3,17,29,8,23,3,106,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,3,7,8,0,0,0,0,0,23,0,0,5,8,0,0,0,0,0,17,0,0,0,3,8,0,0,0,0,18,0,0,0,0,5,0,0,0,0,6
101031014,0,0,10,3,6,6,0,5,0,44,0,5,5,0,20,23,8,10,0,72,7,0,7,7,24,21,8,15,0,72,6,4,0,3,11,20,6,15,0,63,0,0,0,0,13,12,0,14,0,38,0,0,0,0,8,7,4,12,0,32,4,0,0,0,7,12,6,21,0,55,0,0,0,0,0,6,0,20,0,33,0,0,0,0,6,5,0,21,0,34,0,0,0,0,0,0,0,0,0,3,18,38,37,17,107,116,39,130,9,514,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,3,10,0,0,0,0,0,0,3,12,0,11,0,0,0,0,0,0,0,19,0,13,6,0,4,0,0,0,0,30,0,16,18,4,5,0,0,0,0,56,7,11,19,16,15,0,0,0,0,72,0,14,16,23,24,11,0,0,0,86,4,5,9,10,26,8,0,6,0,74
101031015,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,7,0,0,4,0,4,0,11,0,0,0,0,7,4,4,0,0,12,0,0,0,0,0,6,0,3,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,10,0,9,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,3,3,8,8,7,24,6,31,0,95,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4
