POW_SA2_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
101021007,7,0,0,0,0,0,0,0,0,9,3,5,0,0,0,0,0,0,0,12,4,3,5,3,3,0,0,4,0,21,4,4,0,0,0,0,0,0,0,7,3,4,0,0,4,3,0,0,0,20,3,0,0,0,4,0,0,0,0,14,4,3,11,3,0,3,0,0,0,28,4,10,6,6,0,0,0,4,0,27,11,23,0,5,0,3,0,6,0,40,13,15,0,0,3,0,0,0,0,38,12,17,0,0,0,0,0,0,0,40,8,14,4,0,0,0,0,0,0,29,22,34,0,4,6,0,0,0,0,59,0,5,0,0,0,0,0,0,0,6,13,10,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,112,142,29,25,26,14,0,15,9,380,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,6
101021008,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,4,0,4,0,4,0,0,0,16,0,5,0,6,0,3,0,4,0,16,9,6,3,5,0,0,0,0,0,27,4,18,4,3,6,0,0,0,0,36,0,28,3,0,0,0,0,0,0,41,4,32,0,3,0,0,0,0,0,38,14,36,3,0,0,0,0,0,0,61,5,7,0,0,7,0,0,0,0,11,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,36,146,19,21,16,14,5,13,6,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101021009,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,4,9,4,9,0,0,0,0,0,28,3,6,0,12,3,12,4,3,0,44,0,19,3,19,10,16,3,4,3,79,4,28,9,25,13,21,4,13,3,118,8,51,11,41,39,19,9,12,6,198,16,107,14,42,43,9,3,13,4,263,17,156,11,21,22,3,0,6,5,238,22,163,0,18,23,6,0,0,3,231,25,184,4,26,9,5,0,0,5,259,86,298,8,45,40,0,0,5,8,486,26,30,0,6,4,0,0,0,0,64,43,73,0,0,0,0,0,0,5,121,0,4,0,0,0,0,0,0,0,7,260,1145,64,270,202,84,30,58,41,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,4,0,0,0,3,0,14,0,3,0,0,4,0,3,3,0,21,0,4,5,0,8,11,6,0,4,36,5,14,4,6,7,8,15,3,0,58,9,20,19,9,5,9,22,10,4,104,7,33,9,8,5,4,4,0,0,60,7,29,3,0,5,4,0,0,0,52,10,23,0,3,8,0,5,0,0,45,20,31,0,0,10,0,0,0,0,63,11,12,0,0,3,0,0,0,0,25,10,10,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,80,183,40,41,49,38,55,30,8,517,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,4,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,14,0,13,0,3,0,3,3,0,0,22,0,5,3,10,3,5,0,0,0,25,8,10,6,11,5,7,3,4,0,53,8,27,11,6,12,4,5,14,4,81,4,24,7,5,7,0,0,0,0,46,14,21,0,0,6,0,0,0,0,48,8,17,0,0,0,0,3,0,0,32,17,37,3,6,5,0,0,0,0,69,7,14,0,0,0,0,0,0,0,26,15,28,0,0,4,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,83,198,38,37,52,26,20,31,9,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,7,0,6,0,4,0,0,0,0,0,14,0,3,0,4,0,0,0,0,0,13,4,3,0,4,0,0,0,0,0,17,4,7,0,0,4,0,0,0,0,12,0,9,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,13,5,17,0,0,4,0,0,0,0,24,0,4,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,19,69,13,12,12,3,6,4,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,7,5,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,4,5,0,6,0,0,0,0,0,11,3,6,3,3,0,0,0,0,0,16,0,4,0,4,5,0,0,3,0,25,7,11,0,3,0,0,0,0,0,32,4,11,4,6,3,3,0,0,0,31,9,10,5,7,6,6,0,0,0,49,20,20,18,9,9,3,0,0,0,76,18,25,0,0,10,0,3,0,0,64,26,41,3,13,8,0,0,0,4,101,31,32,7,0,7,0,0,0,0,84,132,97,9,12,6,0,4,0,4,271,61,38,0,9,0,0,0,0,3,113,86,55,0,9,3,5,0,0,0,157,3,4,0,0,0,0,0,0,0,3,426,373,46,82,65,22,10,15,20,1058,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,5,0,10,4,6,0,0,0,0,0,0,0,17,4,5,0,0,0,0,0,0,0,11,3,10,0,0,0,0,0,6,0,24,9,17,0,0,0,0,0,0,0,22,6,11,0,0,0,0,5,0,0,24,9,18,0,3,0,0,0,0,0,25,14,17,0,6,4,5,0,0,0,37,0,4,0,0,0,0,0,0,0,9,10,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,66,92,6,14,10,7,4,10,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,0,7,4,11,0,3,3,0,0,0,0,23,3,15,0,5,0,8,3,0,0,31,4,15,0,8,3,4,0,7,0,36,4,34,4,10,9,7,9,0,0,76,3,44,6,6,15,0,0,0,0,72,7,77,9,8,8,3,0,0,3,117,13,89,6,0,5,0,0,3,0,126,7,90,3,7,7,0,0,0,0,116,42,176,12,11,13,0,4,4,0,253,24,47,0,0,3,0,0,0,0,77,57,46,4,0,5,6,0,0,0,124,0,4,0,0,0,0,0,0,0,10,172,659,43,60,76,28,16,19,13,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,7,9,8,0,0,0,0,0,0,0,15,6,4,0,0,0,0,0,0,0,14,5,6,0,0,3,0,0,0,0,17,6,3,0,0,3,0,0,0,0,9,9,12,0,0,0,0,0,0,0,30,6,5,0,0,0,0,0,0,0,6,6,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,64,46,0,11,17,0,0,5,4,147,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
