POW_SA2_CODE_2021,LE_IDNS_PINS_Mng,LE_IDNS_PINS_Pro,LE_IDNS_PINS_TecTW,LE_IDNS_PINS_CoPSW,LE_IDNS_PINS_ClAW,LE_IDNS_PINS_SWks,LE_IDNS_PINS_MaOpDv,LE_IDNS_PINS_Lab,LE_IDNS_PINS_IDNS,LE_IDNS_PINS_Tot,LE_IDNS_Tot_Mng,LE_IDNS_Tot_Pro,LE_IDNS_Tot_TecTW,LE_IDNS_Tot_CoPSW,LE_IDNS_Tot_ClAW,LE_IDNS_Tot_SWks,LE_IDNS_Tot_MaOpDv,LE_IDNS_Tot_Lab,LE_IDNS_Tot_IDNS,LE_IDNS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
101021007,0,0,0,0,0,0,0,0,0,0,7,6,3,0,0,5,5,7,3,29,17,0,0,0,0,4,0,0,0,22,15,5,3,0,0,0,0,0,0,20,13,7,4,6,6,0,0,9,0,36,12,9,0,5,5,0,0,3,0,31,10,5,3,0,4,7,0,7,5,42,12,5,15,5,4,5,0,8,0,56,16,3,21,6,7,8,6,8,0,86,17,15,18,17,7,7,3,3,0,96,22,22,11,10,12,6,17,17,3,112,32,14,17,5,14,0,12,9,0,97,18,25,15,3,8,3,10,7,0,88,17,16,12,4,0,0,7,0,0,59,28,32,20,5,8,0,13,0,0,105,5,3,0,0,0,0,0,0,0,11,12,10,0,0,0,5,5,3,6,45,3,3,0,0,0,0,0,0,0,13,250,189,140,77,76,44,73,68,16,923
101021008,0,0,0,0,0,0,0,0,0,0,0,3,9,0,5,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,12,0,0,5,6,4,3,0,3,0,11,0,3,0,11,0,7,0,3,0,29,4,3,10,9,6,4,0,4,0,47,5,5,19,20,5,10,5,14,0,75,11,12,27,21,7,0,6,5,0,94,7,28,20,7,10,3,3,0,6,81,11,34,32,4,6,0,8,8,0,93,7,32,17,3,6,0,5,0,4,77,21,38,22,3,3,0,0,0,6,109,5,4,0,0,3,0,0,0,0,13,4,3,3,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,4,10,80,168,164,96,57,35,27,40,18,670
101021009,0,0,0,0,0,0,0,0,3,13,16,22,3,17,18,13,3,6,15,115,4,0,0,0,0,0,0,0,0,6,0,0,0,8,0,7,0,0,0,20,0,3,0,6,6,6,5,7,0,39,4,14,3,27,7,13,3,6,0,74,3,16,11,29,11,21,3,14,0,116,11,26,22,53,29,34,3,31,4,205,9,43,39,67,35,31,9,25,9,267,32,70,60,103,84,35,30,41,13,462,44,135,98,111,104,29,28,48,10,605,39,180,91,42,66,22,9,11,6,458,44,190,58,51,53,17,6,8,11,426,40,203,31,46,26,12,3,8,7,383,140,317,32,77,47,8,3,7,8,648,40,29,5,5,3,6,0,0,3,94,54,85,5,4,4,3,0,0,6,156,3,4,0,0,0,0,3,0,11,27,460,1303,457,641,480,241,108,206,80,3980
101021010,0,0,0,0,0,0,0,0,4,10,4,0,19,3,3,5,19,3,6,73,0,0,5,4,0,0,0,0,0,9,0,0,0,0,4,0,0,5,0,10,0,0,0,0,3,6,0,8,0,23,0,0,0,3,0,0,4,0,0,14,6,6,11,4,5,6,0,3,6,40,3,4,16,7,10,6,6,13,0,67,5,10,30,7,22,16,14,6,4,112,10,14,52,17,28,21,39,17,3,211,24,27,120,23,25,18,74,33,9,347,27,37,98,24,34,12,33,13,6,280,38,33,93,8,21,9,23,16,7,241,35,31,65,8,16,5,21,5,0,182,72,40,68,3,28,5,8,3,4,225,26,15,0,0,4,0,3,0,0,47,35,6,6,0,0,0,0,0,0,53,0,3,0,0,0,0,4,0,4,21,287,227,577,99,193,113,229,133,41,1888
101021012,0,0,0,0,0,0,0,0,3,3,6,7,11,3,10,8,10,5,10,65,0,0,0,0,0,5,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,6,0,4,0,0,3,0,0,13,0,5,9,0,4,7,0,3,0,36,0,3,7,7,0,5,0,0,0,35,3,16,16,9,9,10,4,11,0,62,3,7,30,22,16,8,5,6,0,97,12,12,42,24,18,8,13,16,0,158,17,35,75,10,38,7,27,30,11,241,21,35,81,6,15,3,12,18,0,197,38,23,71,0,27,0,17,15,0,194,25,25,58,3,12,0,14,9,0,146,63,44,76,10,14,6,22,14,0,247,23,14,10,4,6,0,5,0,4,64,33,25,8,0,7,6,0,0,0,88,0,0,5,0,0,0,3,0,4,16,246,250,488,105,174,65,124,127,25,1614
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,7,0,0,6,5,0,0,0,0,0,10,0,0,6,8,0,0,0,0,0,14,0,6,3,11,0,0,0,0,0,23,6,5,13,10,4,5,3,5,0,45,7,3,24,12,8,3,0,5,0,71,6,8,15,0,9,0,0,5,3,40,8,18,16,0,0,0,0,0,3,45,0,17,10,0,3,0,3,0,0,31,12,26,12,0,0,0,0,0,0,51,0,9,0,0,0,0,0,0,0,11,8,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,47,93,98,51,34,20,14,22,6,382
101021611,0,0,0,0,0,0,0,0,0,0,20,15,6,5,11,0,7,8,9,77,15,5,3,0,5,0,0,0,6,37,3,3,3,3,0,0,0,5,0,18,9,9,5,5,0,0,3,7,0,42,6,6,9,7,3,5,4,11,0,52,10,13,10,8,5,3,0,10,3,61,16,16,16,12,17,10,0,10,0,101,25,19,19,16,12,8,0,13,0,116,21,24,42,29,23,11,4,13,5,165,44,28,73,23,40,6,18,7,7,242,37,34,25,13,21,6,9,16,6,164,56,55,43,32,24,9,9,12,9,242,60,45,29,23,12,3,7,11,3,190,218,126,60,34,18,5,9,5,3,479,72,49,10,9,6,3,0,0,3,154,101,69,5,7,3,0,0,0,0,198,5,4,8,0,0,0,0,0,3,22,696,490,349,227,208,61,76,111,52,2274
101031013,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,4,5,4,4,35,9,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,8,4,0,0,4,0,0,0,3,0,15,3,0,0,3,6,4,3,0,0,15,4,3,4,3,0,3,3,5,0,21,12,0,4,13,0,0,0,9,0,44,19,9,3,9,5,6,3,9,0,69,16,12,8,11,7,4,0,11,0,73,13,11,4,6,14,0,7,19,0,78,12,15,14,4,5,4,12,11,0,74,17,17,9,5,6,0,17,8,0,76,20,20,7,3,0,0,8,3,0,62,24,20,9,4,0,5,0,0,0,65,5,4,0,0,0,0,0,0,0,15,11,4,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,174,112,73,68,55,24,60,71,10,645
101031014,0,0,0,0,0,0,0,0,6,4,14,9,11,12,10,14,12,9,6,98,3,0,0,0,0,0,0,0,3,9,0,0,0,4,3,0,4,0,0,11,3,9,6,5,10,5,0,5,0,43,3,7,8,15,7,6,3,7,0,54,9,13,11,15,8,15,9,14,0,89,6,22,11,34,23,26,15,17,7,155,18,29,26,48,35,34,16,24,7,229,29,55,47,58,46,37,21,13,5,309,29,62,55,55,58,22,25,27,8,344,31,99,47,40,63,14,12,16,8,329,43,111,33,16,22,8,8,6,4,247,31,101,28,31,20,0,11,0,0,244,69,210,47,42,30,12,15,14,6,439,28,51,27,3,7,3,11,0,0,127,67,50,32,0,9,8,6,0,0,175,0,6,0,5,0,0,0,0,7,31,383,814,384,371,344,189,147,149,55,2844
101031015,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,22,11,0,0,0,0,0,0,3,0,11,8,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,5,0,21,5,0,6,0,0,0,0,5,0,23,14,0,0,5,0,0,0,0,0,22,11,4,3,5,0,0,0,5,5,31,17,0,4,8,7,3,0,5,0,42,19,0,10,0,3,0,0,7,0,33,19,8,8,4,3,0,0,8,3,57,19,4,9,0,8,4,9,3,0,51,19,5,7,0,3,0,5,3,0,50,9,3,3,0,0,0,0,0,0,23,23,17,9,6,4,0,8,0,0,71,10,3,7,0,0,0,0,0,0,21,8,3,9,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,6,203,59,75,33,37,11,24,50,9,497
