POW_SA2_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
101021007,0,0,0,0,0,0,0,0,0,4,0,4,0,12,0,6,0,9,0,38,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,14,0,16,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,21
101021008,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,11,0,7,0,36,0,0,3,0,0,0,0,3,0,12,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,16,0,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,19,3,0,0,0,0,0,28
101021009,0,0,0,5,0,6,0,5,0,15,0,9,8,61,16,83,0,40,0,220,0,4,3,22,8,27,0,9,0,71,0,0,4,18,0,8,0,0,0,31,0,0,3,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,18,22,111,32,129,4,54,0,363,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,3,0,6,0,16,0,0,0,3,4,0,0,0,0,4,0,0,5,3,4,0,0,0,0,15,0,4,21,9,8,0,0,4,0,42,0,4,21,5,0,0,0,0,0,29,0,0,6,5,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,7,57,29,19,9,3,5,0,133
101021010,0,0,0,0,0,6,0,3,0,9,0,0,6,9,0,52,0,47,0,117,3,4,0,9,0,16,0,6,0,35,0,0,3,0,0,8,0,4,0,19,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,20,17,0,88,4,59,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,0,13,0,0,20,0,0,0,0,0,0,24,0,0,13,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,4,59,5,3,7,6,5,3,84
101021012,0,0,0,6,0,3,0,4,0,10,0,4,6,27,0,57,8,36,0,142,0,0,7,6,0,11,3,7,0,36,4,0,3,5,0,5,0,3,0,20,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,9,25,46,10,76,8,53,0,234,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,11,0,3,0,0,0,0,17,0,0,19,0,3,0,0,0,0,26,0,0,9,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,42,10,6,8,0,9,0,76
101021610,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,13,0,6,0,41,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,3,18,0,13,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,20
101021611,0,0,0,6,0,3,0,4,0,18,0,3,14,47,7,27,0,17,3,120,0,0,3,4,3,10,0,3,0,20,0,0,0,3,0,3,0,0,0,9,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,19,67,10,50,0,26,3,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,6,4,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,25,7,0,0,0,3,0,59
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,11,0,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,12
101031014,0,0,0,0,0,0,0,0,0,11,0,0,7,20,7,62,0,19,6,119,0,0,0,8,0,12,0,4,0,26,0,0,0,0,0,0,0,4,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,6,0,8,9,40,8,71,3,33,7,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,13,0,4,11,9,9,3,0,0,0,36,0,0,5,0,5,0,5,0,0,22,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,26,18,16,13,5,7,4,93
101031015,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,9
