POW_SA2_CODE_2021,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_or_LR_Mng,M1_Tram_or_LR_Pro,M1_Tram_or_LR_TecTW,M1_Tram_or_LR_CoPSW,M1_Tram_or_LR_ClAW,M1_Tram_or_LR_SWks,M1_Tram_or_LR_MaOpDv,M1_Tram_or_LR_Lab,M1_Tram_or_LR_IDNS,M1_Tram_or_LR_Tot,M1_Taxi_or_RSS_Mng,M1_Taxi_or_RSS_Pro,M1_Taxi_or_RSS_TecTW,M1_Taxi_or_RSS_CoPSW,M1_Taxi_or_RSS_ClAW,M1_Taxi_or_RSS_SWks,M1_Taxi_or_RSS_MaOpDv,M1_Taxi_or_RSS_Lab,M1_Taxi_or_RSS_IDNS,M1_Taxi_or_RSS_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_or_LR_Mng,M2_TrnTrm_or_LR_Pro,M2_TrnTrm_or_LR_TecTW,M2_TrnTrm_or_LR_CoPSW,M2_TrnTrm_or_LR_ClAW,M2_TrnTrm_or_LR_SWks,M2_TrnTrm_or_LR_MaOpDv,M2_TrnTrm_or_LR_Lab,M2_TrnTrm_or_LR_IDNS,M2_TrnTrm_or_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,89,109,57,53,46,100,103,7,676,5,6,0,0,0,3,4,8,0,31,8,0,5,0,0,0,14,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,11,25,12,27,15,7,11,0,15,0,125,171,113,140,74,63,63,122,130,6,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,129,196,85,62,34,54,55,12,717,5,5,11,17,4,12,0,8,0,57,0,0,5,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,6,7,0,7,0,0,0,30,85,148,219,109,70,51,60,72,15,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,0,0,0,0,0,0,0,0,4,3,19,4,11,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,13,393,895,519,581,526,302,171,264,70,3712,13,46,37,71,23,64,5,41,7,310,4,0,10,0,0,0,8,5,0,28,0,3,0,0,0,5,0,4,0,16,0,3,0,7,0,0,0,5,0,20,0,4,0,3,0,0,0,4,0,25,13,48,24,50,28,47,5,43,6,262,425,1008,600,739,588,433,196,366,79,4437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
101021010,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,339,163,697,107,263,156,404,219,44,2395,14,3,36,0,13,44,15,56,0,185,3,0,12,0,4,0,15,4,0,44,6,0,6,3,0,0,3,5,0,21,0,0,5,0,0,0,4,0,0,15,3,0,4,0,0,0,3,0,0,12,8,3,8,3,4,4,6,7,0,39,371,179,770,116,284,216,455,302,44,2739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,172,555,119,172,120,241,217,32,1873,4,0,20,17,13,38,11,32,0,133,3,0,21,0,3,0,15,8,0,54,0,0,0,0,0,0,6,3,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,12,4,9,6,8,9,3,0,6,0,50,261,182,605,152,206,168,277,270,33,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,51,113,43,33,26,19,40,10,380,0,0,5,8,0,6,0,13,0,26,0,0,5,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,9,0,5,0,32,40,53,121,58,35,43,27,58,8,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,260,333,221,150,73,109,148,48,1833,8,3,15,16,5,21,4,22,0,102,8,0,21,0,0,0,16,7,0,62,4,4,0,0,0,0,0,0,0,16,0,4,4,0,0,3,0,0,0,15,5,0,0,4,0,0,0,5,3,17,45,22,15,18,6,8,5,14,3,137,572,290,389,266,172,107,143,194,53,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,81,87,64,59,53,107,135,11,702,0,0,8,0,0,0,0,15,0,27,6,0,3,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,25,8,4,4,3,3,0,3,0,64,148,96,98,74,64,60,122,154,14,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,6,5,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,324,526,361,360,351,268,211,242,52,2696,12,22,35,26,17,56,7,45,10,229,0,0,4,0,0,0,7,4,0,15,3,0,3,3,4,7,0,0,0,21,5,3,0,0,0,0,0,0,0,10,3,0,3,0,0,0,7,5,0,21,28,44,24,28,22,22,3,35,0,211,374,608,446,424,393,355,240,330,64,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,15,58,17,15,17,23,59,4,306,10,6,3,0,0,0,3,14,0,33,5,0,0,0,0,0,12,0,0,15,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,11,27,3,8,13,5,4,4,10,0,68,143,26,76,33,12,17,41,87,5,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
