POW_SA2_CODE_2021,F_M2_TrnFer_15_24,F_M2_TrnFer_25_34,F_M2_TrnFer_35_44,F_M2_TrnFer_45_54,F_M2_TrnFer_55_64,F_M2_TrnFer_65_74,F_M2_TrnFer_75ov,F_M2_TrnFer_Tot,F_M2_TrnTrm_or_LR_15_24,F_M2_TrnTrm_or_LR_25_34,F_M2_TrnTrm_or_LR_35_44,F_M2_TrnTrm_or_LR_45_54,F_M2_TrnTrm_or_LR_55_64,F_M2_TrnTrm_or_LR_65_74,F_M2_TrnTrm_or_LR_75ov,F_M2_TrnTrm_or_LR_Tot,F_M2_TrnCarAsDriv_15_24,F_M2_TrnCarAsDriv_25_34,F_M2_TrnCarAsDriv_35_44,F_M2_TrnCarAsDriv_45_54,F_M2_TrnCarAsDriv_55_64,F_M2_TrnCarAsDriv_65_74,F_M2_TrnCarAsDriv_75ov,F_M2_TrnCarAsDriv_Tot,F_M2_TrnCarAsPas_15_24,F_M2_TrnCarAsPas_25_34,F_M2_TrnCarAsPas_35_44,F_M2_TrnCarAsPas_45_54,F_M2_TrnCarAsPas_55_64,F_M2_TrnCarAsPas_65_74,F_M2_TrnCarAsPas_75ov,F_M2_TrnCarAsPas_Tot,F_M2_TrnOth_15_24,F_M2_TrnOth_25_34,F_M2_TrnOth_35_44,F_M2_TrnOth_45_54,F_M2_TrnOth_55_64,F_M2_TrnOth_65_74,F_M2_TrnOth_75ov,F_M2_TrnOth_Tot,F_M2_Train_and_Tot_15_24,F_M2_Train_and_Tot_25_34,F_M2_Train_and_Tot_35_44,F_M2_Train_and_Tot_45_54,F_M2_Train_and_Tot_55_64,F_M2_Train_and_Tot_65_74,F_M2_Train_and_Tot_75ov,F_M2_Train_and_Tot_Tot,F_M2_BusFer_15_24,F_M2_BusFer_25_34,F_M2_BusFer_35_44,F_M2_BusFer_45_54,F_M2_BusFer_55_64,F_M2_BusFer_65_74,F_M2_BusFer_75ov,F_M2_BusFer_Tot,F_M2_BusTrm_or_LR_15_24,F_M2_BusTrm_or_LR_25_34,F_M2_BusTrm_or_LR_35_44,F_M2_BusTrm_or_LR_45_54,F_M2_BusTrm_or_LR_55_64,F_M2_BusTrm_or_LR_65_74,F_M2_BusTrm_or_LR_75ov,F_M2_BusTrm_or_LR_Tot,F_M2_BusCarAsDriv_15_24,F_M2_BusCarAsDriv_25_34,F_M2_BusCarAsDriv_35_44,F_M2_BusCarAsDriv_45_54,F_M2_BusCarAsDriv_55_64,F_M2_BusCarAsDriv_65_74,F_M2_BusCarAsDriv_75ov,F_M2_BusCarAsDriv_Tot,F_M2_BusCarAsPas_15_24,F_M2_BusCarAsPas_25_34,F_M2_BusCarAsPas_35_44,F_M2_BusCarAsPas_45_54,F_M2_BusCarAsPas_55_64,F_M2_BusCarAsPas_65_74,F_M2_BusCarAsPas_75ov,F_M2_BusCarAsPas_Tot,F_M2_BusOth_15_24,F_M2_BusOth_25_34,F_M2_BusOth_35_44,F_M2_BusOth_45_54,F_M2_BusOth_55_64,F_M2_BusOth_65_74,F_M2_BusOth_75ov,F_M2_BusOth_Tot,F_M2_BusTot_15_24,F_M2_BusTot_25_34,F_M2_BusTot_35_44,F_M2_BusTot_45_54,F_M2_BusTot_55_64,F_M2_BusTot_65_74,F_M2_BusTot_75ov,F_M2_BusTot_Tot,F_M2_Other_M2_15_24,F_M2_Other_M2_25_34,F_M2_Other_M2_35_44,F_M2_Other_M2_45_54,F_M2_Other_M2_55_64,F_M2_Other_M2_65_74,F_M2_Other_M2_75ov,F_M2_Other_M2_Tot,F_M2_Tot_M2_15_24,F_M2_Tot_M2_25_34,F_M2_Tot_M2_35_44,F_M2_Tot_M2_45_54,F_M2_Tot_M2_55_64,F_M2_Tot_M2_65_74,F_M2_Tot_M2_75ov,F_M2_Tot_M2_Tot,F_M3_Trn_and_2_oth_Ms_15_24,F_M3_Trn_and_2_oth_Ms_25_34,F_M3_Trn_and_2_oth_Ms_35_44,F_M3_Trn_and_2_oth_Ms_45_54,F_M3_Trn_and_2_oth_Ms_55_64,F_M3_Trn_and_2_oth_Ms_65_74,F_M3_Trn_and_2_oth_Ms_75ov,F_M3_Trn_and_2_oth_Ms_Tot,F_M3_Bus2othMs_ex_tn_15_24,F_M3_Bus2othMs_ex_tn_25_34,F_M3_Bus2othMs_ex_tn_35_44,F_M3_Bus2othMs_ex_tn_45_54,F_M3_Bus2othMs_ex_tn_55_64,F_M3_Bus2othMs_ex_tn_65_74,F_M3_Bus2othMs_ex_tn_75ov,F_M3_Bus2othMs_ex_tn_Tot,F_M3_Other_M3_15_24,F_M3_Other_M3_25_34,F_M3_Other_M3_35_44,F_M3_Other_M3_45_54,F_M3_Other_M3_55_64,F_M3_Other_M3_65_74,F_M3_Other_M3_75ov,F_M3_Other_M3_Tot,F_M3_Tot_M3_15_24,F_M3_Tot_M3_25_34,F_M3_Tot_M3_35_44,F_M3_Tot_M3_45_54,F_M3_Tot_M3_55_64,F_M3_Tot_M3_65_74,F_M3_Tot_M3_75ov,F_M3_Tot_M3_Tot,F_Wkd_at_home_15_24,F_Wkd_at_home_25_34,F_Wkd_at_home_35_44,F_Wkd_at_home_45_54,F_Wkd_at_home_55_64,F_Wkd_at_home_65_74,F_Wkd_at_home_75ov,F_Wkd_at_home_Tot,F_Did_not_go_to_work_15_24,F_Did_not_go_to_work_25_34,F_Did_not_go_to_work_35_44,F_Did_not_go_to_work_45_54,F_Did_not_go_to_work_55_64,F_Did_not_go_to_work_65_74,F_Did_not_go_to_work_75ov,F_Did_not_go_to_work_Tot,F_MT_NS_15_24,F_MT_NS_25_34,F_MT_NS_35_44,F_MT_NS_45_54,F_MT_NS_55_64,F_MT_NS_65_74,F_MT_NS_75ov,F_MT_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75ov,F_Tot_Tot,P_M1_Train_15_24,P_M1_Train_25_34,P_M1_Train_35_44,P_M1_Train_45_54,P_M1_Train_55_64,P_M1_Train_65_74,P_M1_Train_75ov,P_M1_Train_Tot,P_M1_Bus_15_24,P_M1_Bus_25_34,P_M1_Bus_35_44,P_M1_Bus_45_54,P_M1_Bus_55_64,P_M1_Bus_65_74,P_M1_Bus_75ov,P_M1_Bus_Tot,P_M1_Ferry_15_24,P_M1_Ferry_25_34,P_M1_Ferry_35_44,P_M1_Ferry_45_54,P_M1_Ferry_55_64,P_M1_Ferry_65_74,P_M1_Ferry_75ov,P_M1_Ferry_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,9,24,38,45,32,10,165,15,16,7,13,29,4,3,92,0,0,0,0,0,0,0,10,66,93,97,144,175,69,10,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,20,16,0,0,74,9,0,7,3,10,0,0,37,0,0,0,0,0,0,0,0,63,79,78,88,84,20,3,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,0,10,5,10,0,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,12,0,3,0,0,0,0,0,10,7,58,87,87,44,18,4,296,88,92,71,64,59,27,0,392,0,0,0,0,5,0,0,9,466,718,672,624,478,126,7,3091,0,0,0,0,0,0,0,0,18,12,3,4,7,0,0,39,0,0,0,0,0,0,0,0
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,20,15,29,8,6,3,88,40,25,19,5,10,7,0,109,0,0,0,0,0,0,0,0,201,205,191,147,107,21,3,876,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,11,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,37,44,32,13,4,140,26,15,18,14,8,3,0,89,0,5,0,0,0,0,0,0,186,140,177,181,117,36,3,841,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,17,6,0,0,67,5,8,3,0,0,6,0,26,0,0,0,0,0,0,0,0,47,77,72,50,22,6,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,3,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,65,83,95,59,14,359,50,31,20,25,22,9,0,151,0,4,0,0,0,4,0,5,203,211,227,271,229,97,21,1268,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,10,15,12,0,65,6,9,4,12,18,6,0,59,0,0,6,0,0,0,0,3,63,67,101,100,116,45,10,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,12,0,0,3,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,3,6,3,0,0,0,0,0,3,12,27,42,33,39,13,4,178,59,62,37,49,46,13,0,272,4,0,6,0,0,4,3,16,307,368,385,486,439,107,10,2101,0,0,0,0,0,0,0,0,4,9,3,3,5,0,0,33,0,0,0,0,0,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,24,31,20,11,114,7,9,3,0,4,4,0,29,0,0,0,0,0,0,0,4,27,34,33,61,71,39,17,287,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0
