POW_SA2_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
101021007,14,0,0,14,0,19,0,4,0,4,0,0,0,0,5,0,0,5,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,9,5,4,0,13,5,3,0,11,0,0,0,0,0,23,4,9,0,8,3,0,0,3,0,0,0,0,0,12,4,13,0,18,3,17,0,24,0,6,0,6,0,48,10,36,0,48,15,22,0,39,32,4,0,39,0,131
101021008,15,0,0,15,0,15,0,0,0,0,0,0,0,0,7,0,0,7,0,5,0,6,0,5,0,0,0,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,8,4,10,0,10,13,3,0,17,0,4,0,4,0,37,0,3,0,3,3,0,0,0,0,0,0,3,0,9,3,4,0,9,6,13,0,14,0,0,0,4,5,30,9,33,0,39,22,16,0,37,31,8,0,37,5,119
101021009,62,0,0,62,0,65,0,3,0,8,0,0,0,0,53,0,0,57,0,64,9,19,0,18,21,3,0,24,18,0,0,18,0,69,3,15,0,17,28,0,0,34,0,0,0,0,0,54,18,50,0,61,109,33,0,139,0,5,0,10,0,210,6,34,0,41,34,44,0,80,6,12,0,17,0,135,25,91,0,126,36,126,0,163,13,24,0,33,15,333,63,217,0,275,237,202,0,443,194,37,0,233,13,965
101021010,32,0,0,32,0,35,0,3,0,0,0,0,0,0,31,0,0,31,0,29,0,15,0,15,6,0,0,9,16,0,0,16,0,33,8,11,0,19,15,0,0,16,0,0,0,0,0,35,17,37,0,53,39,12,0,52,0,3,0,7,0,112,13,19,0,32,12,15,0,27,6,3,0,6,0,62,13,41,0,56,17,24,0,35,5,15,0,21,5,121,50,125,0,177,83,51,0,136,127,19,0,147,13,477
101021012,48,0,0,48,0,48,0,8,0,8,0,0,0,0,36,0,0,36,0,42,3,16,0,19,12,0,0,12,17,0,0,17,0,47,4,8,0,16,16,0,0,19,5,0,0,5,0,38,13,25,0,43,42,13,0,54,3,4,0,5,0,103,7,22,0,28,13,6,0,17,6,6,0,7,0,54,7,44,0,53,6,24,0,27,4,6,0,10,5,97,38,121,0,158,90,47,0,136,145,14,0,155,7,464
101021610,18,0,0,18,0,18,0,0,0,0,0,0,0,0,11,0,0,11,0,14,0,0,0,0,0,0,0,0,5,0,0,5,0,3,3,9,0,9,0,0,0,0,0,0,0,0,0,13,5,9,0,10,14,0,0,13,0,4,0,4,0,29,0,10,0,10,4,4,0,4,0,0,0,0,3,20,0,13,0,15,4,5,0,13,0,0,0,0,0,28,3,36,0,43,23,14,0,35,42,6,0,46,7,131
101021611,45,0,0,45,0,45,0,0,0,3,0,0,0,0,42,0,0,42,0,49,3,3,0,5,13,0,0,14,6,0,0,9,0,32,8,11,0,13,3,0,0,4,0,0,0,0,0,16,3,16,0,18,33,17,0,54,5,6,0,8,0,77,8,17,0,24,13,43,0,48,0,0,0,3,0,76,8,49,0,59,14,112,0,126,3,11,0,14,12,209,31,93,0,125,75,171,0,253,128,18,0,145,8,526
101031013,6,0,0,6,0,6,3,0,0,0,0,0,0,0,5,0,0,5,0,7,0,0,0,0,0,0,0,0,6,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,3,0,0,0,0,0,12,0,0,0,5,0,3,0,3,0,3,0,0,0,11,0,19,0,19,5,11,0,18,5,3,0,9,6,44,6,25,0,31,8,23,0,33,25,4,0,29,4,99
101031014,39,0,0,39,0,40,0,6,0,6,0,0,0,0,39,0,0,42,0,52,0,16,0,16,3,0,0,3,9,0,0,9,0,32,6,11,0,17,8,3,0,14,0,0,0,6,0,27,3,32,0,36,29,17,0,46,0,0,0,6,0,88,4,27,0,30,16,5,0,23,0,0,0,5,0,53,3,91,0,92,7,76,0,92,4,18,0,25,18,224,19,181,0,201,69,106,0,174,131,22,0,164,24,561
101031015,10,0,0,10,0,10,0,0,0,0,0,0,0,0,7,0,0,7,0,9,0,6,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,5,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,10,0,6,0,6,0,9,0,4,0,4,0,21,4,13,0,18,5,12,0,17,19,3,0,23,0,54
