POW_SA2_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
101021007,0,0,15,20,57,32,11,139,17,15,16,29,27,14,4,131,0,0,3,5,12,11,9,46,0,0,0,0,0,0,0,0,0,3,6,8,21,11,4,46,0,0,6,0,14,14,5,45,0,0,0,0,0,0,0,3,0,0,0,3,3,0,9,20,20,22,21,18,19,8,0,99,0,0,0,0,9,11,0,17,6,6,12,18,28,12,0,82,108,161,152,187,174,81,16,884,3,7,3,12,11,3,3,47,146,212,212,274,329,156,48,1373,107,165,157,198,188,81,16,917,27,33,38,50,100,38,10,304,4,3,7,14,19,13,10,73,0,0,0,0,6,11,5,32,34,39,54,68,134,66,30,413,3,7,3,12,11,3,3,47,146,212,212,274,329,156,48,1373
101021008,0,3,6,15,18,0,5,60,21,27,17,20,12,0,0,99,0,0,0,4,7,3,0,12,0,0,0,0,0,0,0,0,0,0,5,8,18,5,0,37,0,0,0,3,9,0,4,20,0,0,0,3,7,0,0,5,0,0,0,0,0,0,0,4,16,29,16,26,8,0,0,89,0,0,0,0,0,0,0,3,3,16,19,23,13,6,0,73,120,183,142,113,78,23,3,656,11,8,3,13,4,0,0,33,160,245,191,194,153,35,13,986,120,193,149,125,86,22,3,699,26,40,37,38,42,12,5,198,3,13,0,14,9,0,3,45,0,0,0,5,4,0,0,15,27,51,43,59,59,15,8,254,11,8,3,13,4,0,0,33,160,245,191,194,153,35,13,986
101021009,10,26,38,116,151,63,7,408,84,115,125,117,77,14,0,531,0,4,13,29,44,26,5,129,0,0,0,0,0,0,0,0,8,14,29,59,65,25,0,196,3,4,10,27,36,26,3,106,0,3,10,15,8,7,0,40,0,3,0,13,25,11,0,48,110,152,135,132,55,10,0,596,0,0,0,3,3,0,0,11,45,80,89,129,76,27,3,457,662,988,815,625,427,113,9,3638,31,20,30,34,30,9,0,147,902,1319,1192,1093,809,244,26,5582,688,1033,868,687,463,118,6,3868,161,220,232,271,216,67,8,1176,24,42,43,73,75,35,6,302,3,3,10,27,28,13,3,84,184,263,292,373,315,115,14,1565,31,20,30,34,30,9,0,147,902,1319,1192,1093,809,244,26,5582
101021010,5,16,36,47,57,25,6,192,57,71,48,41,32,11,0,264,0,0,0,14,7,12,5,37,0,0,0,0,0,0,0,0,4,5,15,34,33,18,0,122,3,0,8,8,31,16,3,73,0,5,3,8,8,4,0,21,0,0,3,11,10,8,0,37,68,77,72,34,27,4,0,286,0,0,0,4,0,3,0,7,24,40,54,39,39,11,8,221,419,578,466,346,249,65,12,2130,20,17,20,17,12,3,0,82,576,766,670,549,432,144,22,3159,439,604,498,369,268,73,13,2262,108,115,120,131,107,43,5,626,13,27,26,31,43,12,0,155,0,4,5,5,10,7,0,29,121,147,151,166,155,64,10,813,20,17,20,17,12,3,0,82,576,766,670,549,432,144,22,3159
101021012,5,12,27,49,44,12,0,150,49,48,43,43,24,0,0,225,4,4,3,7,23,3,0,46,0,0,0,0,0,0,0,0,4,6,15,22,21,21,3,88,0,0,0,10,24,5,0,39,4,0,8,3,0,0,0,21,0,0,0,5,8,3,0,21,67,55,44,56,31,6,5,248,0,0,0,5,0,0,0,5,12,34,32,35,36,12,0,158,395,440,386,340,180,40,0,1780,23,12,5,23,11,3,0,74,542,575,519,523,347,96,8,2608,399,461,401,359,206,53,4,1873,104,98,93,103,95,29,0,528,15,8,15,30,23,7,0,100,0,10,5,10,11,0,0,34,120,108,112,145,128,39,4,663,23,12,5,23,11,3,0,74,542,575,519,523,347,96,8,2608
101021610,3,3,5,7,0,0,0,24,10,20,9,4,0,0,0,48,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,16,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,22,15,11,0,0,79,0,0,0,0,0,0,0,0,3,5,10,7,5,0,0,29,104,118,97,60,29,7,0,420,4,10,3,0,0,0,0,16,140,167,132,88,43,18,0,600,104,125,101,66,34,7,0,430,28,33,22,17,11,8,0,117,0,9,10,3,0,0,0,24,0,0,0,4,0,0,0,3,32,40,33,24,16,12,0,149,4,10,3,0,0,0,0,16,140,167,132,88,43,18,0,600
101021611,5,11,30,67,95,65,15,293,32,46,49,46,44,20,0,239,0,0,8,18,36,29,9,93,0,0,0,0,5,0,0,6,0,3,3,25,26,27,8,89,0,0,0,15,28,19,10,83,0,0,7,4,4,3,0,24,0,0,3,3,12,5,4,30,55,53,72,67,36,17,0,304,0,0,0,8,10,0,3,16,22,32,35,76,60,23,7,253,320,418,459,449,296,106,33,2084,18,15,12,14,15,9,0,83,436,560,636,709,551,260,64,3207,334,438,482,494,316,115,37,2218,70,101,122,157,159,88,15,706,13,11,21,41,39,34,8,156,0,0,6,7,22,12,3,45,82,108,140,197,215,132,29,909,18,15,12,14,15,9,0,83,436,560,636,709,551,260,64,3207
101031013,5,10,10,20,38,31,10,115,9,7,22,15,8,10,0,71,0,5,5,7,13,7,6,35,0,0,0,0,0,0,0,0,0,0,3,10,13,8,0,35,3,0,0,4,14,7,5,35,0,0,4,4,3,0,0,12,0,0,0,0,4,0,0,8,7,20,26,21,20,0,0,91,0,0,0,0,0,0,3,6,3,5,11,11,16,5,0,52,84,124,143,127,156,54,10,700,3,9,0,5,3,4,0,33,115,168,198,203,263,104,29,1080,90,129,149,131,169,53,10,736,19,24,45,52,62,28,10,234,6,7,4,10,21,15,6,61,0,0,0,4,3,0,3,18,18,30,50,62,88,44,15,310,3,9,0,5,3,4,0,33,115,168,198,203,263,104,29,1080
101031014,0,21,28,81,165,44,12,348,42,81,78,64,80,17,0,359,0,0,8,19,45,23,7,104,0,0,0,0,0,0,0,0,5,8,26,32,38,27,7,138,0,4,3,17,29,18,5,81,0,4,0,8,4,6,0,18,0,5,3,12,15,6,0,40,82,86,104,97,74,8,0,451,0,0,0,0,0,4,5,8,29,31,55,62,82,20,0,278,439,563,493,593,449,117,8,2663,30,22,20,27,24,10,0,126,614,772,742,896,821,243,37,4126,461,572,525,633,484,127,8,2814,114,148,153,182,216,70,24,911,10,24,33,40,72,26,9,218,0,0,9,13,25,12,0,64,123,176,197,243,314,103,28,1187,30,22,20,27,24,10,0,126,614,772,742,896,821,243,37,4126
101031015,0,4,0,12,34,27,13,87,0,10,4,8,20,13,0,60,0,0,0,0,8,5,0,20,0,0,0,0,0,0,0,0,3,0,3,7,5,9,4,29,0,0,0,4,10,8,9,37,0,0,0,0,6,0,0,3,0,0,0,4,3,9,0,20,7,17,8,11,14,3,0,52,0,0,0,0,0,0,0,5,0,6,4,13,12,7,6,47,49,71,77,110,102,47,26,488,3,0,3,3,4,0,0,20,62,99,95,160,186,102,54,759,49,74,77,117,111,48,29,517,9,16,12,30,47,27,17,158,0,7,0,5,13,13,8,50,0,0,0,5,4,5,3,18,9,21,13,37,67,46,27,222,3,0,3,3,4,0,0,20,62,99,95,160,186,102,54,759
