POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
101021007,11,478,5,492,0,179,0,180,4,42,0,44,12,703,5,716,0,247,3,252,11,339,3,354,0,51,0,56,12,635,8,657,12,725,0,742,11,519,4,534,0,91,3,97,29,1339,7,1373
101021008,9,430,5,446,4,102,0,106,0,17,0,18,21,551,5,575,5,192,0,201,7,182,0,194,0,22,0,22,18,400,0,414,18,630,5,647,14,286,0,302,0,35,0,39,37,952,3,986
101021009,52,1674,9,1731,13,611,3,634,6,117,0,124,76,2404,9,2492,58,1614,4,1671,38,1180,6,1220,5,186,0,198,97,2985,5,3091,107,3286,11,3406,53,1791,3,1850,13,308,0,324,174,5391,14,5582
101021010,49,1713,3,1769,11,409,0,424,9,91,0,93,62,2212,3,2283,11,405,0,422,18,372,4,391,3,58,0,64,32,838,3,876,60,2123,11,2189,25,779,0,810,12,151,0,162,95,3054,11,3159
101021012,32,1327,0,1362,5,328,0,332,0,71,0,73,36,1729,0,1771,8,372,0,388,9,400,0,407,8,40,0,46,24,811,3,841,41,1697,3,1747,11,730,0,742,8,115,0,120,63,2540,5,2608
101021610,15,216,0,229,0,79,0,79,0,19,0,19,12,309,0,326,6,126,0,132,4,125,0,132,0,20,0,20,0,267,0,272,20,343,0,355,4,206,0,208,0,35,0,35,19,581,0,600
101021611,37,1374,3,1416,7,409,0,409,0,110,0,115,45,1894,9,1942,11,574,0,580,12,592,0,607,3,73,0,77,26,1242,0,1268,44,1944,3,1999,15,996,0,1022,6,185,0,192,64,3127,9,3207
101031013,15,437,0,449,0,96,0,102,0,35,0,33,12,567,0,588,12,216,0,223,8,234,4,239,0,31,0,36,14,474,3,496,17,657,5,673,10,331,4,338,0,65,0,70,30,1049,7,1080
101031014,51,1392,16,1458,12,442,0,454,3,106,0,106,72,1935,16,2018,26,1013,8,1051,24,884,7,913,6,136,0,140,57,2035,12,2101,82,2404,22,2503,39,1325,9,1370,11,238,5,251,129,3970,32,4126
101031015,17,330,3,354,3,92,0,97,0,16,0,22,23,444,3,469,0,132,0,131,0,136,0,141,0,19,0,17,5,283,0,287,19,458,3,484,8,227,0,236,4,36,0,36,28,727,3,759
