POW_SA2_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
101021007,4,267,0,269,0,97,0,104,0,55,0,58,0,9,0,9,6,120,0,119,0,16,0,16,0,106,0,109,4,120,0,124,0,40,0,38,0,16,0,16,0,14,0,14,0,15,0,15,0,56,0,56,0,32,0,32,0,65,0,65,0,112,0,113,6,88,0,96,0,24,0,26,0,33,0,38,0,55,0,55,29,1339,7,1373
101021008,0,0,0,0,0,6,0,6,0,57,0,52,0,5,0,5,7,209,0,217,0,40,0,48,3,74,0,75,0,45,0,46,0,24,0,24,0,7,0,7,0,5,0,5,0,15,0,15,0,45,0,45,0,27,0,31,3,33,4,37,16,192,0,205,0,75,0,75,0,22,0,25,6,29,0,36,4,40,0,43,37,952,3,986
101021009,0,5,0,5,0,7,0,7,7,124,0,136,0,17,0,17,21,400,0,425,0,67,0,73,17,542,0,561,8,484,0,494,3,87,0,90,0,30,0,34,4,55,0,63,0,102,0,101,0,220,0,222,0,135,0,139,35,866,0,894,26,516,0,547,38,1254,3,1294,0,105,0,105,13,195,0,209,3,174,4,181,174,5391,14,5582
101021010,0,5,0,5,0,14,0,15,16,538,0,550,0,68,0,75,18,711,3,733,0,101,4,106,5,185,0,186,12,237,0,251,7,256,0,266,0,6,0,6,0,7,0,7,3,50,0,55,0,113,0,113,0,61,0,61,3,117,0,117,0,114,0,115,0,123,0,126,0,10,0,13,10,188,0,195,11,138,0,148,95,3054,11,3159
101021012,0,9,0,9,0,0,0,0,0,294,0,299,4,51,0,50,26,695,0,721,0,45,0,45,6,188,0,195,4,159,0,165,0,165,0,165,0,25,0,25,0,27,0,27,0,32,0,32,0,130,0,128,0,51,0,55,0,82,0,82,4,144,0,155,0,131,0,133,0,25,0,26,4,184,0,194,0,102,0,102,63,2540,5,2608
101021610,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,8,166,0,176,0,14,0,14,0,71,0,77,0,32,0,32,0,9,0,10,0,9,0,9,0,9,0,9,0,6,0,6,0,34,0,31,0,16,0,16,4,33,0,40,0,84,0,87,0,39,0,39,0,6,0,6,6,28,0,36,0,11,0,11,19,581,0,600
101021611,3,290,0,294,0,33,0,38,0,101,0,102,0,90,0,92,18,437,3,451,0,20,0,20,7,157,0,159,4,230,0,236,4,66,0,72,0,16,0,16,0,35,0,35,3,44,0,40,0,226,0,230,0,62,0,62,10,830,0,841,7,171,0,175,0,100,0,100,4,33,0,35,8,114,0,119,5,82,0,89,64,3127,9,3207
101031013,7,306,0,308,0,9,0,9,0,102,0,104,0,10,0,10,0,61,0,59,0,10,0,10,0,89,0,94,0,41,0,51,0,36,0,39,0,0,0,0,0,8,0,7,0,0,0,0,0,26,0,27,0,16,0,16,3,45,0,46,0,94,0,94,3,95,0,98,0,17,0,17,0,23,0,22,3,54,0,56,30,1049,7,1080
101031014,0,59,0,59,0,4,0,4,0,81,0,81,4,341,0,351,21,433,5,461,0,97,0,96,13,538,3,557,10,309,3,320,5,151,0,155,0,38,0,38,0,32,0,32,3,64,0,69,3,180,0,187,4,86,0,91,15,400,4,423,10,361,3,374,19,492,4,510,0,20,0,20,0,133,7,132,7,139,0,146,129,3970,32,4126
101031015,8,305,0,313,0,8,0,8,0,24,0,24,0,18,0,16,6,94,0,105,0,10,0,10,3,24,0,31,0,75,0,79,0,28,0,28,0,4,0,4,0,4,0,4,0,0,0,0,0,26,0,26,4,11,0,13,0,18,0,18,0,25,0,24,0,12,0,12,0,8,0,8,0,15,0,13,4,20,0,29,28,727,3,759
