DATAFLOW,MEDAVG,REGION,REGION_TYPE,STATE,TIME_PERIOD,OBS_VALUE
ABS:C21_G02_POA(1.0.0),1,2076,POA,1,2021,43
ABS:C21_G02_POA(1.0.0),1,2222,POA,1,2021,38
ABS:C21_G02_POA(1.0.0),1,2370,POA,1,2021,48
ABS:C21_G02_POA(1.0.0),1,2406,POA,1,2021,41
ABS:C21_G02_POA(1.0.0),1,2565,POA,1,2021,34
ABS:C21_G02_POA(1.0.0),1,2717,POA,1,2021,45
ABS:C21_G02_POA(1.0.0),1,3302,POA,2,2021,48
ABS:C21_G02_POA(1.0.0),1,3462,POA,2,2021,53
ABS:C21_G02_POA(1.0.0),1,3498,POA,2,2021,40
ABS:C21_G02_POA(1.0.0),1,3666,POA,2,2021,54
ABS:C21_G02_POA(1.0.0),1,3812,POA,2,2021,42
ABS:C21_G02_POA(1.0.0),1,3852,POA,2,2021,24
ABS:C21_G02_POA(1.0.0),1,4492,POA,3,2021,35
ABS:C21_G02_POA(1.0.0),1,4713,POA,3,2021,23
ABS:C21_G02_POA(1.0.0),1,6370,POA,5,2021,45
ABS:C21_G02_POA(1.0.0),1,6532,POA,5,2021,39
ABS:C21_G02_POA(1.0.0),1,7209,POA,6,2021,57
ABS:C21_G02_POA(1.0.0),2,4424,POA,3,2021,811
ABS:C21_G02_POA(1.0.0),2,6521,POA,5,2021,968
ABS:C21_G02_POA(1.0.0),2,5422,POA,4,2021,463
ABS:C21_G02_POA(1.0.0),2,3267,POA,2,2021,794
ABS:C21_G02_POA(1.0.0),2,4207,POA,3,2021,740
ABS:C21_G02_POA(1.0.0),2,6327,POA,5,2021,656
ABS:C21_G02_POA(1.0.0),2,2071,POA,1,2021,1071
ABS:C21_G02_POA(1.0.0),2,3621,POA,2,2021,669
ABS:C21_G02_POA(1.0.0),2,2192,POA,1,2021,640
ABS:C21_G02_POA(1.0.0),2,5950,POA,4,2021,3250
ABS:C21_G02_POA(1.0.0),2,3451,POA,2,2021,705
ABS:C21_G02_POA(1.0.0),2,6487,POA,5,2021,866
ABS:C21_G02_POA(1.0.0),2,6124,POA,5,2021,933
ABS:C21_G02_POA(1.0.0),2,4707,POA,3,2021,682
ABS:C21_G02_POA(1.0.0),2,3995,POA,2,2021,569
ABS:C21_G02_POA(1.0.0),2,2217,POA,1,2021,861
ABS:C21_G02_POA(1.0.0),2,3292,POA,2,2021,689
ABS:C21_G02_POA(1.0.0),2,2359,POA,1,2021,464
ABS:C21_G02_POA(1.0.0),2,3143,POA,2,2021,1356
ABS:C21_G02_POA(1.0.0),2,3806,POA,2,2021,855
ABS:C21_G02_POA(1.0.0),2,2712,POA,1,2021,598
ABS:C21_G02_POA(1.0.0),2,4887,POA,3,2021,516
ABS:C21_G02_POA(1.0.0),2,3660,POA,2,2021,649
ABS:C21_G02_POA(1.0.0),2,2527,POA,1,2021,794
ABS:C21_G02_POA(1.0.0),3,2035,POA,1,2021,2750
ABS:C21_G02_POA(1.0.0),3,3444,POA,2,2021,2083
ABS:C21_G02_POA(1.0.0),3,2177,POA,1,2021,1611
ABS:C21_G02_POA(1.0.0),3,3799,POA,2,2021,1567
ABS:C21_G02_POA(1.0.0),3,5652,POA,4,2021,1847
ABS:C21_G02_POA(1.0.0),3,4702,POA,3,2021,1944
ABS:C21_G02_POA(1.0.0),3,3413,POA,2,2021,2541
ABS:C21_G02_POA(1.0.0),3,5730,POA,4,2021,1406
ABS:C21_G02_POA(1.0.0),3,5351,POA,4,2021,2053
ABS:C21_G02_POA(1.0.0),3,3111,POA,2,2021,2508
ABS:C21_G02_POA(1.0.0),3,5156,POA,4,2021,2469
ABS:C21_G02_POA(1.0.0),3,3614,POA,2,2021,2210
ABS:C21_G02_POA(1.0.0),3,4132,POA,3,2021,1499
ABS:C21_G02_POA(1.0.0),3,3254,POA,2,2021,1833
ABS:C21_G02_POA(1.0.0),3,2066,POA,1,2021,3560
ABS:C21_G02_POA(1.0.0),3,4882,POA,3,2021,1837
ABS:C21_G02_POA(1.0.0),3,2517,POA,1,2021,2368
ABS:C21_G02_POA(1.0.0),3,6275,POA,5,2021,1381
ABS:C21_G02_POA(1.0.0),3,6073,POA,5,2021,2140
ABS:C21_G02_POA(1.0.0),3,6321,POA,5,2021,1518
ABS:C21_G02_POA(1.0.0),3,3138,POA,2,2021,2246
ABS:C21_G02_POA(1.0.0),3,2328,POA,1,2021,2042
ABS:C21_G02_POA(1.0.0),3,4419,POA,3,2021,1682
ABS:C21_G02_POA(1.0.0),3,6477,POA,5,2021,1875
ABS:C21_G02_POA(1.0.0),3,3951,POA,2,2021,1783
ABS:C21_G02_POA(1.0.0),3,4626,POA,3,2021,1510
ABS:C21_G02_POA(1.0.0),4,6470,POA,5,2021,2749
ABS:C21_G02_POA(1.0.0),4,4614,POA,3,2021,811
ABS:C21_G02_POA(1.0.0),4,6068,POA,5,2021,1375
ABS:C21_G02_POA(1.0.0),4,4829,POA,3,2021,1571
ABS:C21_G02_POA(1.0.0),4,3400,POA,2,2021,1294
ABS:C21_G02_POA(1.0.0),4,5640,POA,4,2021,1141
ABS:C21_G02_POA(1.0.0),4,5290,POA,4,2021,1197
ABS:C21_G02_POA(1.0.0),4,6256,POA,5,2021,1516
ABS:C21_G02_POA(1.0.0),4,2148,POA,1,2021,1800
ABS:C21_G02_POA(1.0.0),4,2030,POA,1,2021,3481
ABS:C21_G02_POA(1.0.0),4,5343,POA,4,2021,1075
ABS:C21_G02_POA(1.0.0),4,4413,POA,3,2021,1560
ABS:C21_G02_POA(1.0.0),4,4127,POA,3,2021,1602
ABS:C21_G02_POA(1.0.0),4,2323,POA,1,2021,1541
ABS:C21_G02_POA(1.0.0),4,3105,POA,2,2021,1813
ABS:C21_G02_POA(1.0.0),4,6041,POA,5,2021,1311
ABS:C21_G02_POA(1.0.0),4,3242,POA,2,2021,1521
ABS:C21_G02_POA(1.0.0),4,5115,POA,4,2021,1439
ABS:C21_G02_POA(1.0.0),4,3599,POA,2,2021,1531
ABS:C21_G02_POA(1.0.0),4,3760,POA,2,2021,2468
